"Contrato";"Obs_Total";"Obs_CCs"
"6351960";128;62
"6353617";128;50
"6354706";128;57
"6355390";128;58
"6355405";128;53
"6357841";128;56
"6358872";128;32
"6369773";128;51
"6373577";128;59
"6373793";128;52
"6384426";128;55
"6391856";128;53
"6394348";128;53
"6396185";128;50
"6396198";128;51
"6396344";71;26
"6397734";128;62
"6398496";128;51
"6400127";128;49
"6402214";130;60
"6406085";128;48
"6412073";128;51
"6429112";128;51
"6429753";128;51
"6429769";128;58
"6430564";128;56
"6430577";130;59
"6431079";128;48
"6431126";128;55
"6431127";128;51
"6431268";128;52
"6431273";130;56
"6431327";130;50
"6431414";128;47
"6431415";128;54
"6431427";128;52
"6431524";128;33
"6432724";130;49
"6432725";128;56
"6434298";128;55
"6434299";128;56
"6436099";128;53
"6436100";128;55
"6436974";128;53
"6438510";61;61
"6438908";128;54
"6439676";128;56
"6439812";128;58
"6439813";128;57
"6439814";128;43
"6440330";128;53
"6440364";128;56
"6440366";128;53
"6440894";128;39
"6441166";128;55
"6441173";128;57
"6441356";128;57
"6441467";128;53
"6441469";128;53
"6441899";128;56
"6441924";128;48
"6442236";22;6
"6443006";128;53
"6443818";128;57
"6443831";128;51
"6444403";128;53
"6444534";128;45
"6445155";128;47
"6447936";130;53
"6449098";128;48
"6449099";128;62
"6449806";128;51
"6451307";128;60
"6451505";128;52
"6451703";128;58
"6452755";128;50
"6453070";128;48
"6453255";128;50
"6453259";128;55
"6453523";130;52
"6456676";128;50
"6456677";128;51
"6456678";128;50
"6456681";128;48
"6456682";128;52
"6457709";130;48
"6459510";128;56
"6461478";128;54
"6462152";130;53
"6462640";128;62
"6466823";128;53
"6466825";128;54
"6467039";128;54
"6470504";128;51
"6472805";128;52
"6473003";128;65
"6477901";128;56
"6478559";128;55
"6481231";128;56
"6483443";130;54
"6484593";130;60
"6491890";128;51
"6496354";130;52
"6501672";130;52
"6502323";128;46
"6502668";128;54
"6505874";128;35
"6506990";130;60
"6507780";128;59
"6507785";128;57
"6515860";128;59
"6515865";128;51
"6523676";128;52
"6524125";130;59
"6528098";59;59
"6530198";128;55
"6533395";128;45
"6536623";128;48
"6543897";128;26
"6544813";128;53
"6547404";128;53
"6548037";128;53
"6548038";128;61
"6551656";128;50
"6552773";128;60
"6558924";128;62
"6559630";128;63
"6560222";128;61
"6560231";128;50
"6564834";128;52
"6566575";128;52
"6587228";128;56
"6587395";130;69
"6595270";128;50
"6596867";128;50
"6598500";128;50
"6598925";128;53
"6598940";128;59
"6605391";128;57
"6605396";128;60
"6606317";128;51
"6606724";130;59
"6611136";128;57
"6617012";128;56
"6617017";128;56
"6617582";130;58
"6617583";130;52
"6619762";128;57
"6620670";61;28
"6620685";128;55
"6626209";128;62
"6630537";128;64
"6635588";128;57
"6635590";128;52
"6636324";128;62
"6636326";128;65
"6647357";128;54
