"Group";"N";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"6351960_6353617_6354706_6355390_6355405_6357841_6358872_6369773_6373577_6373793_6384426_6391856_6394348_6396185_6396198_6396344_6397734_6398496_6400127_6402214_6406085_6412073_6429112_6429753_6429769_6430564_6430577_6431079_6431126_6431127_6431268_6431273_6431327_6431414_6431415_6431427_6431524_6432724_6432725_6434298_6434299_6436099_6436100_6436974_6438510_6438908_6439676_6439812_6439813_6439814_6440330_6440364_6440366_6440894_6441166_6441173_6441356_6441467_6441469_6441899_6441924_6442236_6443006_6443818_6443831_6444403_6444534_6445155_6447936_6449098_6449099_6449806_6451307_6451505_6451703_6452755_6453070_6453255_6453259_6453523_6456676_6456677_6456678_6456681_6456682_6457709_6459510_6461478_6462152_6462640_6466823_6466825_6467039_6470504_6472805_6473003_6477901_6478559_6481231_6483443_6484593_6491890_6496354_6501672_6502323_6502668_6505874_6506990_6507780_6507785_6515860_6515865_6523676_6524125_6528098_6530198_6533395_6536623_6543897_6544813_6547404_6548037_6548038_6551656_6552773_6558924_6559630_6560222_6560231_6564834_6566575_6587228_6587395_6595270_6596867_6598500_6598925_6598940_6605391_6605396_6606317_6606724_6611136_6617012_6617017_6617582_6617583_6619762_6620670_6620685_6626209_6630537_6635588_6635590_6636324_6636326_6647357";157;0;0.072353518534203;0.32572575723912;0.0101588097397843;0.100790920919418;0.383679743532945;0.262695444881528;2.19;0.199999999999999;78.71
"6351960";1;0;0.0920766042622304;0.233404839402147;0.0163878844151677;0.1280151725975;0.650797056785363;0.19670521134474;0.909999999999968;0.0300000000000011;5.05999999999995
"6353617";1;0;0.0619829263184186;0.133780116245324;0.00935883691612239;0.0967410818428365;0.433120925117422;0.22335813449006;0.939999999999998;0;5.12000000000012
"6354706";1;0;0.0785869026074895;0.413850830042877;0.0119030637865805;0.10910116308537;0.390710900329634;0.279237571803919;0.810000000000002;0.0500000000000007;5.14999999999986
"6355390";1;0;0.0787031703195754;0.371474389070498;0.0149563719958141;0.122296246859068;0.359789483027444;0.339910566117741;0.819999999999993;0.0199999999999996;5.05999999999995
"6355405";1;0;0.0828711608823637;0.231807528992662;0.0135478059213003;0.116395042511699;0.58065766406556;0.200453812486935;0.870000000000005;0.0400000000000027;5.07999999999993
"6357841";1;0;0.0737839129305255;0.407674433795589;0.00851451959389302;0.092274154528194;0.217084728447454;0.425060552108478;0.990000000000009;0.0299999999999976;5.16999999999985
"6358872";1;0;0.0875976614914961;0.791688440866605;0.0152656434025739;0.123554212403195;0.398737144117293;0.309863814359995;0.819999999999993;0;4.91000000000008
"6369773";1;0;0.045905107947265;0.110640974142071;0.00415759979548558;0.0644794525060936;0.447543374605237;0.144074197418225;0.779999999999973;0.0300000000000011;5.08999999999992
"6373577";1;0;0.0964501966598951;1.77330846901075;0.0258597097768973;0.160809545042878;0.667329729010799;0.240974645744092;0.850000000000023;0.0300000000000011;5.1400000000001
"6373793";1;0;0.127193854188831;0.374397629338402;0.0256783805391642;0.160244751986342;0.525497806480243;0.304938955044652;0.800000000000011;0.0399999999999991;5.06999999999994
"6384426";1;0;0.0751359146792666;0.190588904807698;0.00819321601724772;0.0905163853523091;0.449712202219027;0.201276249356081;0.770000000000039;0.0199999999999996;5.03999999999996
"6391856";1;0;0.0705117889264251;0.204830934290839;0.0100504386778804;0.100251876181348;0.463641342840024;0.216227214698451;0.920000000000016;0;4.98000000000002
"6394348";1;0;0.0454680470188628;0.228686084117911;0.00539377790001363;0.0734423440530981;0.404784376409018;0.181435718207878;0.830000000000041;0.0300000000000011;5.10000000000014
"6396185";1;0;0.0973623861425149;0.409139750910734;0.0140377882364588;0.118481172497823;0.324850849474647;0.364724835072563;0.850000000000023;0.0199999999999996;5.06000000000017
"6396198";1;0;0.0560871229086266;0.510366292316558;0.00576533540868245;0.0759298057990566;0.271965257823467;0.279189358253776;0.829999999999984;0.0199999999999996;5.03999999999996
"6396344";1;0;NA;NA;NA;NA;NA;NA;0.439999999999998;0.0300000000000011;4.13999999999987
"6397734";1;0;0.091673877873368;0.144899854364793;0.0127203133009992;0.112784366385591;0.675139993828322;0.167053303635676;0.829999999999984;0.0399999999999991;5.33000000000016
"6398496";1;0;0.0332784236975144;0.0985262012531133;0.00250181630489408;0.0500181597511752;0.351202554180331;0.142419692441908;0.800000000000011;0.109999999999999;5.04999999999996
"6400127";1;0;0.0601789160845835;0.131370697975931;0.00477989420962122;0.069136778993682;0.480501177410285;0.143884723376335;0.810000000000002;0.0500000000000007;5.01999999999998
"6402214";1;0;0.061169870650269;0.266654113264633;0.00661505966556395;0.0813330170691088;0.335959037999526;0.242092064417757;0.860000000000014;0.0299999999999976;5.13999999999987
"6406085";1;0;0.0612789825142085;0.151292386532479;0.00513171067800548;0.0716359593919526;0.412627866646896;0.173609116548725;0.859999999999957;0.0700000000000003;5.07000000000016
"6412073";1;0;0.074221374606302;0.363879878943258;0.00898205468726613;0.094773702509009;0.216151101281866;0.438460419340735;0.819999999999993;0.0400000000000027;5.09999999999991
"6429112";1;0;0.0687829379632803;0.168904165052144;0.00733067093302183;0.0856193373778484;0.435454534987609;0.196620612483195;0.930000000000007;0.0199999999999996;5.02999999999997
"6429753";1;0;0.0500614770434164;0.43558661220786;0.00517039557211249;0.0719054627418007;0.264386540842021;0.271970965363046;0.759999999999991;0;5.02999999999997
"6429769";1;0;0.0450707726372195;0.17907839537082;0.00360411915229185;0.0600343164556061;0.293666702074309;0.204430110841831;0.779999999999973;0.0599999999999987;5.11000000000013
"6430564";1;0;0.0768149791325703;0.728572901392365;0.0114093160376401;0.106814399954501;0.377664535262046;0.282828780521812;0.800000000000011;0.0300000000000011;5.07999999999993
"6430577";1;0;0.0622723957353691;0.271336121314028;0.010987728625592;0.104822367010062;0.4203317451537;0.249380086606906;0.800000000000011;0.0199999999999996;5.05999999999995
"6431079";1;0;0.0598253345297584;0.54911412322734;0.00789294191300601;0.0888422304594274;0.266751008568171;0.333053025502331;0.900000000000034;0;5.22000000000003
"6431126";1;0;0.0548625130663615;0.143047339009658;0.00456537866490164;0.0675675859040534;0.422089773531826;0.160078708703798;0.860000000000014;0.00999999999999801;5.08000000000016
"6431127";1;0;0.0544766269926971;0.221237692130051;0.00421729823956071;0.0649407286651506;0.273451516628266;0.237485348283631;0.830000000000041;0.0200000000000031;5.02999999999997
"6431268";1;0;0.107458435532514;0.245356586615284;0.0170939312464843;0.130743761788027;0.489504693164712;0.267093990341035;0.870000000000005;0.0199999999999996;5.07999999999993
"6431273";1;0;0.0787703125737605;0.204161661476743;0.00903156835858515;0.0950345640205981;0.398688508818547;0.238367953724622;0.859999999999957;0;5.07999999999993
"6431327";1;0;0.0814229130683404;0.273009903546817;0.0100809497554785;0.100403932968178;0.355661463125476;0.282301973584235;0.75;0.0100000000000016;5.00999999999999
"6431414";1;0;0.10041233415277;0.270561081458152;0.0150715063177589;0.122766063379742;0.420381915445129;0.292034597277452;0.829999999999984;0;4.96000000000004
"6431415";1;0;0.083074269072869;0.139094946187732;0.0099354016848068;0.0996764851146287;0.648045365015666;0.153810968329693;0.839999999999975;0.0500000000000007;5.08999999999992
"6431427";1;0;0.0442143128836265;0.226161341382853;0.00327974334063321;0.0572690434758012;0.24559734860169;0.233182661791191;1;0.0500000000000007;5
