"Contrato";"Total"
"6351960";262
"6353617";271
"6354706";271
"6355390";271
"6355405";271
"6357841";271
"6358872";271
"6358890";271
"6361595";271
"6364682";271
"6369773";271
"6369836";271
"6373373";271
"6373376";271
"6373402";271
"6373577";271
"6373793";271
"6377862";271
"6378402";271
"6384426";271
"6386652";0
"6391847";0
"6391856";271
"6392760";271
"6393621";271
"6394348";271
"6396185";271
"6396198";271
"6396344";271
"6396364";271
"6397734";271
"6397830";271
"6398496";271
"6400127";271
"6400489";274
"6400759";0
"6400989";273
"6400993";273
"6400994";273
"6400997";273
"6401005";273
"6401855";274
"6402165";0
"6402168";273
"6402171";0
"6402172";273
"6402214";274
"6406085";271
"6406092";271
"6406280";271
"6409317";271
"6410146";271
"6412073";271
"6416024";271
"6416203";271
"6416226";271
"6420135";271
"6422694";271
"6429112";271
"6429753";271
"6429769";271
"6429916";0
"6429987";271
"6430007";0
"6430564";271
"6430577";274
"6430918";271
"6431079";271
"6431097";271
"6431126";271
"6431127";271
"6431268";271
"6431273";274
"6431327";273
"6431331";271
"6431414";271
"6431415";271
"6431427";271
"6431430";271
"6431521";271
"6431524";271
"6431535";271
"6432723";271
"6432724";274
"6432725";271
"6434297";271
"6434298";271
"6434299";271
"6436099";271
"6436100";271
"6436906";271
"6436974";271
"6437379";271
"6438510";271
"6438908";271
"6439676";271
"6439812";271
"6439813";271
"6439814";271
"6439815";271
"6440330";271
"6440364";271
"6440366";271
"6440370";0
"6440893";271
"6440894";271
"6441166";271
"6441169";271
"6441171";271
"6441172";271
"6441173";271
"6441174";271
"6441175";271
"6441237";271
"6441354";271
"6441356";271
"6441467";271
"6441469";269
"6441473";271
"6441899";271
"6441902";271
"6441903";0
"6441924";271
"6442236";271
"6442999";271
"6443000";271
"6443006";271
"6443818";271
"6443831";271
"6444397";271
"6444401";271
"6444403";271
"6444406";271
"6444534";271
"6444851";271
"6445155";271
"6447936";274
"6449098";271
"6449099";271
"6449801";271
"6449803";271
"6449806";271
"6451307";271
"6451392";271
"6451505";271
"6451703";271
"6452755";271
"6453067";271
"6453070";271
"6453255";271
"6453259";271
"6453279";271
"6453281";271
"6453283";271
"6453523";274
"6456676";271
"6456677";271
"6456678";271
"6456679";271
"6456681";271
"6456682";271
"6456864";271
"6457709";274
"6459510";271
"6461478";271
"6462152";273
"6462640";271
"6464310";271
"6465914";0
"6466823";271
"6466824";271
"6466825";271
"6467039";271
"6467040";271
"6467298";271
"6470504";271
"6472805";271
"6473003";271
"6473494";274
"6474329";271
"6475894";271
"6476819";271
"6477901";271
"6478559";271
"6481231";271
"6482295";271
"6483443";274
"6484593";274
"6489824";274
"6491890";271
"6495095";271
"6496230";0
"6496232";271
"6496354";273
"6500330";271
"6501672";274
"6502323";271
"6502668";271
"6503842";274
"6504565";271
"6505874";271
"6506989";274
"6506990";274
"6507780";271
"6507785";271
"6510170";271
"6513888";274
"6515860";271
"6515865";271
"6523676";271
"6524125";273
"6525295";273
"6525876";271
"6526963";271
"6528098";271
"6530198";271
"6533395";271
"6536623";271
"6537194";271
"6543897";271
"6544813";271
"6547404";271
"6548037";271
"6548038";271
"6551656";271
"6552773";271
"6558924";271
"6559630";271
"6560222";271
"6560231";271
"6564834";271
"6566294";271
"6566575";271
"6568029";271
"6587228";271
"6587395";274
"6595270";271
"6596867";271
"6598500";271
"6598803";271
"6598925";271
"6598940";271
"6605391";271
"6605396";271
"6606317";271
"6606724";274
"6611136";271
"6617012";271
"6617017";271
"6617582";274
"6617583";274
"6619213";273
"6619762";271
"6620509";271
"6620670";271
"6620685";271
"6621311";271
"6626209";271
"6629187";271
"6630537";271
"6632651";271
"6635588";271
"6635590";271
"6636324";271
"6636326";271
"6647357";271
