"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.scl_7_8_9.n_TotalD";"NDVI.scl_7_8_9.n_TotalNA";"NDVI.scl_7_8_9.n_MaxNA";"NDVI.scl_7_8_9.Mean_Min";"NDVI.scl_7_8_9.Mean_Mean";"NDVI.scl_7_8_9.Mean_Max";"NDVI.scl_7_8_9.Mean_TotalNoNA";"NDVI.scl_7_8_9.Mean_TotalNA"
"6351960";2017-10-03;2022-02-09;7;16;1;0.0151214397822817;0.660405590070714;0.868191548756191;193;81
"6353617";2017-10-03;2022-02-09;5;16;1;0.0393015863373876;0.415812524143314;0.776320368051529;170;104
"6354706";2017-10-03;2022-02-09;11;16;1;0.000393184666441252;0.396493433203682;0.540949046611786;179;95
"6355390";2017-10-03;2022-02-09;3;16;1;-0.104923468083143;0.381534697809353;0.589345544576645;177;97
"6355405";2017-10-03;2022-02-09;5;16;1;0.143308743834496;0.598578031646503;0.98474283516407;181;93
"6357841";2017-10-03;2022-02-09;2;16;1;-0.0188216045498848;0.206592505284458;0.414882034063339;176;98
"6358872";2017-10-03;2022-02-09;2;16;1;0.033026035875082;0.419877682019163;0.605024248361588;135;139
"6358890";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6361595";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6364682";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6369773";2017-10-03;2022-02-09;6;16;1;-0.105582267045975;0.455823786618517;0.707977259159088;186;88
"6369836";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6373373";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6373376";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6373402";2017-10-03;2022-02-09;1;93;6;Inf;NA;-Inf;0;274
"6373577";2017-10-03;2022-02-09;26;16;1;0.0135382727057731;0.673321694867761;0.902887918551763;189;85
"6373793";2017-10-03;2022-02-09;2;16;1;0.016096455976367;0.511596588895757;0.823526899019877;178;96
"6377862";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6378402";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6384426";2017-10-03;2022-02-09;2;16;1;0.125976327806711;0.459411740240254;0.637465506792069;178;96
"6391856";2017-10-03;2022-02-09;2;16;1;0.123899914324284;0.484289553147905;0.671989262104034;170;104
"6392760";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6393621";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6394348";2017-10-03;2022-02-09;19;16;1;0.000169755337992683;0.414189959765315;0.544825813893614;184;90
"6396185";2017-10-03;2022-02-09;5;16;1;0.0747107975184917;0.333258673448109;0.559815108776093;179;95
"6396198";2017-10-03;2022-02-09;2;16;1;-0.240459769964218;0.273543370678227;0.438021272420883;169;105
"6396344";2017-10-03;2022-02-09;7;16;1;-0.159150063991547;0.448097577719734;0.703580796718597;182;92
"6396364";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6397734";2017-10-03;2022-02-09;7;16;1;0.142902843654156;0.663820893538493;0.935179781913757;187;87
"6397830";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6398496";2017-10-03;2022-02-09;9;16;1;0.13422067463398;0.358631776759957;0.616871857643127;178;96
