"Fecha";"Tmed";"Tmax";"Tmin";"HRmed";"HRmax";"HRmin";"RADmed";"RADmax";"VVmed";"VVmax";"DVmed";"Prec";"PtoRocio";"DPV"
2015-11-25T00:00:00Z;9.7;10.9;8.4;50.3;55;45.8;0;0;2.4;3.9;271.2;0;-0.2;0.6
2015-11-25T01:00:00Z;10.5;10.8;10;47.1;48.8;46.3;0;0;2.2;3.6;274.4;0;-0.3;0.7
2015-11-25T02:00:00Z;10.3;11;9.6;47.5;50.2;45.2;0;0;2.6;3.8;260.1;0;-0.4;0.7
2015-11-25T03:00:00Z;9.7;10.2;9.2;49.4;51.1;47.7;0;0;2.6;4.2;252.6;0;-0.4;0.6
2015-11-25T04:00:00Z;10.9;11.5;10.1;45.3;47.5;43.3;0;0;4;6.5;249.9;0;-0.5;0.7
2015-11-25T05:00:00Z;10.8;11.6;10.2;46.5;49.3;43.6;0;0;1.1;3.5;243.6;0;-0.2;0.7
2015-11-25T06:00:00Z;11.6;13.5;10.4;45.7;48.5;40.8;0;0;2.2;4.8;272.5;0;0.2;0.7
2015-11-25T07:00:00Z;12;12.9;11.7;44.7;45.9;41.8;0.3;3.3;2.9;4.7;287.5;0;0.4;0.8
2015-11-25T08:00:00Z;11.9;12.4;11.6;45.2;46.5;43.8;19.9;39.8;3;4.5;270.7;0;0.4;0.8
2015-11-25T09:00:00Z;13.1;13.5;12.3;43.6;45.3;42.1;83.2;112.2;2.7;5.3;256.6;0;1;0.8
2015-11-25T10:00:00Z;14.5;15.2;13.2;42.3;45.3;40.5;219.1;592.9;4.6;9;303;0;1.8;1
2015-11-25T11:00:00Z;16;16.5;15.6;39.3;40.5;38.2;419.3;534.2;5.7;10.1;308.1;0;2.2;1.1
2015-11-25T12:00:00Z;17.3;17.8;16.8;37.8;38.3;37.5;534.1;546.2;5.8;9.7;316.5;0;2.8;1.2
2015-11-25T13:00:00Z;18.4;19;18;35.5;36.8;34.1;521.5;537;5.4;9.1;322.2;0;2.8;1.4
2015-11-25T14:00:00Z;19;19.1;18.9;33.5;34.1;33.1;456.7;499.1;6.4;12.5;332.5;0;2.6;1.5
2015-11-25T15:00:00Z;19.3;19.4;19.2;33;33.5;32.5;342.3;407.9;6.1;10.1;325.1;0;2.6;1.5
2015-11-25T16:00:00Z;19.2;19.3;18.7;33.7;35.1;33.1;164.5;267.8;4.9;8;323.2;0;2.8;1.5
2015-11-25T17:00:00Z;18.2;18.6;17.8;36.1;37.3;35.1;13.4;26.7;4.5;9.1;338.1;0;3;1.3
2015-11-25T18:00:00Z;17.7;18.4;17.3;37.9;39.1;36;0.2;3.9;3.6;8.9;331.2;0;3.2;1.3
