"Contrato";"redim.Total";"redim.CCs";"redim.dif";"agg.Total";"agg.CCs";"agg.dif"
"6351960";128;62;66;128;62;66
"6353617";128;50;78;128;50;78
"6354706";128;57;71;128;57;71
"6355390";128;58;70;128;58;70
"6355405";128;53;75;128;53;75
"6357841";128;56;72;128;56;72
"6358872";128;32;96;128;32;96
"6369773";128;51;77;128;52;76
"6373577";128;59;69;128;59;69
"6373793";128;52;76;128;52;76
"6384426";128;55;73;128;55;73
"6391856";128;53;75;128;53;75
"6394348";128;53;75;128;53;75
"6396185";128;50;78;128;50;78
"6396198";128;51;77;128;51;77
"6396344";71;26;45;72;26;46
"6397734";128;62;66;128;62;66
"6398496";128;51;77;128;51;77
"6400127";128;49;79;128;49;79
"6402214";130;60;70;130;60;70
"6406085";128;48;80;128;49;79
"6412073";128;51;77;128;51;77
"6429112";128;51;77;128;51;77
"6429753";128;51;77;128;51;77
"6429769";128;58;70;128;58;70
"6430564";128;56;72;128;56;72
"6430577";130;59;71;130;59;71
"6431079";128;48;80;128;48;80
"6431126";128;55;73;128;55;73
"6431127";128;51;77;128;51;77
"6431268";128;52;76;128;52;76
"6431273";130;56;74;130;56;74
"6431327";130;50;80;130;50;80
"6431414";128;47;81;128;48;80
"6431415";128;54;74;128;54;74
"6431427";128;52;76;128;52;76
"6431524";128;33;95;128;33;95
"6432724";130;49;81;130;49;81
"6432725";128;56;72;128;56;72
"6434298";128;55;73;128;55;73
"6434299";128;56;72;128;56;72
"6436099";128;53;75;128;53;75
"6436100";128;55;73;128;55;73
"6436974";128;53;75;128;54;74
"6438510";61;61;0;61;61;0
"6438908";128;54;74;128;54;74
"6439676";128;56;72;128;56;72
"6439812";128;58;70;128;58;70
"6439813";128;57;71;128;57;71
"6439814";128;43;85;128;64;64
"6440330";128;53;75;128;53;75
"6440364";128;56;72;128;56;72
"6440366";128;53;75;128;53;75
"6440894";128;39;89;128;39;89
"6441166";128;55;73;128;55;73
"6441173";128;57;71;128;57;71
"6441356";128;57;71;128;57;71
"6441467";128;53;75;128;53;75
"6441469";128;53;75;128;53;75
"6441899";128;56;72;128;56;72
"6441924";128;48;80;128;48;80
"6442236";22;6;16;22;6;16
"6443006";128;53;75;128;53;75
"6443818";128;57;71;128;57;71
"6443831";128;51;77;128;51;77
"6444403";128;53;75;128;53;75
"6444534";128;45;83;128;45;83
"6445155";128;47;81;128;47;81
"6447936";130;53;77;130;53;77
"6449098";128;48;80;128;48;80
"6449099";128;62;66;128;62;66
"6449806";128;51;77;128;51;77
"6451307";128;60;68;128;60;68
"6451505";128;52;76;128;52;76
"6451703";128;58;70;128;58;70
"6452755";128;50;78;128;52;76
"6453070";128;48;80;128;48;80
"6453255";128;50;78;128;50;78
"6453259";128;55;73;128;55;73
"6453523";130;52;78;130;52;78
"6456676";128;50;78;128;50;78
"6456677";128;51;77;128;51;77
"6456678";128;50;78;128;50;78
"6456681";128;48;80;128;48;80
"6456682";128;52;76;128;52;76
"6457709";130;48;82;130;48;82
"6459510";128;56;72;128;56;72
"6461478";128;54;74;128;54;74
"6462152";130;53;77;130;53;77
"6462640";128;62;66;128;62;66
"6466823";128;53;75;128;53;75
"6466825";128;54;74;128;54;74
"6467039";128;54;74;128;54;74
"6470504";128;51;77;128;51;77
"6472805";128;52;76;128;52;76
"6473003";128;65;63;128;65;63
"6477901";128;56;72;128;56;72
"6478559";128;55;73;128;55;73
"6481231";128;56;72;128;56;72
"6483443";130;54;76;130;54;76
"6484593";130;60;70;130;60;70
"6491890";128;51;77;128;51;77
"6496354";130;52;78;130;52;78
"6501672";130;52;78;130;52;78
"6502323";128;46;82;128;46;82
"6502668";128;54;74;128;54;74
"6505874";128;35;93;128;35;93
"6506990";130;60;70;130;60;70
"6507780";128;59;69;128;59;69
"6507785";128;57;71;128;57;71
"6515860";128;59;69;128;59;69
"6515865";128;51;77;128;51;77
"6523676";128;52;76;128;52;76
"6524125";130;59;71;130;59;71
"6528098";59;59;0;59;59;0
"6530198";128;55;73;128;55;73
"6533395";128;45;83;128;45;83
"6536623";128;48;80;128;48;80
"6543897";128;26;102;128;26;102
"6544813";128;53;75;128;53;75
"6547404";128;53;75;128;53;75
"6548037";128;53;75;128;53;75
"6548038";128;61;67;128;62;66
"6551656";128;50;78;128;51;77
"6552773";128;60;68;128;60;68
"6558924";128;62;66;128;62;66
"6559630";128;63;65;128;63;65
"6560222";128;61;67;128;61;67
"6560231";128;50;78;128;50;78
"6564834";128;52;76;128;52;76
"6566575";128;52;76;128;53;75
"6587228";128;56;72;128;56;72
"6587395";130;69;61;130;69;61
"6595270";128;50;78;128;50;78
"6596867";128;50;78;128;50;78
"6598500";128;50;78;128;50;78
"6598925";128;53;75;128;53;75
"6598940";128;59;69;128;59;69
"6605391";128;57;71;128;57;71
"6605396";128;60;68;128;60;68
"6606317";128;51;77;128;51;77
"6606724";130;59;71;130;59;71
"6611136";128;57;71;128;57;71
"6617012";128;56;72;128;56;72
"6617017";128;56;72;128;56;72
"6617582";130;58;72;130;58;72
"6617583";130;52;78;130;52;78
"6619762";128;57;71;128;57;71
"6620670";61;28;33;61;28;33
"6620685";128;55;73;128;55;73
"6626209";128;62;66;128;62;66
"6630537";128;64;64;128;64;64
"6635588";128;57;71;128;57;71
"6635590";128;52;76;128;52;76
"6636324";128;62;66;128;62;66
"6636326";128;65;63;128;65;63
"6647357";128;54;74;128;54;74
