"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
1;0;0.0857950346672183;Inf;0.0151505450222686;0.123087550232624;0.259627073871955;0.474093662101391;169.26;3.47;14262.81
1;1;0.177360092218341;Inf;0.0476068023877544;0.218189831082373;0.259627073871955;0.840397065792844;117.66;5.78;3230.63
1;2;0.155040488402744;Inf;0.0382029605397546;0.195455776429745;0.259627073871955;0.7528327978851;148.18;3.59;4190.97
1;3;0.140689825008924;Inf;0.0331248476993875;0.182002328829572;0.259627073871955;0.701014443968709;148.03;4.76;9043.92
1;4;0.135137229815653;Inf;0.0309027137707623;0.175791677194236;0.259627073871955;0.677093011035258;149.59;4.78;14735.18
235;0;0.141359885940684;Inf;0.0326949708875433;0.16869479508524;0.258715412329628;0.643677938532324;147.530000000012;4.52000000000004;1027.85000000002
235;1;0.150802352735329;Inf;0.0388783262441356;0.184311618105234;0.258715412329628;0.704825239353651;125.45999999999;2.21000000000043;305.799999999967
235;2;0.145557062788897;Inf;0.0352831253580307;0.175224906379126;0.258715412329628;0.669369821071644;128.06000000001;2.15999999999974;383.01999999999
235;3;0.142900097521055;Inf;0.0335411552172858;0.170811010793745;0.258715412329628;0.651995690931774;138.500000000004;3.98999999999944;709.940000000032
235;4;0.141107475049246;Inf;0.0326736481797589;0.168174173308314;0.258715412329628;0.640909354795694;149.05999999999;4.62000000000046;1078.64999999999
