"Group";"N";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"6351960";1;0;0.0834675683151805;0.129142642385496;0.0106839937182668;0.103363406088745;0.688741627801843;0.150075735103503;0.7;0.07;4.34
"6351960";1;1;0.0886486168075166;0.135513919552829;0.0109549866779798;0.104666072239192;0.688741627801843;0.151967106407144;0.63;0.00999999999999995;0.970000000000001
"6351960";1;2;0.0948364592019216;0.147273656290964;0.0121152693062684;0.110069384055097;0.688741627801843;0.159812300595782;0.61;0;1.27
"6351960";1;3;0.0976934951943915;0.151257245837015;0.012843973750392;0.113331256722901;0.688741627801843;0.164548289442884;0.62;0.02;1.28
"6351960";1;4;0.0808837060510249;0.12501337222105;0.00878982690719442;0.0937540767497308;0.688741627801843;0.136123726177191;0.64;0;0.950000000000001
"6351960";1;5;0.0800994111292659;0.124127307128098;0.00853654654773813;0.0923934334665518;0.688741627801843;0.134148176525108;0.56;0.01;0.969999999999999
"6351960";1;6;0.0804586977930374;0.125502604167606;0.00881486512700201;0.0938875131580447;0.688741627801843;0.13631746560418;0.58;0.05;1.03
"6351960";1;7;0.0840296109975854;0.131486069324989;0.00966083209769818;0.0982895319843277;0.688741627801843;0.142708859195899;0.58;0.02;1.02
"6351960";1;8;0.0848806260664116;0.134131447378462;0.0108277826783309;0.104056632072785;0.688741627801843;0.151082246044699;0.58;0.03;1.03
"6351960";1;9;0.0880767186002318;0.137345233578688;0.0108899148626969;0.104354754863863;0.688741627801843;0.151515097463931;0.58;0.01;1.08
"6351960";1;10;0.0865693912748339;0.136165473641844;0.00995348692265813;0.0997671635492266;0.688741627801843;0.144854266857136;0.560000000000001;0.02;1.09
"6351960";1;11;0.0900995312612598;0.140356421108791;0.0110311653324489;0.105029354622643;0.688741627801843;0.152494564555144;0.59;0.03;1.12
"6351960";1;12;0.0859695473023962;0.133755254993525;0.010518823410204;0.102561315368925;0.688741627801843;0.14891116091858;0.559999999999999;0.02;1.12
"6351960";1;13;0.102954821816097;0.158452784126186;0.0134277272342005;0.115878070549179;0.688741627801843;0.168246067714841;0.6;0;1.14
"6351960";1;14;0.096247247042915;0.148257113589341;0.0122205053733822;0.110546394664784;0.688741627801843;0.160504883402501;0.710000000000001;0.01;1.18
