"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0696627555971069;0.292189327972449;0.00969143029932626;0.0984217319371127;0.392280648814799;0.250991030997762;1.92999999999995;0.0800000000000018;32.2199999999939
"3";0;0.0717576980739453;0.297390723887047;0.0100922575282353;0.100385385525521;0.392123245165053;0.256076047507651;2.80999999999983;0.109999999999999;33.7200000000012
"4";0;0.0719431191565467;0.301075179012531;0.0102365464565426;0.101069770879592;0.392162983388327;0.257852713146876;3.54999999999984;0.140000000000001;34.9500000000044
"5";0;0.0719518321734207;0.300420920672718;0.0102628277283397;0.101193458277854;0.39289973433607;0.257648854043664;4.3599999999999;0.149999999999999;38.760000000002
"6";0;0.0730150183774105;0.303794454363699;0.0105585742982225;0.10263836603837;0.392900064169401;0.261490244904061;5.12000000000001;0.16;40.6700000000055
"7";0;0.0741967976622066;0.304832212396556;0.0107495106390238;0.10330646597291;0.392896299200993;0.263043222476053;5.80999999999995;0.159999999999997;42.7300000000032
"8";0;0.0742147402737533;0.306581873527529;0.0106383594191202;0.10268056877791;0.393050293604924;0.261289325556847;6.57000000000005;0.169999999999995;44.7900000000009
"9";0;0.0745885910941277;0.30541421756018;0.0105744931998502;0.10222628013123;0.393257395904419;0.259955951840209;7.32999999999993;0.249999999999996;46.8400000000038
"10";0;0.0746647272099177;0.304242255398963;0.0106921647229487;0.10279950378728;0.393249008221916;0.261538556973903;7.78999999999997;0.280000000000001;48.310000000005
"11";0;0.0754147583077522;0.306665371486161;0.011037526721519;0.104080459260466;0.393244509414328;0.264590649266578;8.57999999999993;0.260000000000001;50.2500000000073
"12";0;0.0760287289817287;0.310018737258284;0.0111004608980885;0.104360201836657;0.393423121357788;0.265162980360573;9.20000000000005;0.240000000000002;52.2000000000044
"13";0;0.0763627132788993;0.310440292732771;0.0111962905843992;0.104864643825513;0.393441027143407;0.266415601685208;10.09;0.270000000000003;53.7000000000044
"14";0;0.0761115237409486;0.309454481128718;0.0111216898070685;0.104513210374977;0.393070679644308;0.266164935712575;10.9100000000001;0.27;55.2700000000004
"15";0;0.0764784150203039;0.309657067169296;0.0111931204433637;0.104841996936913;0.393117614704237;0.267642113504957;11.34;0.309999999999999;57.5200000000004
"16";0;0.0768403412698802;0.311232763662943;0.0112540052143276;0.105148586652052;0.393126416434136;0.268572650467889;12.0099999999999;0.339999999999996;58.9799999999996
"17";0;0.0770370508220567;0.311471625545503;0.0113761041356183;0.105455413891269;0.393126416434136;0.2691118427603;12.5699999999999;0.349999999999998;60.3899999999958
