"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0629925181458849;0.263221133021429;0.00782276060659062;0.087976606110439;0.390095761967859;0.237421097285936;1.93000000000007;0.0500000000000007;32.7100000000028
"3";0;0.0620352846217492;0.257004124959308;0.00772360557058046;0.0871198798553686;0.390271741770534;0.235544042839403;2.47000000000003;0.0500000000000007;33.9600000000027
"4";0;0.0604914837682808;0.252605755260488;0.00727445985418038;0.0837201748964871;0.389554524418601;0.227794385446726;3.0200000000001;0.0800000000000018;35.6500000000014
"5";0;0.0596485158750573;0.248176859283265;0.00709457572593657;0.0824893386493068;0.389469158349253;0.223763138008259;3.7600000000001;0.110000000000003;37.7399999999979
"6";0;0.0596111712635652;0.248330875028071;0.00719123618054911;0.0828132985614325;0.389397323561949;0.22445853908599;4.37;0.109999999999999;39.0599999999976
"7";0;0.0590748295755337;0.248636580538686;0.00714928569831809;0.0824697148276203;0.389567714907239;0.223812953351005;5.19000000000005;0.100000000000002;40.8100000000049
"8";0;0.0595753803594546;0.24944655331516;0.00717619766008511;0.0825936477493362;0.389393981118532;0.224501964288225;5.75999999999999;0.150000000000006;42.8300000000017
"9";0;0.0597329530806226;0.250455590036089;0.00716830986528387;0.0825002336746506;0.389568476210789;0.224164572613221;6.43999999999994;0.170000000000005;44.4100000000108
"10";0;0.0600633407130544;0.251110995268924;0.00722647096174707;0.0828421485283938;0.389568476210789;0.22553654045249;7.14999999999998;0.170000000000004;46.9700000000121
"11";0;0.0603651946081586;0.252244768710479;0.00729315421776866;0.0831620149330026;0.389719387882368;0.226353922830426;7.63999999999965;0.180000000000002;47.96000000001
"12";0;0.0603856610766801;0.252621657236891;0.00730092912067441;0.0832034439565295;0.389732682115866;0.226435060328004;8.36999999999966;0.19;49.4300000000112
"13";0;0.0604161938945714;0.252718729304589;0.00728372898404831;0.0830874641904037;0.389736944964402;0.226165236370788;8.98999999999967;0.239999999999999;50.7600000000093
