"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0647528093779665;0.268753924326826;0.00829026977899534;0.0910429015437501;0.390012787173032;0.243878244557912;1.77999999999997;0.0999999999999996;32.4500000000044
"3";0;0.062724206347259;0.260205175525206;0.00789270663201663;0.0883863857901393;0.390250305474468;0.234486009787286;2.47999999999991;0.0800000000000001;33.9700000000049
"4";0;0.0624831422623384;0.25753078987064;0.00786063485121661;0.0879467150349086;0.390341181405005;0.233220102746033;3.03999999999985;0.11;35.180000000004
"5";0;0.0628994425676404;0.261199015786782;0.0078200514685486;0.0876768075972455;0.38971474255225;0.233926417128497;3.69999999999993;0.149999999999999;36.3100000000013
"6";0;0.0627114484570878;0.260892883715573;0.00781481224211535;0.0876372289021515;0.38966385252449;0.233831325807845;4.3900000000001;0.129999999999999;38.5000000000037
"7";0;0.0614585073807504;0.253706412898751;0.00746450447456631;0.0854370881893182;0.388670393853977;0.23053915923698;5.0200000000001;0.16;40.2900000000045
"8";0;0.0615917020978515;0.254188943540929;0.00749132928886036;0.085626229581111;0.388670393853977;0.231224294444696;5.65000000000009;0.16;43.1300000000046
"9";0;0.0615423729998929;0.251839798455963;0.0074298577574729;0.0851217950819083;0.388666832858339;0.229943681035719;6.23000000000002;0.120000000000001;45.4200000000055
"10";0;0.0611646635113384;0.250726455917564;0.00739970789166159;0.0849243016874287;0.388929684447138;0.229466494901908;6.85000000000014;0.110000000000001;47.25
"11";0;0.0614077148885257;0.252973148127256;0.00744035976178049;0.0849191617307598;0.38892749758858;0.229738277259378;7.26000000000006;0.130000000000001;47.7899999999991
"12";0;0.0618442656793859;0.253267263759417;0.00752274588479239;0.085314195936872;0.388791328875474;0.230534740975286;7.83000000000023;0.130000000000001;49.4499999999989
"13";0;0.0618181208845861;0.254704081000142;0.00751113287577352;0.0852385333266868;0.389170697566995;0.23062998224419;8.38000000000018;0.159999999999998;50.960000000001
"14";0;0.061385139938112;0.253607449118705;0.00741383098063705;0.0842509625180006;0.389063670179021;0.228308643228069;9.07000000000001;0.139999999999999;52.2600000000039
"15";0;0.0609018496037304;0.251517035557025;0.0073133136651889;0.0834174766103507;0.389130319781313;0.225661285005115;9.74999999999996;0.209999999999997;53.4100000000053
"16";0;0.0610279686057976;0.251561658549707;0.0073503136919061;0.0831939664375934;0.389118571297581;0.224734948473327;10.23;0.239999999999998;53.8600000000061
"17";0;0.061133706002435;0.251091617437026;0.0074131696620337;0.0835990434107091;0.389133298627004;0.227776854922732;10.8800000000001;0.199999999999998;55.0300000000007
"18";0;0.0612052062927609;0.251115285671471;0.00742410496406938;0.0836702835993047;0.389486359158563;0.227800032140521;11.5500000000001;0.239999999999997;59.2199999999994
"19";0;0.0616903881035413;0.251915185126729;0.00748760316280336;0.0839455896402918;0.38966244887069;0.228223873000244;12.2700000000001;0.269999999999998;60.7600000000039
"20";0;0.0618946715191223;0.252161269273253;0.00752726107092234;0.0841883608489436;0.389651305271228;0.229514739667202;12.92;0.309999999999997;62.5700000000015
"21";0;0.062231916009948;0.252749279788447;0.00759443064611654;0.0844062846232888;0.389663918398599;0.230006570280447;13.5699999999999;0.339999999999998;63.7300000000032
"22";0;0.0620702894300561;0.252515305293828;0.00754891706507886;0.084153576591074;0.389663918398599;0.229564041127442;14.2099999999999;0.389999999999999;64.5900000000074
"23";0;0.062345306257415;0.253753702694204;0.00762270048718626;0.0844923758776613;0.389639368526426;0.231451585725005;14.9599999999997;0.419999999999998;66.1000000000095
"24";0;0.0626353523462375;0.255918556663028;0.00774424850190865;0.085157153428353;0.389629804334024;0.233100109876049;15.5699999999997;0.429999999999996;67.4700000000121
"25";0;0.0628356093245589;0.259875987094602;0.00784108050418593;0.085186018101327;0.389773226493568;0.231760417262899;16.1499999999997;0.429999999999996;68.8300000000127
"26";0;0.0630333118898631;0.261840350959281;0.00786986807983052;0.0851849304532169;0.389865975097279;0.23143514480608;16.7199999999998;0.429999999999996;70.5600000000122
"27";0;0.0626018026627478;0.261444381842848;0.00778865443539121;0.0846912286258644;0.389393119599696;0.230482378814921;17.3999999999997;0.449999999999996;72.8400000000147
"28";0;0.0626212527342009;0.260980597451801;0.00779410036350422;0.0846961481856429;0.389336754317515;0.230616513222443;17.9999999999997;0.499999999999996;74.0800000000172
"29";0;0.0630330215597753;0.261813194582366;0.00782552522970945;0.0848633572712797;0.389378161800885;0.230997130392632;18.6799999999997;0.489999999999998;75.4000000000133
"30";0;0.0631559801011448;0.262386089215038;0.00784855155931484;0.0849336635014837;0.389378161800885;0.231248631582364;19.3499999999996;0.449999999999999;76.230000000015
"31";0;0.0629551483097591;0.26120449385158;0.00782467404750011;0.0848188496301962;0.389811996737877;0.230634097822928;19.9399999999997;0.449999999999999;78.2000000000162
"32";0;0.0625919667877802;0.259904009147319;0.00776250724268769;0.0844914770386729;0.390291619144766;0.229576914771033;20.5999999999996;0.469999999999999;80.690000000016
"33";0;0.0623680226860917;0.259281351688281;0.00775843625139802;0.0844539172048693;0.390277920150373;0.22957190613001;21.1499999999997;0.48;81.2500000000155
"34";0;0.0630379872484762;0.260805353891235;0.00789681197891555;0.0852393741443526;0.390275516625576;0.231327207742245;21.7599999999996;0.52;82.4600000000164
"35";0;0.0632179245839786;0.262712132367922;0.00797612004596966;0.0855519315542711;0.390205913819063;0.232629886510668;22.3999999999996;0.540000000000003;84.1800000000167
"36";0;0.0632820738505772;0.26325272567866;0.00798179536201787;0.0856076662821877;0.390230966323763;0.232976021675594;23.1099999999995;0.600000000000005;85.0200000000132
"37";0;0.0632820738505772;0.26325272567866;0.00798179536201787;0.0856076662821877;0.390230966323763;0.232976021675594;23.7899999999995;0.650000000000004;86.4600000000119
"38";0;0.0633889632245307;0.262690429240824;0.0079882357592941;0.0856441604599233;0.390423432748329;0.232904713859406;24.3999999999995;0.680000000000003;87.8700000000118
"39";0;0.0643962794420341;0.263962308659326;0.00814697813424209;0.0863087800809453;0.390398140028905;0.23401879913311;24.9899999999994;0.750000000000002;88.4300000000104
"40";0;0.0645425682698627;0.264210868064804;0.00818431692344353;0.0865084464821127;0.39039988461629;0.234409867678377;25.6299999999994;0.78;89.9100000000082
"41";0;0.0642681238032301;0.26378492248153;0.00812420105505892;0.0862832882145363;0.390538887093877;0.233849441150175;26.2399999999994;0.78;92.1000000000077
"42";0;0.0643485840620537;0.26543057500468;0.00812944923344349;0.0863606129933138;0.390521161719319;0.234636821766678;26.8299999999994;0.78;93.8100000000078
"43";0;0.0643232540724891;0.265466003243371;0.00814264621833769;0.086426391320262;0.390521161719319;0.23478486628203;27.4299999999994;0.810000000000001;94.4500000000072
"44";0;0.0644330728159522;0.265997166006939;0.00815820867973343;0.0864332532077551;0.390487615262945;0.234766558393265;28.0599999999994;0.830000000000001;95.3500000000087
"45";0;0.0645873093351962;0.266564247529858;0.00818569251614593;0.0865641280377054;0.390448492137748;0.235056359481284;28.6399999999995;0.8;96.4900000000056
"46";0;0.0649825463771033;0.267718146400997;0.00826198193861276;0.0870118248038334;0.390432250827132;0.236173893668063;29.1899999999994;0.819999999999996;98.210000000005
"47";0;0.0645012760203404;0.265523630359659;0.00815160575600242;0.0862421419068312;0.390188814423985;0.233433853515999;29.7899999999994;0.839999999999996;99.8000000000051
"48";0;0.0645495730615384;0.265716134466372;0.00819894755344756;0.0865077867212908;0.390244417003399;0.234067710046741;30.3599999999995;0.849999999999997;100.990000000005
