"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0645876578994007;0.265653604856343;0.00835977723487634;0.0909587992445143;0.391398621046803;0.243509955239085;1.85;0.03;33.4299999999999
"3";0;0.0640186971508566;0.264566516831364;0.00811421225161541;0.0895968881847702;0.390656447846199;0.242847604637002;2.70000000000002;0.04;34.0799999999999
"4";0;0.0612262018112444;0.257131524734277;0.00749968717285913;0.0861310600567233;0.389906133005556;0.236839527710046;3.32;0.0600000000000001;38.8599999999996
"5";0;0.0614976707100137;0.256378103721953;0.00754040498494554;0.085650922057561;0.38990172727585;0.235404796377403;3.69000000000001;0.0600000000000001;38.1699999999992
"6";0;0.0608375499435463;0.254721255300429;0.00737905614804557;0.0844835002942658;0.390131748583941;0.232452672627328;4.39999999999999;0.069999999999999;39.8599999999996
"7";0;0.0598429640012462;0.250270325739784;0.00722824781039223;0.0831195794665559;0.390254535737094;0.225501304363707;5.18999999999999;0.0899999999999991;40.4400000000005
"8";0;0.059908073743343;0.250997565792137;0.00719651895682855;0.082735836689488;0.39022802651321;0.224081795056933;5.76999999999997;0.11;40.9200000000019
"9";0;0.0596288097827033;0.24899705800114;0.0071737540683206;0.0825063728599083;0.390191488727558;0.225217618036254;6.34999999999995;0.129999999999999;42.9899999999997
"10";0;0.0594922169486626;0.250043786651632;0.00719540983761935;0.0824179695252754;0.389953968921033;0.224932388349466;7.03999999999995;0.14;44.4499999999989
"11";0;0.0598206274360072;0.250688144509911;0.00724454481690823;0.0825741390213378;0.389949528610225;0.225315937417822;7.60999999999997;0.139999999999999;45.8499999999985
"12";0;0.060457940100757;0.256207126111166;0.00738195352275206;0.0828612158447948;0.389860364440472;0.227093851752425;8.22999999999998;0.119999999999998;46.8899999999976
"13";0;0.0603288532565808;0.253945928596415;0.00735895294107619;0.0826912692118954;0.390056888294344;0.226588257965668;8.57000000000001;0.129999999999998;48.3399999999983
"14";0;0.059931612951386;0.253251000812581;0.007317806957128;0.0824836535462169;0.390164118554235;0.226150340400385;9.2;0.149999999999998;52.8199999999979
