"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0627589376101959;0.259406059115936;0.007850483250151;0.0878958878921748;0.391390762779866;0.234787553713665;1.77;0.05;33.5199999999999
"3";0;0.0606667490187925;0.252649383259117;0.0073236324043648;0.0850026264381462;0.390546427179895;0.230728151508239;2.52999999999999;0.05;34.0300000000002
"4";0;0.0611962823800787;0.254526846835916;0.00757371767906988;0.0850946985012519;0.390482817683739;0.230078190472047;3.08999999999999;0.05;34.9999999999999
"5";0;0.0603784164785641;0.249479997520074;0.00747618550911434;0.0841384629626147;0.390643063701607;0.22653390828438;3.62;0.14;36.4500000000007
"6";0;0.0606605437997783;0.250543861361465;0.00751523453584029;0.08433612558987;0.390341366850614;0.227717455762975;4.44999999999999;0.15;37.3600000000006
"7";0;0.0606024081958723;0.252603389971874;0.00749796627598223;0.0839820880053529;0.390209695353731;0.226998637705249;5.13999999999999;0.14;39.3000000000002
"8";0;0.0601157880945891;0.25180144633825;0.00739554291325267;0.0833631125732556;0.390110874063993;0.225649660564999;5.68000000000001;0.14;40.9900000000007
"9";0;0.0605293212730595;0.253305168717891;0.00747122181240328;0.0836499652548535;0.389983919944071;0.22614805213777;6.21000000000002;0.2;43.4500000000017
"10";0;0.0606851726326368;0.253556845286379;0.00742322710889888;0.0826267019257326;0.389983428254943;0.223611241876906;6.85000000000003;0.21;44.9800000000023
"11";0;0.061684716166345;0.254992877313156;0.00752647235967369;0.0831578009092177;0.390059160863261;0.224583015827615;7.43000000000002;0.26;47.090000000002
"12";0;0.0610435839172336;0.246071360186025;0.0074116884728252;0.0824479097634632;0.390701400754197;0.22113015516513;8.11000000000003;0.28;52.9300000000021
"13";0;0.0618424110523765;0.246642275046967;0.00759886185680477;0.0836611457439807;0.390802241950062;0.223917152569799;8.70000000000002;0.25;54.2000000000008
"14";0;0.0619011368828125;0.246527456590964;0.00759037855472333;0.0834787881696001;0.390789002714359;0.223517862127903;9.09000000000004;0.25;54.8200000000016
"15";0;0.0620377428087307;0.246246115044299;0.00758654893020249;0.0833622065356357;0.390789002714359;0.223388445967212;9.66000000000004;0.28;56.0400000000018
"16";0;0.0629177288935038;0.251570506954648;0.00775670291990211;0.0842532097170114;0.390721196474627;0.225811422376537;10.1800000000001;0.33;57.4000000000033
