"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0707152217110218;0.293953798488711;0.00990987335839642;0.0995132678906202;0.391835049384598;0.256428011409529;1.68999999999994;0.0899999999999981;33.1600000000035
"3";0;0.0702722741252709;0.289971491251575;0.00981520732478397;0.0989588266662769;0.391592251797823;0.256534541159716;2.54999999999996;0.0600000000000006;35.6600000000035
"4";0;0.0714616385615282;0.294380379747687;0.0100354772877105;0.0999536782050093;0.391857685267281;0.258553457942452;3.25999999999999;0.0600000000000006;37.4600000000064
"5";0;0.0705957733423348;0.288225325842906;0.00966763078811644;0.0979270048206658;0.391527778419413;0.253953737332435;4.0200000000001;0.0600000000000006;38.4800000000032
"6";0;0.0703375855437851;0.285676805064004;0.00965168069725614;0.0977962475307984;0.39145404025652;0.253693310554578;4.48000000000013;0.0800000000000001;40.6200000000026
"7";0;0.0712464534658421;0.287780389768702;0.0098593675153299;0.09880374555479;0.391411901822633;0.256974299522957;5.07000000000016;0.0999999999999996;40.3499999999986
"8";0;0.071301615520349;0.288886568409143;0.00985865108396307;0.0988008644520095;0.392379371060364;0.256520951337616;5.76000000000022;0.0999999999999996;44.5899999999965
"9";0;0.0713901328207843;0.288070199734296;0.00978240293531669;0.0983342127328428;0.391824701847489;0.255912381121841;6.3900000000001;0.16;46.1999999999971
"10";0;0.0718820598499212;0.28910152396501;0.00981653673760945;0.0985155895857006;0.391894272217442;0.256451236079392;7.24000000000012;0.15;46.0499999999957
"11";0;0.0721897399746155;0.290351120591139;0.00990257686818292;0.0990006029560361;0.391914608450764;0.257801091313472;7.91000000000008;0.230000000000001;50.1100000000006
"12";0;0.0712870104177032;0.286596563612432;0.00967341612821018;0.0975373570305436;0.391914608450764;0.254692055022998;8.56000000000018;0.18;53.2799999999989
"13";0;0.0711571987781098;0.288188394756318;0.00968929023246823;0.0975723436407598;0.391988390731049;0.255357082559159;9.0300000000002;0.209999999999999;53.7599999999948
"14";0;0.0708983245966982;0.287222453388493;0.00962892028953671;0.0971054382136362;0.392658467901836;0.254080364765151;9.60000000000036;0.199999999999998;55.4199999999983
"15";0;0.0705257384254707;0.286420686509763;0.00954997546794623;0.096676212173417;0.392583933475779;0.253107544548723;10.2400000000004;0.229999999999999;56.7200000000084
"16";0;0.0706565924213639;0.287039903753979;0.00961275989072037;0.0969546011599836;0.392568853036839;0.253736668153864;10.8900000000003;0.210000000000001;58.0900000000038
"17";0;0.0706074671964398;0.287444658297397;0.00962352055220487;0.0969759224499164;0.392535882300084;0.253744037222775;11.5000000000002;0.230000000000001;59.2900000000009
"18";0;0.0703415062691401;0.287330960052018;0.00965428099241171;0.097096888501525;0.392101302452266;0.256094872979487;12.0900000000003;0.220000000000003;61.0500000000029
"19";0;0.0706239166185219;0.288676461907798;0.00968163555128572;0.0972144379991473;0.392186179725878;0.256328470570448;12.5100000000002;0.230000000000004;63.1600000000035
"20";0;0.0708035241360615;0.289911780369763;0.00974977951130582;0.0974973135241167;0.39237952269929;0.256809129543168;13.1799999999998;0.230000000000004;64.9700000000048
"21";0;0.0706842341142379;0.288764317886913;0.00975253812771579;0.0975106615673255;0.39237952269929;0.256880544049766;13.7899999999999;0.27;65.5100000000057
"22";0;0.0712560446809051;0.292068973999527;0.00989321705714156;0.0980941476919245;0.39236766463088;0.258414602124632;14.3999999999999;0.279999999999998;67.2900000000045
"23";0;0.072086362534813;0.294265682643788;0.0100652048037733;0.0989437174377263;0.392321306395634;0.2603293324506;15.0099999999999;0.28;68.6300000000083
"24";0;0.0719153464972358;0.293186994081694;0.0100000353943555;0.0985671002256303;0.392321306395634;0.259490396869689;15.7799999999996;0.299999999999999;69.440000000006
"25";0;0.0719189913418732;0.293051920222207;0.0100124493704326;0.0985616045672544;0.392449311981077;0.259295613799827;16.3399999999995;0.33;70.6200000000067
"26";0;0.0717746128476758;0.291886153827568;0.00997642397930102;0.0982302128300745;0.392449311981077;0.258521253531563;16.9299999999995;0.300000000000003;71.73
"27";0;0.0723427997134884;0.294948124875706;0.0101029355919671;0.0987249981335107;0.392925369679594;0.259240011575155;17.5699999999995;0.310000000000001;75.5499999999997
"28";0;0.0723403812609198;0.295207097491793;0.0101245371298541;0.0988422623149272;0.392735089118953;0.259572394045733;18.1699999999995;0.33;78.9899999999948
"29";0;0.0724380874644553;0.295172652224501;0.0101105807240236;0.0987602845012028;0.392487446862234;0.259513850586964;18.7999999999996;0.35;80.3099999999945
