"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0699855531063698;0.292446302741254;0.00980071633341397;0.0980893642086209;0.392213474308114;0.251536376047861;1.85000000000014;0.0100000000000016;32.2099999999992
"3";0;0.0694872457159879;0.286265954830076;0.00969890842492361;0.0973624948846605;0.39208023155838;0.250080822900793;2.44000000000028;0.0500000000000007;34.2799999999989
"4";0;0.0689131541019573;0.284403117122176;0.00948398267568261;0.096394986567204;0.392214363949317;0.250807990499407;3.05999999999995;0.090000000000007;35.590000000011
"5";0;0.0690065685925737;0.283879322711364;0.00950324767734081;0.09651317225676;0.392376875380591;0.251426494121611;3.6099999999999;0.100000000000008;37.0200000000186
"6";0;0.069375080214063;0.286901271493165;0.00956953198244949;0.0967916308592541;0.39210635244953;0.253332123380751;4.25;0.160000000000007;38.5000000000146
"7";0;0.0700114083618369;0.287720487415436;0.00966237657059648;0.09717924356026;0.391693032555256;0.256301293138216;4.84000000000015;0.120000000000008;40.140000000014
"8";0;0.0704041252332802;0.288520745050222;0.00974402480842993;0.0975763825709355;0.391533234507565;0.257779753475861;5.52000000000021;0.120000000000008;41.3000000000102
"9";0;0.0716575430118484;0.292255170936609;0.0100222834117934;0.0991393387951269;0.391563302932682;0.261924974938133;6.19000000000028;0.090000000000007;43.1600000000108
"10";0;0.0724006909796206;0.294146768033239;0.0102661496128275;0.100346697892931;0.391512184347118;0.264623506029336;6.95000000000027;0.100000000000005;44.8500000000058
"11";0;0.0724172478606443;0.294329353110863;0.0103741019163019;0.100543331493009;0.391644164807598;0.267836517366418;7.51000000000045;0.130000000000006;46.5600000000122
"12";0;0.072180167449746;0.293231662717492;0.0103440552460778;0.100053089974569;0.3916406887256;0.265733420203717;8.07000000000016;0.13000000000001;47.5800000000163
"13";0;0.073074899120722;0.29481741549062;0.0106198608990815;0.101288694235784;0.391582314944626;0.268510467277682;8.60000000000037;0.160000000000011;49.6100000000152
"14";0;0.0742256853538161;0.301571814585996;0.0109400486292039;0.102605892332302;0.391602296490051;0.27203900435859;9.24000000000024;0.150000000000013;51.3700000000099
"15";0;0.074248036345343;0.300994941544988;0.0109264367886098;0.102496747232229;0.391664196699158;0.271585249943537;9.85000000000037;0.20000000000001;53.1700000000128
"16";0;0.0740360592473658;0.302050491548735;0.0107590402312284;0.101890778946566;0.391580168863998;0.27138596409551;10.4700000000003;0.170000000000009;54.3600000000079
"17";0;0.0741086453105148;0.302625390815606;0.0108264492580188;0.102200729591971;0.391670923072256;0.272231329103191;11.04;0.170000000000009;55.7200000000085
