"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.069191340914497;0.291634558762808;0.00964617575605385;0.0981793401622418;0.392461338810022;0.250141280114981;1.91;0.1;31.5199999999999
"3";0;0.0706573127730456;0.296087666957925;0.00997364547701281;0.0997912752571367;0.392034999202289;0.255762105525042;2.63;0.0499999999999998;32.96
"4";0;0.070718320528622;0.295117774975404;0.009930154151987;0.0995815997175291;0.392182976099382;0.255812389154314;3.20000000000002;0.0899999999999996;33.8499999999994
"5";0;0.0709973971923319;0.295812542594945;0.00997177567610821;0.0997457313090264;0.392233501248253;0.256119978633681;3.90000000000003;0.0799999999999998;35.1799999999998
"6";0;0.0702554916201587;0.289856047275688;0.00986993185146414;0.0991480924195802;0.392235208189553;0.254608514294956;4.54000000000002;0.12;35.8500000000003
"7";0;0.0706411856874471;0.291808532403049;0.00995692805868964;0.0994066343665667;0.39234163605806;0.255066959088219;5.27000000000001;0.22;37.3700000000008
"8";0;0.0716245676736685;0.293787472094505;0.0101149451147684;0.100045276528037;0.392356002458433;0.256936438557752;5.85000000000001;0.27;39.2099999999991
"9";0;0.0730609034248454;0.301785839870615;0.0104923381463826;0.101506995384814;0.392543648076719;0.260055286333268;6.52000000000003;0.27;39.9100000000017
"10";0;0.0734452952207809;0.301362372211471;0.0105887540148681;0.101971588267142;0.39214740439378;0.262149024164303;7.18000000000002;0.28;40.8900000000003
"11";0;0.0735163216461597;0.301626049519785;0.0106058431109021;0.101908914605053;0.39214740439378;0.262058384408908;7.85;0.31;42.04
"12";0;0.0735485470391885;0.300782955572391;0.0106386727383516;0.102093079956047;0.391384592945862;0.263545482175032;8.5;0.359999999999999;43.3200000000024
"13";0;0.0735485470391885;0.300782955572391;0.0106386727383516;0.102093079956047;0.391384592945862;0.263545482175032;9.19;0.389999999999999;44.8100000000022
