"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0701719458470087;0.296340761236429;0.0099088816201446;0.0995342461848434;0.392851355179691;0.253370511971495;2.15000000000001;0.0399999999999992;35.4699999999993
"3";0;0.0708184527234269;0.302907492491638;0.0100821276551441;0.100393128332493;0.392982320671016;0.256444883236227;3.02000000000004;0.0799999999999983;37.0100000000002
"4";0;0.0712382191396154;0.297957554653302;0.0101177025933125;0.100364248605722;0.392711588592261;0.256580764204043;4.16000000000002;0.169999999999998;39.5600000000013
"5";0;0.0720339284017049;0.301815968961992;0.0103087979482651;0.101241963661788;0.392693964993738;0.258706849181499;5.30000000000001;0.199999999999998;40.9800000000014
"6";0;0.0726869175307007;0.306967236777609;0.0103720218681876;0.101353902878639;0.392879448581167;0.258564980315438;6.36000000000001;0.229999999999997;43.67
"7";0;0.0730182454905592;0.309914271217067;0.0104515727316831;0.101729498759113;0.393182679541581;0.259532356188842;7.44000000000003;0.279999999999996;45.0099999999966
"8";0;0.0733065936791189;0.311186213240814;0.0105886937744493;0.102324027883739;0.393122897969963;0.261095211905703;8.11000000000001;0.239999999999997;46.5899999999947
"9";0;0.0741502215568147;0.314157904817673;0.0108487131316083;0.103550166160166;0.393162705284853;0.264008835205608;9.26000000000001;0.289999999999997;49.7899999999954
"10";0;0.0746014342028754;0.315474658885822;0.0109185752159252;0.103973479624902;0.393051795169426;0.265824574820775;10.1200000000001;0.290000000000001;50.5499999999974
"11";0;0.0745216530320521;0.317805377026584;0.0109414697699973;0.104009272863725;0.392794252075259;0.267719015637743;10.7300000000001;0.26;52.1399999999994
"12";0;0.0743182747836879;0.317133347933228;0.01087939741791;0.103721649623617;0.392972560746152;0.266817318796689;11.7300000000001;0.27;54.2099999999991
"13";0;0.0742089224979237;0.316305966973358;0.0108519111027219;0.103593525963788;0.392993314763198;0.266505965083502;12.4700000000001;0.26;55.4900000000016
"14";0;0.0741242243644758;0.314636970917856;0.0108161545387252;0.103382065805455;0.392993314763198;0.265832900863926;13.1600000000001;0.27;55.5900000000038
"15";0;0.0744575936285701;0.315916122872316;0.0108765583094778;0.103727522439174;0.393019493159472;0.266949638034167;14.0400000000001;0.309999999999997;56.7300000000032
"16";0;0.0748048907788514;0.315866201206674;0.010886514337351;0.103661991063554;0.393017652684398;0.266780401215614;14.8700000000001;0.299999999999995;58.2900000000009
"17";0;0.076275803625739;0.318880434093346;0.0112212062736852;0.105191286113358;0.39301325320361;0.270229278641541;15.67;0.339999999999998;61.6399999999995
"18";0;0.0764890577441067;0.319103356027104;0.0112606343061469;0.10528970489964;0.393043698226527;0.270377902789491;16.41;0.389999999999999;62.7299999999996
"19";0;0.076692230104211;0.319331934899693;0.011331804358284;0.105589456259367;0.39304401264687;0.271067242977533;17.22;0.42;63.9799999999996
"20";0;0.0768717439464153;0.319867852605818;0.0113662370341202;0.105596085907972;0.392925198314104;0.271030826671498;18.05;0.440000000000001;65.5
"21";0;0.0768390479492437;0.320888487461767;0.0113369920752679;0.105446561967103;0.392994349949372;0.270697450978609;18.7600000000001;0.460000000000003;66.7299999999996
"22";0;0.0768671734562484;0.320632706881484;0.0113307190597363;0.105410788204305;0.393343140913421;0.270485221522141;19.5100000000001;0.490000000000002;68.3100000000013
"23";0;0.0768406789827786;0.320683146234325;0.0112631182050955;0.105055505968107;0.393929432613291;0.268978205654843;20.6000000000002;0.520000000000003;72.6900000000024
"24";0;0.0772127393012043;0.321663963547975;0.0112719402317179;0.105098778933221;0.39393270973235;0.269269468435604;21.0900000000003;0.520000000000003;73.7900000000041
"25";0;0.0772127393012043;0.321663963547975;0.0112719402317179;0.105098778933221;0.39393270973235;0.269269468435604;22.0000000000004;0.540000000000003;75.5200000000036
"26";0;0.0777847477563678;0.323119419033462;0.0113701046808604;0.105499342056498;0.393678178256813;0.270843157827939;22.9300000000004;0.550000000000003;77.0300000000057
"27";0;0.078016048157529;0.32334360588558;0.011425052669475;0.105783426985764;0.393678178256813;0.27170566391294;23.8400000000005;0.560000000000002;79.3000000000061
"28";0;0.0783984942756825;0.32380659701123;0.01151668672703;0.106102163857581;0.393645517114973;0.27267298484739;24.7400000000005;0.590000000000002;80.4700000000044
"29";0;0.0783273410125957;0.323514851889382;0.0114722757740701;0.105729017367618;0.393645517114973;0.271760979145284;25.4500000000005;0.600000000000001;81.330000000005
"30";0;0.0783071885490439;0.322619035302106;0.0114791688491155;0.105593295342015;0.393645517114973;0.271405753812619;26.2000000000004;0.650000000000002;81.720000000008
"31";0;0.0787076803181459;0.324441351296792;0.0115512226477567;0.105940942467386;0.393639882115022;0.272295870303313;27.2800000000004;0.700000000000003;83.0500000000061
"32";0;0.0788612066242251;0.324191728412061;0.0115733286316757;0.106056405784704;0.393592584312755;0.273033101150688;27.4900000000004;0.720000000000002;83.2800000000051
"33";0;0.0788049661237387;0.322908535284383;0.0115906973054385;0.106043590939022;0.393592584312755;0.273085248516645;27.7600000000004;0.710000000000001;84.1800000000064
"34";0;0.078830469618793;0.322986657565842;0.0115973455045284;0.106094316760589;0.393416593429565;0.273297276529063;28.3700000000004;0.710000000000001;85.5500000000064
"35";0;0.0789367382299877;0.324583397729888;0.01164979954857;0.106333316457614;0.393046404287146;0.274254747763577;28.9800000000004;0.710000000000001;87.1300000000064
"36";0;0.0792212735769893;0.325829485724123;0.0117147723271525;0.106616160007949;0.393062103537184;0.275132561350287;29.1800000000004;0.699999999999999;87.8200000000058
"37";0;0.0791189204739897;0.325892382123681;0.0117158564524211;0.106605215409488;0.393151797036406;0.27522602855158;29.6800000000003;0.69;89.0800000000045
"38";0;0.0792222484421039;0.326056924124667;0.011736078532506;0.10671212515357;0.393492351188633;0.275312290822419;30.3500000000004;0.69;90.3600000000045
"39";0;0.0794312270381121;0.326572656630421;0.0117539395752796;0.106715388857484;0.393492351188633;0.275258880716502;30.9300000000004;0.71;90.8800000000045
"40";0;0.0792778364719677;0.325317992285669;0.0118005114616415;0.106903642277691;0.393458776939799;0.275921929282416;31.2200000000004;0.7;91.8500000000051
"41";0;0.0794279887471694;0.324098900464861;0.0117436427475627;0.106670593561646;0.393385646480392;0.275428395087027;31.7300000000004;0.76;92.5100000000043
"42";0;0.0791462104296405;0.322294267922003;0.0116600089851214;0.106126100505471;0.392472884130306;0.274307427641751;32.3900000000003;0.76;93.8100000000045
"43";0;0.0792081363497043;0.322727142340611;0.0116949227033593;0.106261817387092;0.392337394839645;0.275694686278691;32.9600000000003;0.76;95.1400000000045
"44";0;0.079329081944612;0.32293769856659;0.0117079850959982;0.106331111458802;0.39274741109931;0.275646726423686;33.6200000000002;0.76;96.4000000000044
"45";0;0.0792183205935343;0.322215835455309;0.0116493504180591;0.106016846451728;0.393985824617215;0.274486762108204;34.2300000000002;0.76;97.9100000000044
"46";0;0.0798257587196134;0.323001730779729;0.0117674647796082;0.106373981062951;0.394092493662033;0.275095719105504;34.4800000000002;0.739999999999999;98.4900000000052
"47";0;0.0798251620036119;0.322823269011984;0.0117740607714074;0.106410231807436;0.394092493662033;0.275576692911478;34.9100000000003;0.689999999999999;99.0600000000045
"48";0;0.0794563782056251;0.321828777386478;0.0116341312314712;0.10563170137028;0.394030317418411;0.273757942973476;35.4800000000003;0.709999999999999;99.9100000000045
"49";0;0.0794790269948586;0.321913553711608;0.0116531344937487;0.105680233912888;0.394030317418411;0.2740703443564;35.9200000000003;0.689999999999999;100.920000000005
"50";0;0.0794524852940503;0.32158105060397;0.0116243401010419;0.105469346901024;0.394103727394389;0.274147000758373;36.1900000000004;0.749999999999999;101.760000000006
"51";0;0.079545810574511;0.318045959996902;0.0116088680244606;0.105395879559979;0.394939991621406;0.273519746462845;36.7300000000004;0.749999999999999;103.180000000006
"52";0;0.079545810574511;0.318045959996902;0.0116088680244606;0.105395879559979;0.394939991621406;0.273519746462845;37.4900000000005;0.749999999999999;104.760000000007
"53";0;0.0796745504177747;0.318991308986736;0.0116510186101997;0.105560419871581;0.395694799398446;0.273314086687127;38.1100000000004;0.769999999999999;106.510000000007
"54";0;0.0795404953450589;0.3193180319664;0.0116393362086136;0.105408997073321;0.395699423388016;0.272804954795925;38.7800000000005;0.779999999999999;107.920000000008
"55";0;0.0794120084824402;0.318680354431603;0.0116113995056713;0.105239258860228;0.395671126600008;0.272593760393209;39.3400000000005;0.759999999999999;109.090000000008
"56";0;0.0794120084824402;0.318680354431603;0.0116113995056713;0.105239258860228;0.395671126600008;0.272593760393209;39.9500000000005;0.759999999999999;110.460000000008
"57";0;0.0793156852898336;0.317733646079879;0.0115983544761495;0.10494175977891;0.395671126600008;0.271387168082554;40.2200000000004;0.74;110.710000000008
"58";0;0.0788797348057504;0.31582004030873;0.0115081248320874;0.104447935099835;0.395520083238184;0.27003511765769;40.6500000000004;0.8;111.960000000008
"59";0;0.0780026051649776;0.313633975827287;0.0112336912254456;0.103328321578268;0.394889017800033;0.267765739916685;41.2700000000004;0.82;113.780000000008
"60";0;0.0782137249033499;0.314353694231014;0.0112866987835448;0.103560674227586;0.394888545057767;0.268329682975598;41.8700000000004;0.8;114.960000000008
