"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.069973250748341;0.293651914234041;0.00975284335582131;0.098620655676686;0.392822003370358;0.250928715671213;1.80999999999999;0.0499999999999972;34.1499999999996
"3";0;0.0713440394943664;0.294756019810663;0.0100736401990482;0.100227689982398;0.392709504435816;0.255504062016592;2.66;0.0899999999999999;37.9599999999991
"4";0;0.071206287012701;0.294747096898913;0.00996676363200665;0.0997781809153501;0.392080429597495;0.25485258201361;3.28999999999999;0.11;39.5099999999984
"5";0;0.0719377471735675;0.298378562046095;0.0101134670162741;0.100496224246323;0.392045421599571;0.256632060403028;4.09999999999999;0.189999999999998;39.4999999999982
"6";0;0.0716093000344386;0.293969418545292;0.0100582878087115;0.100205102340514;0.392049931267941;0.255839659677781;4.66999999999997;0.259999999999998;39.4599999999991
"7";0;0.071903589238532;0.29705516329054;0.0100762341608263;0.100260337400099;0.3918466898886;0.256428396473785;5.22999999999997;0.230000000000001;41.0799999999999
"8";0;0.0722071846895626;0.298370437147611;0.0102456748394098;0.100988328317004;0.391793541017885;0.258187303562944;5.89999999999996;0.34;42.0499999999993
"9";0;0.0723651753173757;0.297119819790851;0.0102921357146669;0.101146265743562;0.391797047163578;0.2585683356157;6.52999999999996;0.300000000000004;43.8199999999997
"10";0;0.0733474087111326;0.301428033416061;0.0105945420782131;0.102642024265986;0.391813174082253;0.262586521071131;7.37999999999998;0.310000000000002;44.6399999999976
"11";0;0.0727853401879324;0.297606466684699;0.0104674244596788;0.101931424762058;0.391806765885451;0.260755182766013;8.08999999999996;0.309999999999999;45.2999999999956
"12";0;0.0734250669029696;0.301483090140493;0.010541437025242;0.10230343448748;0.391816172797444;0.261762996535208;8.49;0.329999999999998;46.649999999996
"13";0;0.0733809470829882;0.301683025250858;0.0105622949623016;0.102397547523976;0.391628144299826;0.262143822679329;9.14;0.350000000000001;47.8399999999965
"14";0;0.0731316232557254;0.299297482937081;0.0103979925652831;0.10140673673231;0.39128459613565;0.259980709380298;9.87999999999998;0.289999999999999;48.159999999998
"15";0;0.0731316232557254;0.299297482937081;0.0103979925652831;0.10140673673231;0.39128459613565;0.259980709380298;10.53;0.310000000000002;49.3499999999985
"16";0;0.0727650998002972;0.297525175462157;0.0103587020914547;0.101120780078088;0.391285602922696;0.259039411242172;11.1799999999999;0.34;50.5399999999995
"17";0;0.072951515661731;0.298469992236456;0.0104362643677608;0.101482860629678;0.391278957571805;0.260058217716379;11.8299999999999;0.350000000000001;51.6799999999989
"18";0;0.073491744404339;0.299706433502963;0.0104627216950586;0.101594043151853;0.391304990928457;0.260297925371836;12.4499999999998;0.420000000000002;52.7400000000021
"19";0;0.0735481748613077;0.299340687110264;0.0104845132722038;0.10169355139798;0.391507254730239;0.260514986285006;13.0499999999997;0.400000000000002;53.6700000000023
"20";0;0.0746098608530245;0.303084047164557;0.0106981970453379;0.102690864329352;0.391526114326514;0.263703838559375;13.7099999999997;0.420000000000002;55.6000000000045
"21";0;0.0749825639088143;0.304903457439028;0.0107346991650982;0.102830557806536;0.391527929560829;0.26444040019476;14.3499999999997;0.490000000000002;57.5700000000075
"22";0;0.075018350594258;0.304534866943511;0.0107346890259949;0.102828818103127;0.391527929560829;0.264478874658046;14.9299999999997;0.520000000000003;59.5600000000054
"23";0;0.075129086899737;0.305775506561426;0.0107879574186264;0.103132455986903;0.391497689423652;0.265510115357065;15.6799999999997;0.540000000000003;60.8600000000047
"24";0;0.0765637556153824;0.311913540917095;0.011060658868296;0.104542007695789;0.391438929375193;0.269573360532329;16.2899999999998;0.540000000000006;63.0200000000045
"25";0;0.0762960880243581;0.310658401905191;0.0109785546507737;0.104166763264367;0.391327661487448;0.268901360624933;16.8799999999998;0.590000000000007;63.710000000005
"26";0;0.0762076236965699;0.314357669688234;0.0110384498430314;0.104190518338799;0.391327661487448;0.268790012264263;17.5399999999998;0.620000000000008;65.2800000000029
"27";0;0.0768232094049807;0.316533417912847;0.0111194624865459;0.104578473522814;0.391377126169983;0.270004031963768;18.1799999999997;0.650000000000009;66.7500000000023
"28";0;0.0774121609387922;0.318345764022635;0.01136428877169;0.105491392753755;0.391382061231156;0.271891233131774;18.8799999999998;0.580000000000009;67.8599999999956
"29";0;0.0776556936116246;0.318619456318916;0.0113991943164523;0.105651861254941;0.391399245714377;0.272442273592097;19.8099999999998;0.590000000000011;70.8999999999928
"30";0;0.0775498686023744;0.318393561331216;0.0114190227989193;0.105483013832032;0.39128354224939;0.27184476592456;20.9899999999998;0.610000000000014;74.5599999999927
"31";0;0.0770277654922518;0.314669318754751;0.0113115555336134;0.104813525904944;0.391470822230946;0.269730670575962;22.0399999999998;0.650000000000016;78.9599999999941
"32";0;0.0770582902735376;0.314294692715104;0.0113093200808734;0.104800412989427;0.392601172179109;0.269269041025598;22.6799999999998;0.670000000000016;80.4099999999942
"33";0;0.0776055571119887;0.317908317160757;0.0114043140032522;0.105250829656293;0.392604399677406;0.270381290398373;23.1499999999998;0.640000000000015;81.9799999999925
"34";0;0.0777902469380698;0.318182365769215;0.0113913676754902;0.105120094833143;0.392571828200964;0.270159433485129;23.7799999999998;0.640000000000014;83.5299999999925
"35";0;0.0776710318968645;0.316596340847098;0.0113511843825557;0.10491414978851;0.392553930704484;0.269796584979143;24.3199999999998;0.670000000000013;84.219999999993
"36";0;0.077668112988392;0.316690303657928;0.0113878086355704;0.104809518976643;0.392553930704484;0.269473013466376;24.9599999999999;0.690000000000014;85.9199999999914
"37";0;0.0774841319760655;0.315622338431118;0.0113662874505122;0.104666490586208;0.392909208012005;0.268880444854706;25.5599999999999;0.690000000000014;88.2999999999913
"38";0;0.0774657100717513;0.315413985924347;0.0113669230685429;0.104669963864183;0.392909208012005;0.268891982009516;26.1399999999998;0.700000000000014;90.3699999999913
"39";0;0.0773675719361751;0.313351464839734;0.011296361659286;0.104301558418262;0.393111173786362;0.268279547615583;26.4899999999998;0.640000000000015;89.7199999999919
"40";0;0.0770373990166229;0.311700713359879;0.011232369016517;0.103992698816255;0.393111173786362;0.267445798667427;26.9699999999999;0.680000000000015;90.8599999999938
"41";0;0.0769597382048504;0.311018287908068;0.0112235027768357;0.103862226874702;0.393247210331616;0.266855454303968;27.6499999999998;0.720000000000015;91.9299999999928
"42";0;0.0768437291942004;0.310070401042967;0.0111850160582006;0.103660119271189;0.393247210331616;0.266645828849433;28.2899999999998;0.720000000000014;93.159999999993
"43";0;0.0768437291942004;0.310070401042967;0.0111850160582006;0.103660119271189;0.393247210331616;0.266645828849433;28.9599999999998;0.720000000000014;94.5799999999913
"44";0;0.0768681422555661;0.310165807396284;0.0112009934966144;0.103619655663966;0.393174978816358;0.266509897861426;29.5899999999996;0.710000000000016;95.2499999999923
"45";0;0.0769531960888094;0.310690220507633;0.0112305863762414;0.103800260184095;0.392877699781042;0.267155442639498;30.2099999999996;0.710000000000016;97.6099999999924
