"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0703516088790349;0.295716716308826;0.00985300418130156;0.0990067724311233;0.392850183756784;0.251826082057497;2.33999999999999;0.139999999999997;35.6400000000008
"3";0;0.0710813461949727;0.295854087040618;0.0100376387215081;0.0998008809152292;0.39292656057939;0.253643808692964;3.06999999999997;0.119999999999997;36.8700000000003
"4";0;0.0707645241792107;0.294808825197199;0.00996016561774885;0.0993112650407807;0.393079054027887;0.25212274113353;3.74999999999987;0.0899999999999998;38.27
"5";0;0.0706267716975453;0.294799902285448;0.00985328905070732;0.0988617559737323;0.392449979189566;0.251471261130548;4.37999999999987;0.109999999999999;39.8199999999992
"6";0;0.0705960900549464;0.291769208549194;0.00981509050262744;0.0986847177896897;0.392439423113795;0.251784273116516;4.88999999999986;0.180000000000003;41.3700000000003
"7";0;0.0705555426065853;0.288546528573875;0.00971679770899942;0.0981450560941999;0.392344657134906;0.250842982915373;5.60999999999986;0.260000000000001;43.8299999999986
"8";0;0.0708514225862748;0.288725619076034;0.00979431032308236;0.0985593139147453;0.392445167108634;0.252779807740848;6.30999999999985;0.180000000000003;44.0599999999999
"9";0;0.0716993567778516;0.289824324098862;0.00999007739098488;0.0994863826635813;0.392188031963078;0.25607496860318;7.47999999999987;0.220000000000003;46.440000000001
"10";0;0.0719383029827881;0.290194841856366;0.00990027856717073;0.0986574222954959;0.392113346188498;0.25345009969863;8.20999999999989;0.259999999999998;47.4200000000005
"11";0;0.0731525477783247;0.29708965938387;0.0101869658647612;0.0999516116403582;0.392040272889234;0.256433683854815;9.11999999999988;0.239999999999995;49.5099999999989
"12";0;0.0735402782808057;0.298612538588692;0.0102899983389901;0.100496812440219;0.392042474163593;0.257769844723509;10.0899999999999;0.289999999999996;50.4499999999994
"13";0;0.0740456726072188;0.299782300981274;0.0104173288873847;0.100962005136108;0.392262739663333;0.258665801899117;10.9299999999999;0.289999999999996;54.5199999999991
"14";0;0.0748675168748825;0.303625387251908;0.0105909433524475;0.101894517510391;0.392210402355924;0.26146471491113;11.69;0.289999999999996;55.9799999999982
"15";0;0.0754093544370142;0.305718842240375;0.0107497995683812;0.102738065174187;0.392114029106541;0.263769715396888;12.1199999999999;0.229999999999997;57.5499999999997
"16";0;0.0759249777160165;0.307516186962152;0.0108579494758808;0.10330714752269;0.392108724486533;0.265331777617684;12.9099999999999;0.239999999999995;59.5399999999995
"17";0;0.0758984107933629;0.308350442519139;0.0108386240694081;0.10320399538021;0.391994395676781;0.265276679720417;13.6499999999999;0.319999999999993;60.5000000000023
"18";0;0.0763464318678164;0.307031808764849;0.0109159035631147;0.103528638689922;0.392211728535178;0.266073815026686;14.5299999999999;0.339999999999996;60.9300000000026
"19";0;0.0761155555513295;0.305775959776513;0.0109004936470009;0.103425955789422;0.391713891947134;0.266936905576558;15.2799999999999;0.34;62.8600000000029
"20";0;0.0762967034072074;0.305570020672459;0.0109702881808008;0.103740075399756;0.391755441797646;0.267692838983441;16.1599999999999;0.359999999999999;65.2500000000023
"21";0;0.0765100163552608;0.304334108405514;0.0109871126472054;0.103688499618801;0.391754823084169;0.267609026825987;16.8599999999998;0.399999999999995;66.9600000000023
"22";0;0.0764452961491417;0.302914579809471;0.0109868815773577;0.103594544121275;0.391787527058707;0.26715552447674;17.6399999999998;0.389999999999997;68.9200000000035
"23";0;0.0762881447460775;0.302277850812852;0.0109686910402166;0.103501814166357;0.391783343671672;0.266906603351991;18.3099999999998;0.43;68.990000000005
"24";0;0.0763813108604554;0.30458209027263;0.0110060528197117;0.103157624837006;0.39173830642628;0.266028271323615;18.7399999999998;0.419999999999998;70.5900000000036
"25";0;0.076581190342403;0.304906849458137;0.0110372571833609;0.103307132567493;0.39173830642628;0.266887294470693;19.4099999999998;0.499999999999996;72.1500000000012
"26";0;0.0779743300692166;0.308403688265485;0.0113298245031099;0.104761712522636;0.391748451325834;0.270224096884038;20.4799999999998;0.579999999999998;74.3100000000011
"27";0;0.078278838015472;0.312719566865813;0.0114559810198;0.105303425237924;0.391726919497342;0.271430152520094;20.8799999999998;0.600000000000001;75.4800000000012
"28";0;0.0780129705733216;0.31199897095267;0.0114061860499487;0.105046882300386;0.391333354569423;0.271018925422071;21.5999999999999;0.620000000000001;76.7000000000005
"29";0;0.0778734168362847;0.31238296274272;0.0114083659895523;0.104879742707407;0.391288268324897;0.27034761803896;22.0299999999999;0.610000000000003;77.9899999999977
"30";0;0.0777881860399752;0.311987368207005;0.0113907400752707;0.104723891574925;0.391288268324897;0.269915087996663;22.58;0.620000000000003;79.1499999999988
"31";0;0.0780398410491814;0.312738609235082;0.0115065007126862;0.105123516285807;0.391335713641897;0.270777091171945;23.61;0.620000000000003;82.5099999999994
"32";0;0.0778781649347774;0.310883851200429;0.0114907557961843;0.105031091323825;0.391274049739401;0.270669726628219;23.9499999999999;0.690000000000003;83.62
"33";0;0.077319996529657;0.308231808336711;0.0113216127521104;0.10398249994975;0.390853217749287;0.268472776301258;24.5399999999999;0.710000000000003;85.6299999999997
"34";0;0.0770049975279081;0.307612335537957;0.0112276286595428;0.103541669778867;0.390853217749287;0.267528850262958;24.9499999999999;0.720000000000001;85.7199999999999
"35";0;0.0771175175833568;0.310088087766027;0.0112775712402844;0.103686725350687;0.390861299101277;0.268103401816765;25.1899999999999;0.700000000000001;86.4499999999999
"36";0;0.0769607858191957;0.309903900567332;0.0112610614538964;0.103582423505291;0.390861299101277;0.267884766067201;25.63;0.670000000000002;87.399999999999
"37";0;0.0770814947649865;0.310666739575583;0.0113029009481805;0.103719557583664;0.390825660992918;0.268324170540303;26.06;0.66;87.6899999999991
"38";0;0.0773359707409704;0.310007240422328;0.011305544274557;0.103712907630522;0.390814960418772;0.268368074463485;26.64;0.68;88.7999999999988
"39";0;0.0771332833832304;0.308619796936975;0.0112606802090731;0.103472132268612;0.390814960418772;0.268611251761463;27.03;0.649999999999999;89.4999999999977
"40";0;0.0771779364161878;0.308875507440589;0.0112659345229263;0.103478645775899;0.390802781577242;0.26861007213993;27.5800000000002;0.669999999999998;90.3199999999978
"41";0;0.0770947271146072;0.30880214443839;0.0112204003431643;0.103286192626755;0.390748859794645;0.268509266645823;28.1900000000002;0.68;91.0799999999985
"42";0;0.0769368364828247;0.30872995116546;0.0111802930312437;0.103032317412531;0.390237490916312;0.268109001613513;28.8700000000003;0.68;92.5599999999985
"43";0;0.0771584532081201;0.310087811345192;0.0111508892062687;0.10279072480467;0.390075480273243;0.268507944771011;29.1500000000003;0.669999999999998;94.0899999999987
"44";0;0.0772465957403773;0.310460720147151;0.0111887916142838;0.102955099213897;0.390075480273243;0.268934243225354;29.5600000000003;0.669999999999998;94.8399999999996
"45";0;0.0771547999410305;0.310280711993071;0.0111807955621994;0.102911414569209;0.389939740431485;0.269066102135321;30.1800000000003;0.679999999999997;96.2899999999981
"46";0;0.0772085649976263;0.309796144401414;0.0111899173580512;0.102979228928138;0.390717694825048;0.268811648699861;30.8200000000003;0.709999999999998;98.1899999999977
"47";0;0.0771449151643505;0.310018294779785;0.0112094418281452;0.102952135731384;0.390701871153042;0.268756081635116;31.3400000000003;0.729999999999997;99.5599999999981
"48";0;0.0771449151643505;0.310018294779785;0.0112094418281452;0.102952135731384;0.390701871153042;0.268756081635116;32.1300000000004;0.779999999999994;101.619999999998
"49";0;0.0770725400198773;0.309525610335293;0.0112105276929822;0.102954692100068;0.390701871153042;0.268894670843414;32.6400000000004;0.759999999999995;102.139999999998
"50";0;0.0776017640090076;0.310772900149052;0.0113102972781147;0.103382300407473;0.391023664182611;0.269681859033385;33.3000000000004;0.779999999999996;104.999999999997
"51";0;0.0777573670531777;0.31131639981188;0.0113530980597487;0.103561919015551;0.390185537902708;0.270377308946963;33.9200000000004;0.789999999999996;106.889999999997
"52";0;0.0776847584708085;0.310578006975737;0.0113432590291957;0.103499889998929;0.390185537902708;0.270185421388578;34.6300000000004;0.799999999999996;108.579999999997
"53";0;0.077828519871382;0.312531035591271;0.0114022772140013;0.103790803644249;0.390229016591982;0.271139252714098;35.2400000000005;0.809999999999996;108.859999999997
"54";0;0.0782217044205162;0.312880159413324;0.0114267577608083;0.103903262253018;0.390251424935375;0.271636401105006;35.8700000000005;0.819999999999997;109.769999999998
"55";0;0.0781390027714614;0.312666330100245;0.0114188334332175;0.103834981999501;0.390251424935375;0.271495384196556;36.4900000000005;0.809999999999997;110.609999999998
