"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0668952657991875;0.279405438268377;0.00920281850693327;0.0958567022103862;0.392974876165621;0.24393779370362;30.6599999999998;0.469999999999999;2301.54000000001
"3";0;0.0679257760939035;0.284815020005124;0.00946839239775431;0.0972019368195493;0.392954994472085;0.248589325346753;26.9599999999996;0.899999999999991;2195.53
"4";0;0.0704548119527598;0.291185422709183;0.0100409385223266;0.0997707805433557;0.392818907055521;0.257353522027518;21.9099999999999;0.420000000000002;1519.20000000001
"5";0;0.0702157122814611;0.289765917724314;0.00990099656640743;0.0988451009881817;0.392739940799185;0.255116334467768;20.6299999999997;0.210000000000001;1397.12000000001
"6";0;0.0686788489559914;0.280896736391613;0.00936011437302696;0.0962628860665459;0.391394460353983;0.258709159078591;19.9000000000001;0.280000000000001;1286.87
"7";0;0.0689728817299767;0.282841011945069;0.00947518599470236;0.0968428116434503;0.391367157482341;0.260441024843456;19.6600000000003;0.350000000000001;1214.53999999999
"8";0;0.0710784210064082;0.288577953593949;0.00992529958241026;0.0990041204982751;0.391256644969179;0.265202072129823;18.8100000000004;0.419999999999995;1104.81999999999
"9";0;0.0710110795157161;0.288471613523441;0.00990934856023354;0.0988360878652916;0.39127819964135;0.264495777938257;19.4299999999998;0.439999999999984;1090.49
"10";0;0.0710693031591564;0.288961063859376;0.00992907208471985;0.0988450507291057;0.391298624773745;0.264413671659804;19.6799999999998;0.41999999999998;1069.94000000001
"11";0;0.0714230155010931;0.290236893431538;0.00995394506364525;0.0988915300945127;0.39133538283617;0.264434914876575;19.9599999999991;0.369999999999976;1048.9
"12";0;0.0722953138899634;0.290353061881;0.0101278105148954;0.0994948522067889;0.391333583927477;0.26556300579945;20.1099999999992;0.409999999999982;1004.82
"13";0;0.0721269361423389;0.288872577441299;0.0101866665684928;0.0997835646902804;0.39117625342068;0.266433376250903;20.4399999999991;0.399999999999991;979.46999999999
"14";0;0.0712896641179343;0.286314409840121;0.00990971865385197;0.0984798719159916;0.390943433083086;0.262455798033548;20.9599999999996;0.430000000000014;974.37999999999
"15";0;0.0708504074490671;0.283730012055094;0.00980231263477218;0.0977769526697322;0.391086410674837;0.26055489165954;21.4299999999994;0.410000000000018;950.970000000001
