"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0683189577111717;0.278515797508008;0.00956540576626114;0.0964765768588965;0.39244014004805;0.246028937007141;27.21;0.280000000000001;2013.25
"3";0;0.0689670410509447;0.283610300908725;0.00976466700059745;0.097065982403734;0.391829218767258;0.254017844601746;24.6299999999999;0.169999999999999;1796.66
"4";0;0.0699706611871341;0.286603739786948;0.00997331967208983;0.0982641135607813;0.391781561244174;0.256956925267419;23.9699999999999;0.140000000000001;1726.97
"5";0;0.0695791626212132;0.290557337910296;0.00988873778722157;0.0976320154045712;0.391830691384908;0.255717171582224;22.6799999999999;0.18;1620.26
"6";0;0.0696937216484401;0.291341288559959;0.00993871474406751;0.0978474085422489;0.391854463735623;0.25757031863804;22.79;0.190000000000001;1581.49
"7";0;0.0697726434111687;0.292762531773186;0.00994769222707302;0.0978805560007866;0.391846779798098;0.257708842589555;23.3699999999983;0.230000000000002;1576.61
"8";0;0.0697983240800511;0.292913608190375;0.00995235671176685;0.0977690407167252;0.391829919457473;0.257323213625849;23.9199999999983;0.260000000000002;1573.7
"9";0;0.0693703052404865;0.291660741218894;0.00985962215601204;0.0973071750701273;0.391830430906051;0.256253062385041;24.3699999999982;0.230000000000002;1558
"10";0;0.0694904835438736;0.29116349347903;0.00987504658794107;0.097173796052076;0.391862907071966;0.255840661397565;24.0499999999983;0.220000000000002;1491.24
"11";0;0.0693148934567;0.29175758469859;0.00984394119634808;0.0969548523036351;0.391882669085966;0.255016212043773;24.5399999999984;0.220000000000002;1485.56
"12";0;0.0691779358251804;0.291383060403474;0.00982637364552074;0.0968163658823967;0.391867746225297;0.254658285811913;25.219999999998;0.260000000000012;1484.11
"13";0;0.0703451938173216;0.293444709235646;0.0100051941169267;0.0976110420228058;0.391854743301606;0.256613174972386;24.5199999999981;0.280000000000012;1387.63
"14";0;0.0703144953044001;0.29337904414407;0.00999163650898809;0.0974020371258174;0.391854743301606;0.255495724474412;25.0399999999979;0.260000000000011;1387.26
"15";0;0.0707992429369536;0.294949359730592;0.010075584744155;0.0979454866028463;0.392197717843987;0.257524606165564;24.4999999999978;0.240000000000009;1289.36
"16";0;0.0706784107519603;0.294379927174387;0.0100814920612323;0.097974483818317;0.392197717843987;0.257595406959583;24.6899999999978;0.280000000000008;1280.92
"17";0;0.0706472380203799;0.294215912321508;0.0100670636246059;0.097853091332193;0.392197717843987;0.257304493785879;25.2599999999998;0.280000000000038;1279.69
"18";0;0.0705731596105487;0.290545034565727;0.0100577464878557;0.0976805957443456;0.392362688114007;0.256659342182567;26.1899999999997;0.340000000000037;1269.13
"19";0;0.0704329079398288;0.29009239598052;0.0099671784539629;0.0972508796815058;0.392362688114007;0.255174112761898;26.6699999999994;0.340000000000057;1268.25
"20";0;0.0704456536092804;0.290254760149027;0.0100000568480488;0.0974626655538383;0.392367468781509;0.25571500619281;26.9099999999999;0.420000000000067;1252.61
"21";0;0.0716757388961715;0.299302478711855;0.0103312771665205;0.0988384718383693;0.392050427522288;0.260804718795513;25.8599999999998;0.440000000000065;1124.09
"22";0;0.0716522963438239;0.299430299851989;0.0103281706949308;0.0987606091112688;0.39203502955758;0.260394474096811;26.3899999999991;0.470000000000066;1122.13
"23";0;0.0716922935251526;0.299884886424547;0.0103767854102992;0.0989024629600359;0.392158582413279;0.260594435131155;27.059999999999;0.520000000000067;1120.08999999999
"24";0;0.071645996391127;0.299727294493308;0.0103721726152055;0.0988401903847696;0.392158582413279;0.260411359084583;27.5599999999984;0.560000000000086;1117.99
"25";0;0.0721021532917473;0.301305389992424;0.0104451043757841;0.0992421557703383;0.392209666270447;0.261297659179496;26.4699999999984;0.510000000000087;987.580000000001
"26";0;0.0720137467752559;0.300698071773877;0.0104454416328047;0.0992444044734981;0.392195167658281;0.261339667064728;26.959999999998;0.53000000000009;985.090000000003
"27";0;0.072139907670764;0.298590109742623;0.0104401259914649;0.0992257559406455;0.392428219128865;0.261663000129459;27.3099999999981;0.52000000000009;975.640000000003
"28";0;0.0727350015577396;0.300187206308192;0.0105190017137601;0.0995747193072758;0.392434807578402;0.262425358785401;26.9499999999981;0.580000000000089;900.670000000001
"29";0;0.0726966018283994;0.300014211858205;0.0105110182530267;0.099420092052827;0.39249387642416;0.261674024439919;27.4199999999975;0.600000000000081;900.160000000002
"30";0;0.0726447956799008;0.299583935904215;0.0105182196865538;0.0994133386460873;0.39249387642416;0.261685794514549;27.8099999999971;0.620000000000081;898.180000000006
"31";0;0.0724350485493102;0.297417276717294;0.0105163843500146;0.0992365613705711;0.39249387642416;0.260272267600416;28.4299999999957;0.640000000000073;896.630000000007
"32";0;0.0724477576373881;0.297714732556447;0.0105423782943101;0.09931361660231;0.39249387642416;0.260397907263591;29.1199999999958;0.630000000000079;895.41000000001
"33";0;0.0724738459086796;0.297083972668261;0.0105617793966065;0.0993820743057294;0.392552187797687;0.260520722367486;29.6999999999961;0.650000000000066;893.52000000001
"34";0;0.0723298581920196;0.296742256982761;0.0105363859426993;0.099064031030517;0.392519444329669;0.259725075729289;30.1399999999966;0.640000000000057;892.720000000007
