"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0614061766599503;0.252636462746592;0.00769930170327995;0.0873893998828132;0.391473398969263;0.235600381293604;28.16;0.15;2166.55
"3";0;0.0607404041547893;0.24677880275646;0.00757646466397338;0.0863956756998929;0.39167507516728;0.233767523169081;26.51;0.14;2032.51
"4";0;0.0597220759640002;0.245593578871986;0.00714224384819566;0.0839750914426518;0.391052787115084;0.230087265710845;23.63;0.159999999999999;1753.46
"5";0;0.0582053405944562;0.240117374718173;0.00689969679052086;0.0818810615974382;0.391141110191298;0.224560238946628;20.1300000000001;0.15;1427.98
"6";0;0.0577497304799937;0.238634894361444;0.0068365214165679;0.0812104616168796;0.390721952475203;0.222216025376611;19.2000000000001;0.159999999999999;1310.09
"7";0;0.0578988524748266;0.239950433791324;0.00693990541057382;0.0810522455457221;0.39072692554917;0.22199959549962;19.6800000000001;0.19;1299.62
"8";0;0.0577152786079769;0.237492420558235;0.00692853700873509;0.0808237522687823;0.390737165480268;0.220242782926411;20.6100000000001;0.19;1292.88
"9";0;0.0574379472304145;0.237459873323284;0.00692318847524974;0.0804877416512994;0.390738123681717;0.218646629279683;21.0000000000005;0.239999999999982;1284.79
"10";0;0.0569951990664121;0.235729965562884;0.00682824111123777;0.0797557266972854;0.390768799268242;0.216118036029932;21.1300000000005;0.279999999999983;1254.58
"11";0;0.056902003381619;0.235416090138967;0.00680731852453265;0.0796689744446679;0.390768799268242;0.21600336172064;21.6400000000007;0.289999999999983;1253.9
"12";0;0.0567938514450532;0.235808960174669;0.00683055825613183;0.0795469364796203;0.390861130586351;0.215165314423925;20.9700000000007;0.269999999999984;1195.52
"13";0;0.0565840288023082;0.233669553076987;0.00680265165485125;0.0793584348190333;0.390871195260786;0.214495782518014;21.5300000000003;0.289999999999985;1193.47
"14";0;0.0569702780399882;0.234401217811051;0.0068951780315929;0.079838661228058;0.390714465924823;0.21564159397832;21.3200000000003;0.259999999999984;1127.84
"15";0;0.0571477570237264;0.235258685586095;0.00699416987443143;0.0798936722531751;0.390655237207827;0.215565582120122;21.6300000000003;0.279999999999984;1110.67
"16";0;0.0575343178689618;0.236530174563754;0.00711469503876529;0.0804751853517037;0.390558060579638;0.216629124159335;21.9100000000003;0.289999999999984;1090.97
"17";0;0.0568581816317049;0.233262997474985;0.00700700593950084;0.0792649003866622;0.390554393431067;0.213598957491264;21.7700000000003;0.299999999999985;1044.09
"18";0;0.0571690498156855;0.231307805252405;0.00703180212583663;0.0794041925401904;0.390736867188427;0.214460462862651;22.1900000000003;0.299999999999986;1032.29
"19";0;0.057259508834011;0.231396184323391;0.00704411254681861;0.0794276381800665;0.390759486222949;0.214467716956299;22.6999999999997;0.359999999999977;1029.69
