"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0612311146051712;0.246903991604811;0.00775806675482349;0.0873784821638222;0.391398621046803;0.231927242819551;30.98;0.75;2412.4
"3";0;0.0596127261673616;0.24426240643269;0.00723090387257854;0.0844522406740252;0.390656447846199;0.227731065004326;27.36;0.87;2133.14
"4";0;0.0586271072666661;0.243083398951192;0.00695447730614274;0.0828384817031071;0.389906133005556;0.226418373580535;23.19;0.25;1675.11
"5";0;0.0581119434192592;0.24167387760328;0.00690691140667373;0.0821209456052715;0.38990172727585;0.22454374664216;23;0.14;1603
"6";0;0.0572984977657513;0.239356091475682;0.00674632731310345;0.0809122928820889;0.390131748583941;0.221465321359112;20.23;0.15;1349.01
"7";0;0.0567597021703455;0.236326181413468;0.0067019575747406;0.0803863107513763;0.390254535737094;0.218540106763927;19.93;0.2;1262.89
"8";0;0.0559541065635289;0.232966073571052;0.00654473012497314;0.0793118910206442;0.39022802651321;0.215113527705768;20.13;0.2;1225.17
"9";0;0.0555822533098124;0.230215908301423;0.00649862056576335;0.0788428220665122;0.390191488727558;0.214901264357548;20.3200000000001;0.17;1209.92
"10";0;0.0553337080884775;0.229075613389054;0.00640311658720393;0.077913809433924;0.389953968921033;0.212609207641722;19.1700000000001;0.2;1082.93
"11";0;0.0551411964230622;0.228531570557563;0.00636622867155523;0.0776590920727248;0.389949528610225;0.212192348874237;19.5900000000001;0.220000000000001;1067.99
"12";0;0.0555783191519463;0.232056244134754;0.00644396785972215;0.0776093360726481;0.389860364440472;0.212837549097059;19.68;0.240000000000001;1039.19
"13";0;0.0558311591515198;0.231770295501932;0.00650866069915105;0.0780106438265415;0.390056888294344;0.214605286826463;19.25;0.200000000000002;1011.92
"14";0;0.056088073892746;0.232089951246118;0.00657654824695318;0.0782177701299;0.390055696847012;0.21503335379652;19.7400000000002;0.190000000000022;1007.24
"15";0;0.0558780364615842;0.230239271076863;0.00654405073142975;0.0780146181499261;0.390079135492293;0.214452100671324;20.1299999999998;0.230000000000023;1003.58
"16";0;0.055981139983863;0.230354230558682;0.0065600563253196;0.0775094293239937;0.390078558261839;0.213223200702779;20.6399999999998;0.210000000000022;987.240000000001
"17";0;0.0562107790078567;0.230869164454782;0.0065930799415444;0.0776778616970312;0.390070567832953;0.213669966416309;21.1799999999999;0.160000000000022;984.180000000002
"18";0;0.056404654070309;0.231588860745309;0.00677996505814542;0.0781713037467491;0.390070567832953;0.214814477935602;21.79;0.180000000000004;983.190000000002
"19";0;0.0561928760814214;0.231017968372206;0.00677071247887542;0.0778736184510607;0.390070567832953;0.213829177045866;22.3700000000004;0.199999999999986;978.589999999999
"20";0;0.0572973006421185;0.232930609808076;0.0069608939126278;0.0787449268212861;0.39012542836728;0.215296377633093;22.6200000000003;0.219999999999986;957.74
"21";0;0.0572940470205427;0.236384147341931;0.00696119887113843;0.0786358978411357;0.390180421454792;0.215167405056231;22.3600000000003;0.229999999999985;899.550000000002
"22";0;0.0573159791615563;0.237879811003126;0.00694467742442119;0.0784902841510061;0.390076715502509;0.214937008742399;22.7100000000003;0.219999999999986;880.710000000002
"23";0;0.0573839937107181;0.238191216333005;0.00695853530399076;0.0785643114860489;0.390056616651796;0.215159246922256;22.9900000000003;0.289999999999987;876.8
"24";0;0.0571094547704304;0.237563847192129;0.00692604303109519;0.0782643739441729;0.390070177597765;0.214389488147954;23.3700000000004;0.299999999999987;859.96
"25";0;0.0570980771630056;0.238835103752129;0.00694855042494236;0.0783171906535296;0.39005272808936;0.214549455254391;24.0500000000001;0.339999999999997;856.91
"26";0;0.0568099563236109;0.2384753341688;0.00693064281659336;0.0782211281721319;0.389857669329163;0.21449660832519;24.5200000000001;0.349999999999997;848.770000000001
"27";0;0.0574010506618583;0.23924542636867;0.00700516673958103;0.0785970849440957;0.389898198966591;0.215193520965798;24.7400000000001;0.369999999999996;827.660000000002
"28";0;0.0580199470730115;0.24069283779565;0.00717549293538749;0.0797595906892153;0.389892256063775;0.217933973967;25.1100000000001;0.389999999999995;809.930000000003
"29";0;0.0579218645388648;0.240253029209405;0.007168564857248;0.0796770877042345;0.389892256063775;0.217592315884782;25.5099999999994;0.429999999999997;806.820000000004
"30";0;0.05786080589944;0.24005762815594;0.00716113637336161;0.0796056318278156;0.389883446345062;0.217375920063458;25.9299999999995;0.419999999999997;796.750000000006
"31";0;0.0582548130036585;0.24096955991039;0.00724129450369589;0.0799195577112815;0.389900184877754;0.217911708182048;26.3199999999995;0.429999999999997;791.100000000006
"32";0;0.0583453076907663;0.241010040819281;0.00724823364474263;0.0799725438340333;0.390095829488299;0.217958097600593;26.8299999999995;0.449999999999997;785.650000000005
"33";0;0.0585787956499165;0.243819111550475;0.00731541409072248;0.0802752195844211;0.390016582259225;0.218884838361711;26.7599999999995;0.449999999999997;771.480000000004
"34";0;0.0587448013914209;0.244559559029617;0.00733936963871328;0.0804362385266733;0.390042609923241;0.219468067171175;26.9999999999995;0.469999999999996;757.460000000003
"35";0;0.0586765836948433;0.244447680257426;0.00733974433001926;0.0804332343520177;0.390042609923241;0.219467922518605;27.5899999999996;0.489999999999978;756.150000000002
"36";0;0.0589212919720565;0.244809450189346;0.00738109713878192;0.0805393111601181;0.390042609923241;0.219671149332752;28.0799999999997;0.549999999999962;754.360000000001
"37";0;0.0591616016308074;0.2453569641327;0.00744166991105966;0.0807656057292794;0.39005542815824;0.220207606376824;28.8499999999991;0.629999999999953;752.550000000001
"38";0;0.0591994326598914;0.24549263463478;0.00744527406248639;0.0805102080615611;0.390048611420602;0.219735228379647;29.4499999999983;0.639999999999944;748.66
"39";0;0.0591122654421859;0.245282912519143;0.00740894562377027;0.0802947372057653;0.390094625458744;0.219203755914044;30.0399999999984;0.689999999999945;747.06
"40";0;0.0593833477230648;0.245872938050463;0.00744567226316327;0.0804637082533341;0.390053825293578;0.219529044139257;30.2799999999984;0.679999999999946;735.129999999999
"41";0;0.0592584572514187;0.245710209680596;0.0074147039174178;0.0803505986400013;0.390053825293578;0.2192689101946;30.5899999999992;0.709999999999975;733.999999999996
"42";0;0.0594199570796276;0.246458140469564;0.00744080935432674;0.0804363080360941;0.390044909341064;0.219463659674901;31.0699999999992;0.729999999999976;727.419999999995
"43";0;0.0593302891141219;0.246208620968485;0.0074329014564811;0.0803777124866862;0.390044909341064;0.219330732067202;31.6099999999989;0.719999999999976;726.669999999995
"44";0;0.0593459186422006;0.245788337625446;0.00743760771137856;0.0802967274067544;0.390044909341064;0.218887562399381;32.3799999999988;0.749999999999976;718.629999999996
"45";0;0.0595273740687918;0.246045787147472;0.00746575660944265;0.080404475379002;0.390067533261397;0.219065664612824;32.8299999999988;0.749999999999975;713.769999999995
"46";0;0.0600355286402698;0.248382913116675;0.00758170214964834;0.0809748824521807;0.39005951473065;0.220467824275882;33.4599999999988;0.799999999999975;702.659999999995
"47";0;0.0601660586233202;0.248619468243148;0.00761967058186744;0.0810895459734144;0.39005951473065;0.220632709600429;34.0899999999994;0.799999999999975;701.899999999998
"48";0;0.060247557454275;0.248748621359246;0.00763858184874562;0.0811948647465297;0.390063564176713;0.220946956262403;34.7399999999988;0.799999999999986;700.869999999998
"49";0;0.0603584704410338;0.249564350457548;0.00764731965721707;0.0811005695889328;0.390048140775397;0.220557500690652;35.2299999999988;0.799999999999986;698.269999999998
"50";0;0.0603026400854178;0.249752928573464;0.00766276552383033;0.081174088690248;0.38998143293601;0.220883468978815;35.3899999999988;0.819999999999986;663.699999999998
"51";0;0.0604377558756623;0.250462746089101;0.00766000503157025;0.0811264612720014;0.390082934616713;0.220720201501578;35.8199999999988;0.829999999999986;661.059999999998
"52";0;0.060624963108626;0.251183320663072;0.00769774081231416;0.0814408777206747;0.390075027147795;0.221747367460908;35.7199999999988;0.909999999999986;652.049999999998
"53";0;0.0607244833434007;0.251403863386312;0.00774472865578043;0.0816012905598397;0.390075027147795;0.222086483034857;36.2499999999981;0.909999999999987;651.669999999999
"54";0;0.0611004808557487;0.252266230916819;0.00780798651956777;0.0819588437375025;0.390075027147796;0.222937357988375;36.6499999999981;0.929999999999987;648.659999999999
"55";0;0.0612615950651408;0.252464927355876;0.00782132421682078;0.0819969272053418;0.390019284819144;0.22304896190524;37.1199999999988;0.950000000000007;646.27
"56";0;0.0612228434357636;0.252469099929197;0.00783514224795624;0.0820380979506049;0.390019284819144;0.223109633019544;37.6699999999982;0.950000000000007;645.389999999998
"57";0;0.060926315881194;0.250034412449665;0.00777910141546793;0.0817122694197205;0.390008908575542;0.222287301783214;38.1399999999982;0.990000000000007;638.799999999998
