"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0604612078103915;0.24511224321375;0.00748994229967237;0.0857918484172903;0.391390762779866;0.228738785483018;28.93;0.2;2263.61
"3";0;0.0587252743499866;0.243254139323889;0.00702585113816925;0.0831982791545168;0.390546427179895;0.225351740666991;23.7;0.24;1755.34
"4";0;0.058385019535599;0.241154659150707;0.00706260130575491;0.0822884852635841;0.390482817683739;0.222380160715494;23.01;0.2;1668.3
"5";0;0.0576482928177246;0.236879380796238;0.00701595578596833;0.0816810077293821;0.390643063701607;0.220198433659574;22.2;0.19;1562.66
"6";0;0.0575945542802666;0.237445477488315;0.00699237953086996;0.0814820284975688;0.390341366850614;0.220411061181744;20.29;0.22;1362.17
"7";0;0.0573012203577989;0.236433093745619;0.00695304508345738;0.0809314837344152;0.390209695353731;0.218982203233191;19.37;0.23;1249.76
"8";0;0.0569696153502711;0.235701523468915;0.00686486726606183;0.0803803138926255;0.390110874063993;0.217796640413274;18.8;0.23;1230.37
"9";0;0.0570010163091658;0.236244010192446;0.00686879305853972;0.080366341581877;0.389983919944071;0.217861142394176;18.49;0.28;1164.74
"10";0;0.0569244500501076;0.23551526189361;0.00682796203193996;0.0791284951601128;0.389983428254943;0.214801692347289;18.8;0.36;1137.32
"11";0;0.057385152007203;0.235703026558406;0.00683528115558472;0.0791657375653115;0.390059160863261;0.214875656965962;18.82;0.32;1102.05
"12";0;0.057452557620794;0.236859147352787;0.00685122307653341;0.0791842960148956;0.390115113581032;0.215886324386067;19.2000000000004;0.379999999999982;1096.6
"13";0;0.0581808390206439;0.239207069947865;0.00698430040139353;0.0801078923012077;0.390215954776898;0.217993407592556;18.9100000000004;0.339999999999981;1038.5
"14";0;0.058161404992771;0.238979941859936;0.00700948018769348;0.0800454831664251;0.390202715541194;0.21794602748476;19.8600000000004;0.349999999999981;1014.94
"15";0;0.0585683430924757;0.239665517677284;0.00724934160204927;0.0804823249781062;0.390202715541194;0.21901810917258;20.2900000000004;0.389999999999981;1012.58
"16";0;0.059723248793333;0.245607055269948;0.00740869162797632;0.0814919472758239;0.390134909301462;0.22165410849422;19.9400000000004;0.399999999999981;938.52
"17";0;0.0601722606859461;0.24823037122966;0.00745852451409494;0.0817928047283808;0.390152926974577;0.22278262056658;20.1700000000004;0.339999999999981;912.160000000001
"18";0;0.0599309684485933;0.247751465105008;0.00736950377597669;0.0815162280800348;0.390152926974577;0.222200164874831;20.6800000000005;0.35000000000002;911.850000000002
"19";0;0.0598650581636466;0.247606333764299;0.00736984524584938;0.0814610238692014;0.390199281066709;0.22221360662071;21.2400000000002;0.35000000000003;909.090000000002
"20";0;0.0596340533450257;0.246271636154996;0.00734957926607788;0.0812102917166138;0.390128986428784;0.221269131992819;21.6300000000003;0.340000000000031;880.860000000003
"21";0;0.0596198262990373;0.246959267299565;0.00736831468978624;0.0812921683535628;0.390101359288346;0.221415883131528;21.4900000000003;0.390000000000032;834.540000000006
"22";0;0.0599859536614878;0.24737511416873;0.00740929234005507;0.0815061595428396;0.390102930678719;0.221833358763418;21.7300000000003;0.410000000000031;818.780000000005
"23";0;0.0592592866886719;0.246169794734557;0.00718140474103712;0.0809424115621166;0.390102930678719;0.220643021753229;22.3800000000002;0.419999999999994;817.850000000006
"24";0;0.0601091904346146;0.248448188587157;0.00739903531922125;0.0819088577411913;0.39005467165116;0.222284177179516;22.7900000000003;0.369999999999995;804.270000000007
"25";0;0.0604179479625835;0.249196134183908;0.0074374513288823;0.0821558150717878;0.390132892097759;0.222893994787653;23.1100000000003;0.369999999999994;789.330000000007
"26";0;0.0604755433665793;0.249844738945409;0.00748365647503567;0.0823096114234115;0.390149093256782;0.223500412742382;23.3400000000003;0.439999999999994;776.580000000007
"27";0;0.0607451857109935;0.250444177587099;0.00754427271835062;0.0825786015505021;0.390128769574063;0.223949250619535;23.7800000000003;0.489999999999995;769.660000000008
"28";0;0.0612000381860644;0.252527770152084;0.00764937655634856;0.0831025911091537;0.390132418664805;0.225221510713202;24.1100000000003;0.499999999999996;756.170000000008
"29";0;0.0613557910690468;0.252665993005101;0.00768531558817736;0.0832581328927406;0.390132418664805;0.225462248668643;24.4300000000003;0.569999999999996;749.160000000006
"30";0;0.0612336966290391;0.252282628169253;0.00765647871716357;0.0830922911614569;0.390101301257995;0.225012086420945;25.0800000000004;0.589999999999995;746.730000000006
"31";0;0.0614247042204879;0.253181824723058;0.00769568866690604;0.0832890324027072;0.390070587405536;0.225413308049347;25.3200000000004;0.599999999999996;740.500000000008
"32";0;0.0611615300048038;0.251891980777;0.00765796202452004;0.0830126401018174;0.390113878518807;0.224419474474025;25.8000000000004;0.599999999999995;736.100000000007
"33";0;0.0617668761295527;0.252852419087065;0.00777868926581992;0.0835280613380034;0.390112163045955;0.225692646485387;26.3099999999998;0.609999999999987;733.340000000006
"34";0;0.0613832968883405;0.250815007339644;0.00771437167977468;0.0831702314153406;0.390113220439993;0.224360111604701;26.8999999999994;0.609999999999988;730.130000000006
"35";0;0.0615264423944956;0.252268701841666;0.00777899834978236;0.0835835905832082;0.390113220439993;0.225314470649094;27.2699999999994;0.669999999999988;718.610000000005
