"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0656482465405456;0.273144924352534;0.00885860382797291;0.094041556985685;0.39154000441161;0.243103401835891;27.2;0.359999999999999;3281.12
"3";0;0.066531890736963;0.276371685418938;0.008990555307595;0.0945371360055649;0.39130350151556;0.244583700132674;25.3;0.44;3117.6
"4";0;0.0672257362694068;0.277941792697112;0.00916075525779756;0.0953750414220512;0.391211630975693;0.246536467390176;21.5;0.18;1546.96
"5";0;0.0678105924491814;0.281090589857565;0.00931889245085596;0.0961860335158402;0.391417411729381;0.251583406586461;20.16;0.15;1399.84
"6";0;0.0663925686585821;0.27511871837888;0.00887732794803112;0.0937305168887575;0.390760210648184;0.248322304244179;18.86;0.189999999999998;1250.74000000001
"7";0;0.0674078624218461;0.276104843349274;0.00910975706011551;0.0949092308773716;0.390346880647062;0.25243303341835;17.91;0.229999999999999;1134.27
"8";0;0.0674448680797253;0.27815422013563;0.00920366235106815;0.0952967551820889;0.390346880647062;0.253820021448503;18.54;0.26;1123.92000000001
"9";0;0.06718527421205;0.274566643288024;0.00911867233149405;0.0946771574356666;0.390392149406459;0.254183686586047;18.7300000000001;0.289999999999999;1100.88000000001
"10";0;0.0669291594249266;0.273231684034287;0.00909050334871332;0.094478772341001;0.390490821805824;0.253669180951195;18.97;0.290000000000001;1071.73
"11";0;0.0669480543895966;0.272927277100762;0.00913487284582948;0.0946926648456388;0.390512554734809;0.254919050110201;19.3700000000001;0.27;1058.34
"12";0;0.0675188622560038;0.277459216786042;0.00923963549197838;0.0951953704350549;0.390167225142215;0.257571877957542;19.6000000000001;0.27;1032.07
"13";0;0.0676134209939058;0.278989956057468;0.00927075487492917;0.0952045576004315;0.390167225142215;0.257515418465174;20.0400000000003;0.300000000000001;1028.38
"14";0;0.0681266369874237;0.280103994738937;0.00933473657957708;0.0955083036894573;0.390082817460026;0.258187487811545;20.0200000000003;0.340000000000004;996.529999999992
"15";0;0.0683715226198136;0.281255289309566;0.00941008785158759;0.0957910365136782;0.390082817460026;0.258785096250258;20.5900000000006;0.340000000000004;992.649999999995
"16";0;0.0688890906310595;0.281556519561634;0.00954584902578622;0.0962449272001022;0.390010860738446;0.260626865829245;20.7900000000005;0.320000000000004;982.979999999996
"17";0;0.0688618112402541;0.281357506072116;0.00954083130151457;0.0961487325708826;0.390011643473575;0.260465590930277;21.2799999999997;0.339999999999995;976.579999999995
"18";0;0.0689116361149165;0.28203796305197;0.00953977629795611;0.0960028141436375;0.389954493798525;0.259895435951346;21.7099999999988;0.37999999999999;974.819999999997
"19";0;0.0687177035335087;0.281664512300862;0.00953051425803416;0.0957384837865507;0.389954493798525;0.258402524001366;22.2899999999994;0.37000000000001;973.629999999992
"20";0;0.0691463880003732;0.282257914189767;0.00957274380694672;0.0957521700575871;0.390068230465246;0.258098930170486;22.3499999999994;0.36000000000001;931.159999999995
"21";0;0.0704177054916573;0.284779717166544;0.0097667514421841;0.0966271340755921;0.390064228935457;0.259722364007738;22.2099999999993;0.39000000000001;864.459999999994
"22";0;0.0703239882548165;0.284132994606247;0.00976181121415943;0.0965638501777081;0.390073044149841;0.259598331040132;22.7099999999976;0.420000000000011;862.879999999994
"23";0;0.0702853357003172;0.283074273339325;0.0097406252279997;0.0964360818117625;0.390297390444511;0.259352839366479;23.3099999999976;0.480000000000011;861.66
"24";0;0.0704562772324124;0.283052623839964;0.00972343430411073;0.0962620704793621;0.390292350810395;0.258889413300873;23.7099999999975;0.500000000000009;852.229999999997
"25";0;0.0707805271280752;0.284133495094328;0.00973458964636826;0.0962401289779649;0.390291646806125;0.258835339591555;23.6299999999975;0.560000000000009;806.509999999999
"26";0;0.0706673760197297;0.283655842702968;0.00972764662198563;0.0961862329833652;0.390436285574734;0.258731398350078;23.9499999999975;0.580000000000013;796.850000000003
"27";0;0.0697360439840708;0.278263673902358;0.00948701261242593;0.0949035022738412;0.390460441276034;0.255567645607885;24.3399999999976;0.590000000000012;792.480000000004
"28";0;0.0697926920509817;0.278439639805718;0.00948155129949584;0.0947992164517643;0.390460441276034;0.255142298384293;24.8999999999969;0.540000000000012;791.570000000007
"29";0;0.0698454500773239;0.278977875466637;0.00948966976115236;0.0947949032947126;0.390474008078549;0.255549349931926;25.3599999999974;0.589999999999993;786.940000000005
"30";0;0.0698342451087631;0.278638663420042;0.00947402856428798;0.0947180545013499;0.390663453570652;0.255975803443313;25.7699999999974;0.619999999999992;779.000000000006
"31";0;0.0698525296132501;0.278543817740308;0.00949017198487764;0.0947010087829751;0.390559595806765;0.255882114812462;25.8499999999974;0.619999999999992;760.09000000001
"32";0;0.0697622472588247;0.277959605308872;0.00945947274784295;0.0945466241874717;0.390559595806765;0.255514879818659;26.3899999999979;0.700000000000005;759.430000000004
"33";0;0.0696512808598428;0.277824438008437;0.00945910330101685;0.0945109336036444;0.390542761753607;0.255380598563192;26.919999999998;0.770000000000009;753.259999999995
"34";0;0.0693979883381635;0.277223011515009;0.00942609918803622;0.094296759743333;0.390590582004057;0.254400269657839;27.6499999999979;0.770000000000005;749.759999999999
"35";0;0.0692528666868449;0.276935882486374;0.00939133666738245;0.0940538505709267;0.39044446653958;0.253942437478222;28.1799999999983;0.779999999999999;743.279999999999
"36";0;0.0693701823919239;0.276655432839737;0.0093523040223076;0.0937893578932089;0.390601385705509;0.253309648581154;28.4799999999986;0.85999999999998;733.060000000002
"37";0;0.0696144981718511;0.280007057468053;0.0094288226268751;0.0940422850135354;0.390601385705509;0.253956998171585;29.0399999999987;0.829999999999981;729.110000000004
"38";0;0.0696207551028842;0.28008010448288;0.00942157944727129;0.0939891699152265;0.390601385705509;0.253866766431467;29.5899999999989;0.819999999999983;726.770000000006
"39";0;0.0694807178584347;0.279020897800549;0.00934985425158501;0.0937137223267731;0.390601385705509;0.253357924801834;30.289999999999;0.879999999999999;726.27000000001
"40";0;0.0695072163767782;0.279060886634838;0.0093591639542716;0.0937786876473168;0.390601385705509;0.253538642764053;31.3399999999992;0.890000000000004;759.040000000007
"41";0;0.0694347797068097;0.278732807784894;0.00933117069873564;0.0935828093497865;0.390622488799159;0.253041703389494;31.8499999999994;0.870000000000008;744.730000000016
"42";0;0.0692274384835228;0.277678674789514;0.00931192333994735;0.0934461443444885;0.390670476249323;0.253038849015235;32.3799999999996;0.869999999999987;742.930000000011
"43";0;0.0690145946309969;0.275429279456004;0.00928032497776365;0.0931413762379142;0.390719620631188;0.251444960392484;33.1099999999987;0.899999999999975;743.37000000001
"44";0;0.0691366548278606;0.275387535873361;0.00930950497974717;0.0933133384261851;0.390674135687304;0.251914534757679;33.8799999999979;0.899999999999963;738.980000000003
"45";0;0.069428618583278;0.275960853670218;0.00932355018162595;0.0933656496598268;0.390687824483147;0.25201139635317;34.4399999999981;0.939999999999946;731.07
"46";0;0.0693610265236412;0.277688230502189;0.00931422807872572;0.0933284125164311;0.390687824483147;0.252392480306056;35.0299999999987;0.969999999999947;730.450000000001
