"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0682203538288438;0.281593907831108;0.00942977487502875;0.096031862756193;0.392213474308114;0.246373403946813;27.9600000000001;0.149999999999999;2141.91
"3";0;0.0688961794481138;0.280586006637397;0.00960883377621262;0.0969205677756854;0.39208023155838;0.248928467799108;22.3200000000002;0.100000000000001;1640.24
"4";0;0.0687347727458833;0.278710535642259;0.00952555080047358;0.0965346016401741;0.392214363949317;0.25146977134601;22.4899999999998;0.120000000000005;1637.13
"5";0;0.0691340946049839;0.279662066198622;0.00956623344489026;0.0967847794970811;0.392376875380591;0.252296445150251;21.9599999999998;0.140000000000004;1557.17
"6";0;0.069451277610619;0.285245622707134;0.0096634852385469;0.0972006549078929;0.39210635244953;0.254684352848238;20.8999999999997;0.220000000000002;1410.71
"7";0;0.0696744302042337;0.284801762028488;0.00971587907109204;0.0974219669459249;0.391693032555256;0.257004307223681;20.8499999999999;0.210000000000001;1362.2
"8";0;0.0697516027659947;0.284698574433744;0.00966183309390687;0.0970771975717294;0.391533234507565;0.256784403712288;20.7200000000003;0.240000000000002;1295.58
"9";0;0.0701755328373627;0.286072690406413;0.00979591978703758;0.0977206935320622;0.391563302932682;0.258450356139765;20.5599999999999;0.23;1233.15
"10";0;0.072225760574038;0.291872931773003;0.0102692272844204;0.100167036511645;0.391512184347118;0.263962940664071;19.1599999999996;0.25;1077.36999999999
"11";0;0.0716058161505927;0.290145325209716;0.0102204330234362;0.0997125468091246;0.391644164807598;0.265364168321522;18.9999999999995;0.269999999999996;1024.19999999999
"12";0;0.0712564925511496;0.288120594287899;0.0101534913271422;0.0989859323533245;0.3916406887256;0.262375213381774;19.2299999999993;0.279999999999998;1001.94999999999
"13";0;0.0714376613084419;0.288643751810945;0.0102783238837151;0.0995051501136803;0.391582314944626;0.263502268146784;19.2399999999993;0.289999999999999;963.979999999996
"14";0;0.0715625431926617;0.291534187360285;0.0103146897780529;0.0994187206534901;0.391602296490051;0.263724953042063;19.4299999999994;0.27;924.840000000004
"15";0;0.071663066887073;0.292189312093671;0.0103348423638514;0.0995569977796909;0.391664196699158;0.264262676238952;20.1599999999994;0.370000000000001;921.790000000001
"16";0;0.0712729248715826;0.290884543126506;0.0102085722775365;0.0990815311168588;0.391580168863998;0.264421152649943;20.7399999999993;0.330000000000002;913.950000000012
"17";0;0.0716970015505627;0.292953515051771;0.0103934930569157;0.099949680375734;0.391670923072256;0.26657212960997;21.0699999999995;0.300000000000008;889.730000000018
"18";0;0.0714132737690798;0.291196123253258;0.0101979987364756;0.0990995308448218;0.391597664764318;0.264293624728033;21.6499999999996;0.300000000000029;885.200000000015
"19";0;0.0713874036579504;0.291324314400842;0.0101839263583051;0.0989615718411658;0.391570692957369;0.263973334971214;22.1799999999996;0.35000000000003;881.800000000021
"20";0;0.0720099668536408;0.295245748952703;0.0103452139856119;0.0999672698494617;0.391163009542371;0.267192214389764;22.3199999999997;0.440000000000033;844.460000000017
"21";0;0.0722978363414492;0.296515043829299;0.0104094523253533;0.100289641829401;0.391175640291762;0.26815142961821;22.7599999999995;0.510000000000034;835.330000000027
"22";0;0.0730401414076791;0.29686278360067;0.0105011792893767;0.10082021146866;0.391218494658656;0.269313696318275;22.7099999999996;0.580000000000037;789.950000000015
