"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.066947077128919;0.276034551900125;0.00912892208050756;0.0936050959355753;0.393061310261081;0.235699143438407;26.1400000000001;0.0600000000000023;2030.53
"3";0;0.066850755213061;0.275295060080878;0.00911404445668769;0.0934016925813948;0.39358803648816;0.23552383933325;25.6400000000001;0.0499999999999971;1925.68000000001
"4";0;0.0685567856213235;0.279972225250056;0.00942027158006145;0.0952901611721141;0.393676812647324;0.241394209384275;22.9;0.119999999999997;1660.78
"5";0;0.0694345928434418;0.283306350788037;0.00972351438530601;0.0960530621941107;0.393449560078492;0.24614434633124;21.53;0.240000000000002;1502.93000000001
"6";0;0.0698448619874127;0.28656853064369;0.00983837335151295;0.096736720851149;0.393576214976328;0.247912811501679;20.7699999999997;0.220000000000006;1474.25000000001
"7";0;0.0695195443007695;0.28451463696355;0.00974691180323982;0.0959689551318989;0.393265072093213;0.246738575903953;20.9799999999996;0.260000000000012;1456.31000000001
"8";0;0.0706949888408788;0.28893227009708;0.0100606397483285;0.0973833262786474;0.393300599526385;0.249797401126406;20.4799999999996;0.260000000000005;1368.00000000001
"9";0;0.0702793295131223;0.286970803605957;0.0100072175275187;0.0970218936334512;0.393251691768688;0.249254402704496;20.8899999999999;0.259999999999998;1349.49000000002
"10";0;0.070117717246589;0.286729576439883;0.00996547858480682;0.0967161891324657;0.393159186583473;0.248873998383556;21.2399999999998;0.280000000000001;1340.18000000001
"11";0;0.0700525291733182;0.285979236779068;0.00977549832712021;0.0958495460623496;0.392199791004608;0.248654071539032;20.8799999999996;0.27000000000001;1259.29000000001
"12";0;0.0704162255834588;0.288368710316751;0.00979751317053182;0.095977343824058;0.391925191503658;0.249327233606157;19.8799999999992;0.320000000000007;1041.71999999999
"13";0;0.0704874218134975;0.288761633182822;0.00978041225894698;0.095845542873583;0.391900364354552;0.248987175657023;19.9399999999991;0.300000000000011;1029.24999999999
"14";0;0.0707315361374624;0.28954928165071;0.00982927990314586;0.0960398739796895;0.391899352393871;0.249437450779631;20.2999999999997;0.38000000000001;1011.90000000001
"15";0;0.070690360443155;0.289500145206852;0.0098229959487663;0.0959320805803455;0.391829304375514;0.248963833086724;20.7899999999991;0.370000000000012;1011.67
"16";0;0.0706467697398168;0.289623549841325;0.00977328077930053;0.0955403073793093;0.391829304375514;0.247964380270693;21.2199999999993;0.38000000000001;1004.14999999998
"17";0;0.0714904144223346;0.290159693273386;0.00992035545886576;0.0961936614923173;0.391828650987723;0.249527684293593;20.9499999999994;0.400000000000006;937.999999999975
"18";0;0.0711363070153105;0.289058934389674;0.00987048065294291;0.0958122487033158;0.391705969895249;0.248723006341367;21.4599999999991;0.450000000000003;935.699999999976
"19";0;0.0708810531060831;0.289100619815361;0.00983080911202726;0.095578580933362;0.391564839936685;0.248567784367583;21.8299999999995;0.43999999999999;926.109999999965
"20";0;0.0709399860228363;0.289287331232803;0.00983628067756764;0.0956114074632573;0.391565885920883;0.248646492934388;22.3399999999997;0.509999999999998;917.819999999957
"21";0;0.0704723478921699;0.287699478422372;0.00974511093627998;0.0949781857783059;0.391498583898143;0.246919652411808;22.2100000000001;0.619999999999998;878.159999999968
"22";0;0.0700510725757284;0.286882445975686;0.00960743193207972;0.0943761312081534;0.391498583898143;0.245880041204412;22.6200000000004;0.640000000000001;876.109999999981
"23";0;0.0701782388172849;0.286778159644507;0.00962250545873597;0.0943986746637811;0.391808474043767;0.246527623712132;22.4200000000001;0.560000000000002;818.549999999983
"24";0;0.0703044820034002;0.286951654679836;0.00962093460945662;0.0942000560253842;0.39188159385516;0.245822570027548;22.6700000000001;0.600000000000001;801.219999999967
"25";0;0.0701637166600809;0.286739514877784;0.00958131700879346;0.0938915180929048;0.39188159385516;0.244681765108336;23.0900000000002;0.619999999999997;796.239999999971
"26";0;0.0698944816410624;0.290278145177206;0.00953931948906048;0.0936275573618485;0.391955289101811;0.244157231691355;23.2199999999999;0.630000000000002;773.609999999981
"27";0;0.0698503430248994;0.290248121102591;0.00953197154898914;0.0935581900579318;0.391918687886218;0.244155276860556;23.7599999999999;0.670000000000001;769.759999999985
"28";0;0.0697445283127885;0.289745515683243;0.00950326842660808;0.0933692251395034;0.39185724799679;0.244263045840273;24.2399999999977;0.620000000000004;768.70999999998
"29";0;0.0696351141427102;0.289370833946517;0.00949479392570574;0.0932576009958301;0.391890374130409;0.244079172238303;24.7699999999979;0.590000000000003;762.649999999968
"30";0;0.0697899464888866;0.289468226527956;0.00951358078822415;0.0933332890664428;0.39184894882165;0.244436360579789;25.1399999999978;0.670000000000001;746.409999999977
"31";0;0.0694811590378107;0.290004749841575;0.00944027338927559;0.0928814461200997;0.391837111811778;0.243033638588458;25.149999999998;0.680000000000006;733.139999999973
"32";0;0.0697298621548022;0.290666274142483;0.00943861887024407;0.0928726844841165;0.391847693593564;0.243023976427963;25.5299999999986;0.659999999999996;722.349999999972
"33";0;0.0696366989769297;0.2911363970715;0.00943811018841447;0.0928673174007942;0.391847693593564;0.243009645979393;25.7299999999984;0.609999999999999;711.349999999972
"34";0;0.0695088768499469;0.29071084029862;0.00942373542888146;0.0926443429697276;0.391769616009268;0.242106013926407;26.3999999999987;0.629999999999974;710.249999999974
"35";0;0.0693007810637132;0.290076734712478;0.00939403133926748;0.0924081350950374;0.391819252744885;0.241454065126144;27.0599999999985;0.609999999999971;708.409999999981
"36";0;0.0696154051732893;0.290808066825419;0.0094821751253723;0.0929498018439257;0.391843645188336;0.242769111477464;27.3099999999985;0.649999999999948;678.889999999977
"37";0;0.0694963887086633;0.290191822516252;0.00946733077941321;0.0927667416658303;0.391814200842136;0.241606493643156;27.8899999999975;0.659999999999946;676.129999999975
"38";0;0.0693996361017998;0.289839595411097;0.00945375631224983;0.0925961813459361;0.391810449871632;0.24113341203637;28.4299999999975;0.679999999999928;673.269999999976
"39";0;0.0696448403778399;0.29024965305776;0.00949171138693938;0.0927590363187249;0.391813706576627;0.241553114168902;28.8099999999976;0.709999999999929;664.389999999975
"40";0;0.0695300127906607;0.289677068410531;0.00951336636396272;0.0928561784720572;0.391813427296144;0.241809874760166;29.3299999999976;0.689999999999926;653.499999999976
"41";0;0.0695096003221025;0.289599374292212;0.00951541317804014;0.0928467185752973;0.391813427296144;0.241740220732285;29.8799999999978;0.699999999999946;652.229999999975
"42";0;0.0695673819194122;0.289848552110486;0.00953621164641236;0.0929558428757124;0.391813427296144;0.242101721782358;30.5199999999981;0.709999999999951;647.689999999981
"43";0;0.0696849940562318;0.290048919455263;0.00962525424173821;0.0933350098906841;0.391785706554791;0.242840254390122;31.0199999999977;0.709999999999951;643.489999999995
"44";0;0.0697603537679291;0.290310221266771;0.0096458283637662;0.0934323538685891;0.391776680315169;0.243091069383553;31.6799999999975;0.709999999999951;638.439999999992
"45";0;0.0696480018655612;0.290112804605494;0.00963930610399901;0.0933834942048166;0.391744544149616;0.243029789571134;32.2199999999966;0.679999999999964;631.609999999998
"46";0;0.0696206917831189;0.2900478590349;0.00963842156203235;0.0933611543985602;0.391744544149616;0.242969072332219;32.779999999997;0.709999999999972;629.60000000001
"47";0;0.06957868889443;0.290030962386047;0.00964653669977777;0.0934187885417407;0.391720793441256;0.243229368611502;33.2599999999979;0.709999999999979;625.40000000001
"48";0;0.0696260483477714;0.290191265657028;0.00964712089371156;0.0934228628461853;0.391732656084276;0.243237946464135;33.6899999999982;0.709999999999972;617.850000000018
"49";0;0.0695479320848632;0.288467667163426;0.00963172677303138;0.0932750957846813;0.391650464756279;0.242785487306586;34.3599999999978;0.709999999999972;612.680000000019
"50";0;0.0693972865893202;0.287588690235731;0.00960727899829137;0.0930875706659595;0.391650464756279;0.24272599030067;34.869999999998;0.759999999999969;610.440000000014
