"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.068556975408895;0.283784880981626;0.00964979998469946;0.097820077797863;0.392850183756784;0.248521709748581;33.93;0.280000000000001;2344.97
"3";0;0.06931134866753;0.284525914371518;0.0097709536848581;0.0983195392560651;0.39292656057939;0.249639837836639;33.2;0.290000000000003;2304.81
"4";0;0.0692480986775098;0.284906031905779;0.00978036597887857;0.0983171887163316;0.393079054027887;0.249447379513318;34.310000000001;0.329999999999991;2282.46
"5";0;0.0691973953884623;0.285018786539783;0.00974565663564926;0.098180827692054;0.3929742082215;0.249273984548285;35.1100000000017;0.370000000000011;2280.68
"6";0;0.0693205814352519;0.284954591299137;0.00973185806991312;0.0981101570632682;0.39296365214573;0.249961236161947;33.4600000000017;0.380000000000009;2089.88
"7";0;0.0705273752170228;0.289639673661727;0.00981044311346191;0.0985294067867336;0.39286888616684;0.251591377973846;27.3400000000017;0.350000000000012;1700.39
"8";0;0.0713489898922217;0.290186110112462;0.00996727111253863;0.0993698381971431;0.392969396140568;0.254703136171612;23.5900000000017;0.320000000000011;1374.85
"9";0;0.0718401246683097;0.29135627789532;0.0100914665609134;0.0999615448021965;0.392712260995012;0.256969913796461;23.4900000000017;0.330000000000012;1294.97
"10";0;0.0719818388976351;0.291573608049161;0.00999160927991722;0.0992138835669511;0.392637575220432;0.25474278026967;22.2800000000017;0.340000000000014;1231.3
"11";0;0.0730153132940982;0.295815691240224;0.010100432672722;0.0997071874882192;0.392564501921168;0.256003782524376;21.5700000000017;0.370000000000015;1147.68
"12";0;0.0733461380032713;0.297413440887594;0.0101913302375195;0.100197985059217;0.392566703195527;0.257202848170086;21.2200000000017;0.440000000000012;1075.31
"13";0;0.0732619930112976;0.297019760138335;0.010184437021666;0.0999822698061322;0.392566703195527;0.256615221209251;21.8400000000009;0.45000000000001;1069.73
"14";0;0.0731917102744768;0.297737941097676;0.0102138892014061;0.100129555078199;0.392514365888118;0.257199271684664;22.2600000000009;0.38000000000001;1047.14
"15";0;0.0736946751138162;0.300991056462315;0.0103589614460794;0.100877467861466;0.392417992638735;0.259332641843258;22.2000000000009;0.400000000000013;989.31
"16";0;0.0738516484126885;0.30055153969444;0.0104231262325173;0.1012136336284;0.392412688018727;0.260256362512869;22.3700000000009;0.380000000000013;946.299999999999
"17";0;0.0739314012248506;0.302899463497705;0.0104569090632635;0.101381178087478;0.392298359208975;0.261119863162809;22.1300000000009;0.390000000000015;893.289999999999
"18";0;0.0740611526179776;0.302634053134703;0.0104972770897707;0.10155661706241;0.392515692067372;0.261729929987921;23.9500000000009;0.320000000000011;880.209999999999
"19";0;0.0734119951422599;0.300305646676439;0.0103848561860312;0.100900772006196;0.392017855479327;0.26049927368035;24.7100000000009;0.380000000000009;871.73
"20";0;0.0735913649856977;0.300306267372595;0.0104263206640469;0.101039950081069;0.39205940532984;0.260746914504904;25.0300000000009;0.390000000000007;866.450000000001
"21";0;0.073575260680439;0.299725041560532;0.0104316384132212;0.100930736530445;0.392058786616363;0.260525539806619;24.8400000000015;0.390000000000011;862.029999999999
"22";0;0.0735615242533684;0.299408342949513;0.0104285629406717;0.100829063429984;0.392091490590901;0.26008503017926;25.6300000000019;0.480000000000015;862.030000000001
"23";0;0.0736656934087556;0.300233096243394;0.0104457158310879;0.100914482140637;0.392087307203866;0.260319160110948;27.7100000000019;0.530000000000012;856.6
"24";0;0.0737375036955012;0.301971015271935;0.0105308386889949;0.100697843669332;0.392042269958474;0.259841965724954;28.7400000000018;0.530000000000012;849.900000000002
"25";0;0.0739467481013264;0.30208004945317;0.0105409451573994;0.100749280369314;0.392042269958474;0.260371542604278;29.5300000000017;0.500000000000014;847.230000000002
"26";0;0.074567991568522;0.303239120855477;0.0105928890390909;0.100973409986963;0.392052414858028;0.260828829365942;29.7700000000017;0.580000000000009;829.75
"27";0;0.0747691854169793;0.307759231667104;0.0107521182948012;0.101696201943017;0.392030883029536;0.262454927730037;30.9900000000017;0.610000000000006;822.690000000001
"28";0;0.0742386822360879;0.306408706975652;0.0106077407234328;0.101012741666479;0.391932491797556;0.260834876521397;31.4000000000019;0.600000000000005;822.539999999999
"29";0;0.0740298791206118;0.305309338714757;0.0105754594836091;0.100705923741627;0.391887405553031;0.259864810661687;32.2700000000019;0.580000000000005;815.689999999999
"30";0;0.0740135162404491;0.305429637215171;0.0105695824409823;0.100659217595844;0.391887405553031;0.259742822801255;32.3300000000017;0.550000000000004;811.159999999998
"31";0;0.0740208624509365;0.305511084008;0.0105867175882562;0.100582828214107;0.391887405553031;0.259551981036536;32.8400000000014;0.560000000000006;810.799999999999
"32";0;0.0739844171078809;0.304142153307467;0.0105456967264911;0.100328188675569;0.391825741650535;0.259035382857472;33.0400000000014;0.570000000000007;801.44
"33";0;0.073912107530263;0.303772411015375;0.0105298050613984;0.0998465789790299;0.391825741650535;0.257774068366268;33.4400000000016;0.63999999999999;795.929999999999
"34";0;0.0738257581779635;0.303338853515617;0.0105195680560674;0.0997966482624597;0.391825741650535;0.257748371939487;34.1100000000015;0.649999999999995;784.269999999998
"35";0;0.0742052144759808;0.304739614083931;0.0106054799333009;0.100053726703486;0.391833823002525;0.258634346311696;34.2200000000015;0.719999999999992;762.019999999999
"36";0;0.0741077616009218;0.304406263115175;0.010587984936148;0.0999338745168092;0.391833823002525;0.258379156705213;34.230000000001;0.689999999999991;757.909999999999
"37";0;0.0741680736779699;0.305093624959948;0.0106071599490847;0.0999607042014998;0.391798184894166;0.258547390927922;34.6500000000014;0.710000000000003;750.109999999998
"38";0;0.0744844797504531;0.306307218169678;0.0106467000536654;0.100110790328371;0.39178748432002;0.259083403474892;34.7000000000014;0.690000000000001;739.119999999998
"39";0;0.0740966674235986;0.303328871744476;0.0105627418327766;0.099666100518315;0.39178748432002;0.258693409080166;34.8500000000014;0.630000000000003;718.889999999998
"40";0;0.074085229948968;0.303352065798173;0.0105575231570963;0.0995821568689224;0.39177530547849;0.258400320181954;35.3100000000016;0.640000000000002;716.17
"41";0;0.0740252374466487;0.303474503300959;0.0105484293200546;0.0995385960816041;0.391721383695893;0.258616091638622;35.0900000000017;0.710000000000001;703.520000000002
"42";0;0.0738833531578418;0.303181014867425;0.010501043652199;0.0992178734538606;0.391721383695893;0.257769933677121;35.3600000000017;0.709999999999999;700.419999999999
"43";0;0.074238817690072;0.304826782272965;0.010625500481665;0.099829770323962;0.391559373052825;0.260154335006457;35.0200000000016;0.630000000000001;675.18
"44";0;0.0742573255691474;0.304891789744579;0.0106436459603489;0.0999119105692553;0.391559373052825;0.260368909415577;35.5500000000015;0.640000000000001;670.629999999999
"45";0;0.0737976770547965;0.303428608314781;0.0105660800204393;0.0995098368565547;0.391423633211066;0.259490688949889;34.8800000000016;0.610000000000001;652.62
"46";0;0.0738045210110369;0.303425446770041;0.0105657310100169;0.0994948619098866;0.391423633211066;0.259600838043823;35.1600000000015;0.630000000000001;648.670000000001
"47";0;0.074164974697162;0.305039780159516;0.0107147920642861;0.0999170225490772;0.391407809539061;0.260397573249983;35.2000000000015;0.65;644.11
"48";0;0.0739641115590135;0.304441290773132;0.0106819606655084;0.0996761552776709;0.391407809539061;0.259501246136929;35.5000000000014;0.680000000000002;642.030000000005
