"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0704375645758268;0.293052542131637;0.0106563512536517;0.102369103952573;0.268466118592258;292.022229299365
3;0;0.0723905591328304;0.297756104406066;0.0111041787055011;0.10376472708577;0.271308306642166;79.5564331210209
4;0;0.0724987888652488;0.297399157015697;0.0111356190776649;0.103869948241051;0.271572011927775;80.128853503186
5;0;0.0713831556608182;0.294958569113345;0.0108243972924059;0.10216103841318;0.267735725332633;65.4036305732505
6;0;0.0717701444836724;0.295636195542873;0.0108657410596867;0.102302452374374;0.2680994735271;56.5178980891724
7;0;0.0712344546345052;0.292640715182207;0.0107604556959548;0.101926053400824;0.266803513726091;48.5535668789811
8;0;0.0711294110914806;0.293169956743521;0.0107454145560692;0.101822542356783;0.266391330800598;48.5371337579618
9;0;0.0715892074558533;0.293550626952432;0.010833656898397;0.102312294152762;0.267625371981143;43.4543312101927
10;0;0.0715052055588948;0.293373662193632;0.0108337475994768;0.102310217736912;0.267624525211847;43.4442038216577
11;0;0.0726205336238991;0.296160893336798;0.0109788483398287;0.102918804485709;0.269047462177092;34.1335031847144
12;0;0.072255891843256;0.294894678787536;0.0109271511978928;0.102579405099705;0.268334450399331;34.1786624203835
13;0;0.0721852652212899;0.294696854865175;0.0109129391271206;0.102406231183136;0.267813720498403;34.1735668789821
14;0;0.0728369563228239;0.29837184982089;0.0108624704723433;0.102102298698794;0.267520541462523;26.244267515925
15;0;0.0728807932702179;0.299373209282265;0.0108789276522934;0.10218804218974;0.267831845659823;26.2224840764347
16;0;0.0729683926121358;0.299474336456531;0.0108810500143068;0.102152994308941;0.267927136549962;26.1275159235683
17;0;0.0731490413241814;0.299709556642059;0.0109071291969343;0.102209161977828;0.268022988080358;26.1203821656065
18;0;0.0732014206282495;0.297603966549442;0.0108973808945023;0.102087852299314;0.267916156316062;25.9749681528675
19;0;0.0733580254053212;0.297947986923777;0.0108964672947018;0.10199422881377;0.267663136043315;25.9674522293007
20;0;0.073487253259876;0.298565999204048;0.0109110654941876;0.102082596767944;0.267964004511446;25.9289808917211
21;0;0.0742678514542967;0.300852410063927;0.0109225966944183;0.102129080423403;0.269449127932927;17.1969426751591
22;0;0.0743103142786127;0.301071678747562;0.0109285034801955;0.102169633139857;0.269615840875702;17.1966242038215
23;0;0.0745548403117208;0.300331748378761;0.0109697829416017;0.102385541417345;0.270084090277379;9.67732484076363
24;0;0.0743865327940891;0.299937910155929;0.0109991923929935;0.102525893240431;0.270380377593584;9.62458598726064
25;0;0.0743229052917283;0.30013040574421;0.0110016639378656;0.102538991524021;0.27044512665779;9.61885350318415
26;0;0.0740884025780799;0.299583081158645;0.0109733793635128;0.102348662498664;0.269986887874216;9.61280254777001
27;0;0.0743712971200319;0.2995154824169;0.0109878300760883;0.102392419783601;0.270050451338195;9.56980891719709
28;0;0.0748328829267895;0.300046715665032;0.0110233914897738;0.102479871864702;0.270257922667665;6.13598726114668
29;0;0.0745656950139129;0.296203079012023;0.0109437084671306;0.102200807019297;0.269813486675393;6.05114649681561
30;0;0.074543860262854;0.296114338363574;0.010934577624033;0.102025210122128;0.268954558548902;6.04936305732522
31;0;0.0746082528251096;0.296099223350176;0.010932561968498;0.101997911919172;0.268907000188474;6.04834394904499
32;0;0.0746602337066635;0.296736818626973;0.0109377670564238;0.10195984376182;0.2687055833922;6.05178343949085
33;0;0.0743863748078753;0.295218767239702;0.0108917872856473;0.10155607887565;0.266030777655338;6.05573248407686
34;0;0.0748751414700807;0.296860280408038;0.0109931137041974;0.102048910304468;0.267049473498278;4.78560509554235
35;0;0.0746288339827653;0.296404402807834;0.0109519545426831;0.101809212555766;0.266509640310839;4.79019108280355
36;0;0.0742156735624053;0.29423569048737;0.0108922273334309;0.101358775892364;0.265577717342849;4.79350318471436
37;0;0.0739017798341421;0.293671926322864;0.0108710948904867;0.101051427451245;0.264808554862487;4.79452229299464
38;0;0.0737366011468999;0.293081537957381;0.0108733611545986;0.101051096925441;0.264857770001316;4.16394904458616
39;0;0.0737748923933218;0.293399512907858;0.0108809086194394;0.101035993584426;0.264984455741923;4.16165605095568
40;0;0.0744201838665085;0.295291453782529;0.0109621600265658;0.101363441931081;0.265750652064005;3.33872611464987
41;0;0.0742382029074701;0.290367081802254;0.0108559421955963;0.10077107626192;0.265309116251211;3.15477707006385
42;0;0.074007266597633;0.288773987526073;0.0108549679894967;0.10067163500411;0.265040266279545;3.14433121019134
43;0;0.0741086505268939;0.289204365878692;0.0108943713920007;0.100835361998289;0.265408542444486;3.14292993630593
44;0;0.073926888181433;0.288773209807335;0.0108861357863306;0.100749136089249;0.265273531769865;3.13796178343947
45;0;0.0740966687632125;0.288991358170974;0.0108869792179889;0.100747394666692;0.265275724975032;3.13898089171965
46;0;0.0742223198609267;0.289328546944499;0.0109049194912619;0.100864782667099;0.265838690637825;2.98057324840767
47;0;0.074152033879185;0.289119781958363;0.0108866639015551;0.100747994333401;0.26550703502586;2.75611464968171
48;0;0.0742623067112268;0.290177306522907;0.0108664700195536;0.100666770432525;0.265354639404495;2.52375796178392
49;0;0.0740947061404082;0.288211801609753;0.0108298709201926;0.100442104233781;0.265376583716757;2.5192356687903
50;0;0.0745082732329209;0.292393282484553;0.0109688848239043;0.100845388289604;0.266467835556482;2.39968152866302
51;0;0.0744354817926696;0.292314330984821;0.010969550058989;0.100846264363634;0.266551198183373;2.40127388535087
52;0;0.0743469580774945;0.291996403754705;0.010937228558004;0.100691416149666;0.26620415765267;2.4013375796184
53;0;0.0746994685077583;0.29266832832439;0.010973961659489;0.100861708799099;0.266755083007056;2.15713375796196
54;0;0.074601765076008;0.292378003492483;0.0109208723466851;0.100624100896541;0.267261768164361;2.14337579617854
55;0;0.0750210047833999;0.299057392336831;0.0110628257944171;0.101141936043722;0.269053795110005;2.09235668789837
56;0;0.0746144252035707;0.298020474392043;0.0109551930821537;0.100616962067865;0.268607473283541;2.09038216560539
57;0;0.0746896002667158;0.298308787553416;0.0109726939738441;0.100678694418258;0.26875000041333;1.99458598726125
58;0;0.0743664686236944;0.297651611485428;0.0108820132542519;0.0999803166690464;0.266693853061594;1.9893630573249
59;0;0.0745085967307624;0.297870188730141;0.0108934866313627;0.100043884949269;0.266776775224817;1.9215286624208
60;0;0.0746635070834174;0.298234037195311;0.0109668274718359;0.100411729526721;0.267736581499888;1.85630573248437
61;0;0.0749428319134913;0.298765217131779;0.0110261483728973;0.100708255712094;0.268369312798119;1.79974522292983
62;0;0.0750834758399298;0.29941247330995;0.0110421567456509;0.100805833655164;0.268637826010819;1.67585987261138
63;0;0.0750458517235807;0.299176553726985;0.0110270308625565;0.100675478845014;0.268260450346207;1.66847133757946
64;0;0.0749578985464031;0.298714701156142;0.0109915234326592;0.100523923797905;0.268001975407831;1.63585987261129
65;0;0.0746072316913002;0.294403456324966;0.0108834322632206;0.100060887357428;0.266045517974721;1.62999999999988
66;0;0.0740313075663192;0.29235049661314;0.0107765589214468;0.099310295909268;0.264037020994333;1.63076433121004
67;0;0.0740810846392151;0.29261234512246;0.010782067913437;0.099225147742449;0.263645647762699;1.63560509554127
68;0;0.0740976102020175;0.293044324390055;0.0107831422299126;0.0991965275836838;0.263509146939216;1.61649681528663
69;0;0.0739138815295318;0.29274794925112;0.0107708273574525;0.0991526045871346;0.263392763194253;1.61152866242049
70;0;0.073872320523724;0.29199567470326;0.0107216378844071;0.0988694019458762;0.262855158476298;1.56949044585989
71;0;0.0733694362636746;0.291088612689539;0.0105783301714507;0.0982001854137692;0.261446357344663;1.55764331210188
72;0;0.0733664582784262;0.291047916569685;0.0105771924689827;0.0980856943706662;0.261113351786621;1.54808917197445
73;0;0.0732692823814229;0.290680087958695;0.0105126327336217;0.0978280953260238;0.26055690652803;1.52426751592351
74;0;0.0733895517749465;0.290875581393421;0.0105422301597725;0.0979528165608936;0.261000715231718;1.52210191082799
75;0;0.0733574688169519;0.2906778791857;0.0105244481068418;0.0978204503261371;0.260654536270395;1.50611464968111
76;0;0.0729995569245579;0.290058806707077;0.0104749439187395;0.097495136820548;0.259936361980113;1.50541401273847
77;0;0.0728825205179049;0.289667268409437;0.0104743819684434;0.0973920604989439;0.259813517367456;1.49165605095506
78;0;0.0729670437450425;0.290090683544801;0.0104388135865061;0.0971332968587333;0.25924081152401;1.45509554140116
