"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0716208199890476;0.295182507649896;0.010743659919697;0.103644672846107;0.264153687194949;92.2315923566872
3;0;0.070068872799134;0.292978555028874;0.0100668104865398;0.0993425199798684;0.257953079767697;67.000382165606
4;0;0.0708993513697293;0.295656344487298;0.0102761834456481;0.10032866079225;0.260467655569711;48.7334394904468
5;0;0.0708662284963502;0.295576490680765;0.0102751308639816;0.100221585375259;0.259843491213195;48.0581528662426
6;0;0.0700925855076261;0.292549406579372;0.0101587757286825;0.0995469500073494;0.258221907909251;41.4753503184711
7;0;0.0696215256839894;0.291413765312029;0.0100972135348514;0.0991078591869916;0.257196031253848;41.3863694267515
8;0;0.0699107830562453;0.292097890072075;0.0101643279838342;0.0993521695443675;0.257578271562043;39.6133757961777
9;0;0.0698830363318695;0.291908734280874;0.0101625634329331;0.099311734936033;0.257467644351346;39.6216560509549
10;0;0.0700879842361674;0.292445492129956;0.0102028400663878;0.0993985744949235;0.257603029980447;39.3825477707002
11;0;0.0701775066363457;0.292764886471704;0.0102225818873915;0.099427132257891;0.257606791504005;39.3635668789805
12;0;0.0701519133089202;0.293000866838815;0.0102215496990725;0.099333429357158;0.258098204884345;37.8698089171975
13;0;0.0711294375202441;0.292764962998677;0.010281556655437;0.0995300506910839;0.259351898037018;15.2392993630573
14;0;0.0711801011158631;0.292951677668458;0.0102518604052689;0.0993142123558708;0.258788943584446;12.9153503184704
15;0;0.070190646904358;0.290786411274594;0.00992293168087719;0.0977836682956697;0.256204213220128;12.7989808917186
16;0;0.0700132822167156;0.290296664091639;0.00986546075173635;0.0975321362925317;0.255752160422536;12.6650955413999
17;0;0.0698905636907313;0.287710209233709;0.00979631413487193;0.0971171026921977;0.254939733373649;9.09949044586034
18;0;0.0699171589194818;0.287881246028558;0.00978050791932992;0.0969515464156766;0.254734669830131;9.0882802547776
19;0;0.06998235516284;0.287918182782657;0.00976495143201515;0.0966940501942079;0.253904937956618;9.07573248407686
20;0;0.0699898842445957;0.287856380307741;0.00975679851865842;0.0965898493747815;0.253570001675248;9.07063694267564
21;0;0.0707585050474154;0.29056854321784;0.00991427182738312;0.0972474151082204;0.25502241675985;6.04426751592295
22;0;0.0707776625428138;0.290189515305511;0.00991448388235016;0.0972493200946491;0.255026106361285;6.00707006369376
23;0;0.070652817352461;0.289238068019286;0.0098447246195067;0.0966516715460919;0.253590484771153;5.9694904458594
24;0;0.0703542102030804;0.287878844572667;0.00981320567692797;0.0965103445557225;0.253652352567361;5.41789808917156
25;0;0.0703338600352721;0.287913465121793;0.00983941892877662;0.096545296641201;0.25348008552939;5.30171974522267
26;0;0.0695272188975188;0.286920689977809;0.00961369558840209;0.0953999594865317;0.250655053104807;4.42375796178348
27;0;0.0695053109793242;0.287199220371828;0.00962621361254263;0.0953444664491713;0.250463086707615;4.39853503184722
28;0;0.0694728354105006;0.287151655057813;0.00962013679861575;0.0952991848558922;0.250372476680825;4.39560509554154
29;0;0.0695091046684696;0.287418354329405;0.00963117092762438;0.0953662276162042;0.251475482442803;3.63076433121088
