"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0693501941239456;0.280964280175849;0.0103487273687346;0.101673183544031;0.264996727540864;161.830891719746
3;0;0.0697319617141608;0.285900577873342;0.0104028988908517;0.101816890023633;0.265394101637446;159.781592356688
4;0;0.0703530604182821;0.287548384335266;0.0104253504095888;0.101896146762662;0.265598134922163;56.1049681528648
5;0;0.0709732201634942;0.290338718912993;0.0104817632953202;0.102160451795604;0.267155212529005;42.5381528662424
6;0;0.0719068022657901;0.296963439553969;0.0106776481044487;0.102829754641842;0.269257647403145;38.8831847133771
7;0;0.0718890190388394;0.29666637304098;0.0105702103403963;0.102211765747131;0.267617310408813;35.4123566878998
8;0;0.0722913393277754;0.294289386372999;0.0105714000079986;0.101959366914219;0.268530136004488;22.7505732484075
9;0;0.0732758652534276;0.297918432370224;0.010719142033953;0.102570906882194;0.27003902868861;10.1414012738857
10;0;0.0725840853771301;0.291549969953693;0.0105228925026859;0.101492419880146;0.268829969094856;9.82114649681565
11;0;0.0723391896051092;0.292616907435713;0.0104810823948008;0.101247968191814;0.268047329565075;9.81401273885399
12;0;0.0724426012927018;0.294219682044822;0.0105409936818457;0.101475474685625;0.268202926865719;9.69382165605166
13;0;0.0728692818141241;0.296519693761947;0.0105357649127473;0.101437600556354;0.26810595483275;7.61675159235619
14;0;0.0725925306828784;0.294436744761257;0.010379045671106;0.10078395085666;0.267748486800388;7.53350318471274
15;0;0.0721704732183739;0.292635546931177;0.010283101946712;0.100403449746767;0.267131248447563;7.47681528662384
16;0;0.0726312865337904;0.294237570138206;0.0104068189860859;0.100875796542881;0.268469842862907;6.77802547770503
17;0;0.0719257890815183;0.291136301433674;0.0102095286636807;0.0999722650144309;0.266871667290982;6.77363057324651
18;0;0.0717374131214252;0.288047628430166;0.0100873406831745;0.0992918507822515;0.266027871241588;6.25777070063409
19;0;0.0717352738838518;0.288803394517705;0.0101070086310503;0.0993483927588322;0.266547350146914;6.27146496814993
20;0;0.0719155337721966;0.288542446406225;0.0101372540450623;0.0995107464950615;0.265960854582575;6.2540764331181
21;0;0.0714907875537433;0.287649348464686;0.0100453340525794;0.0989968998269094;0.264810563416162;6.22178343948735
22;0;0.0713241688675665;0.287020538652549;0.0100292776124033;0.0989001358298321;0.264837422671272;6.04484076432756
23;0;0.0717081100293345;0.287300356359733;0.010105179602586;0.099157833435207;0.265283285518517;4.13656050955286
24;0;0.0714535273462593;0.286341051379086;0.0100963458524399;0.0988978936614647;0.263817719172512;4.13254777069933
25;0;0.0710801893621437;0.28528460730902;0.0100547455837415;0.0985916804767612;0.263162577989639;4.1119745222918
26;0;0.071363313669151;0.286304775900125;0.0100921504023817;0.0987993820660071;0.263659991289833;3.1982165605105
27;0;0.071404921315121;0.286693695754377;0.0100903884484354;0.0987090571187987;0.263263364667656;3.19802547770805
28;0;0.0711615000110517;0.287922157147546;0.0100925195001185;0.0987064723623347;0.263280151098333;3.10337579617929
29;0;0.0711899021886624;0.288653707185049;0.0101315704015267;0.0988304017110577;0.263756026072135;3.03649681528896
30;0;0.0713038378941236;0.289062626284585;0.0102046731612766;0.099091566358342;0.264373251204793;3.03369426751825
31;0;0.0714034751197921;0.289028071250744;0.01019567670981;0.0989756161129514;0.263998266767762;3.03401273885594
32;0;0.0714741756723687;0.288899907442064;0.0102212837048361;0.0990518220876005;0.264547846038437;3.02668789809147
33;0;0.0715504752024403;0.289093315378897;0.0102381454760547;0.0991183079139353;0.264681862570942;3.02566878981124
