"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0647489035704098;0.267321666804207;0.0087025932490044;0.0925462196643989;0.247930580523831;115.30229299363
3;0;0.0641274643353034;0.261922545758455;0.00860947755043298;0.0917076653829893;0.245863743132339;109.965350318472
4;0;0.0636074589961552;0.262878792172739;0.00848497023513443;0.0895484737553429;0.240079590381849;43.8128662420374
5;0;0.0632323180897862;0.260638040722729;0.00843735276084751;0.0890652862474264;0.239053385594158;33.4182165605087
6;0;0.0630637824307029;0.260245809862273;0.00838922560787605;0.088841335649184;0.238734549523294;31.0796815286601
7;0;0.0627048254889179;0.261260269193829;0.00835996270132588;0.0885919467858871;0.238412240697195;28.0889808917163
8;0;0.0618412805972211;0.25950098566911;0.00817291010102568;0.0878204302718557;0.237535969242199;25.9173885350292
9;0;0.0618412285022886;0.258523131374064;0.00815442762672665;0.0875738022645568;0.236716072822612;9.36420382165467
10;0;0.0619064948963678;0.258134057093954;0.00816429705481385;0.0875757332790505;0.236787621694128;9.01038216560383
11;0;0.0621072344932266;0.25899871430398;0.00819914304427751;0.0877454754306903;0.237155499564553;8.91057324840695
12;0;0.0622502320310426;0.258953332996395;0.00818236452770083;0.0876286770599685;0.236875411149636;7.35401273885282
13;0;0.0622517198912783;0.258844486043115;0.008185901560258;0.087647049562098;0.236911220015148;7.24426751592319
14;0;0.0622389726170832;0.258345995547893;0.00812933316444305;0.0872853330443529;0.236537941320407;6.93993630573235
15;0;0.0624518233312543;0.260232548079552;0.00818554369816721;0.0875902853455174;0.23784234499685;6.75649681528647
16;0;0.0624053666463326;0.260420189429135;0.00817848926749297;0.087513385229575;0.237462477619109;6.73382165605095
17;0;0.0617113428815978;0.256446738565533;0.00806664717091471;0.0868655599801805;0.23630811543088;6.27777070063718
18;0;0.0616982624277236;0.256170218721062;0.008061783642687;0.0868091998224301;0.235920273887922;6.270700636943
19;0;0.0612054035261225;0.253861518292744;0.00792125460958118;0.0859705942188572;0.234011323935298;3.68929936305794
20;0;0.0610862422408598;0.253628548879787;0.00787928180463276;0.0858049707079169;0.233639369355784;3.67528662420445
21;0;0.0611687791348166;0.253356919445571;0.00787573138851941;0.0857066645485482;0.233645323868182;3.65152866242131
22;0;0.061166660716207;0.253352225534651;0.00786910066081127;0.0856408790916943;0.23347982056061;3.59955414012816
23;0;0.061267401883376;0.253285085225531;0.00787539569147557;0.0856061466337136;0.233372374929966;2.89719745222995
24;0;0.061280974680399;0.253097226421505;0.00789515058427827;0.0856067317094732;0.23337886340613;2.85382165605148
25;0;0.0613775631979197;0.253367450923222;0.0079050383887197;0.0855091529309912;0.233344530312817;2.72337579617848
26;0;0.0611809115084851;0.252867694387992;0.00788873852591057;0.0850257955369808;0.231073358456063;2.70566878980897
27;0;0.0611597280580161;0.252767360069053;0.00788745293106879;0.0850190260050924;0.231052909763534;2.70541401273885
28;0;0.0613424012610496;0.254535460333736;0.00794120263189981;0.084812493637291;0.229983307793816;2.66987261146454
29;0;0.061575917160715;0.255440776982092;0.00798725278754577;0.0849759113550333;0.23039784142062;2.55815286624184
30;0;0.0616068449814648;0.255915377460656;0.00799204036496926;0.085004874041327;0.230586705807629;2.52796178343889
31;0;0.0615807778017606;0.254921043829075;0.00799851593024541;0.0850435639492163;0.230754976863676;2.52719745222858
32;0;0.061687179138506;0.257036292571781;0.00803043231142272;0.0849691158543611;0.229732562093797;2.32343949044528
33;0;0.061524812340292;0.256847930672171;0.00797083774535471;0.0846743207829521;0.229031219990738;2.32522292993574
34;0;0.0617448470933441;0.257456767888175;0.00801375640039693;0.0848412031572597;0.229401643868737;2.20738853503108
35;0;0.0617240046865184;0.256964367890912;0.00799478657876899;0.0846831589484158;0.229169564489484;1.98356687898033
36;0;0.0615340509860763;0.259233666128077;0.00798899400104212;0.0846328175122858;0.229034205087176;1.81955414012702
37;0;0.0614997238331955;0.257118764348686;0.00797878078391931;0.0845712737522202;0.229288627844;1.80764331210151
38;0;0.0616586736083873;0.257557605738891;0.00802172616833667;0.0847979633412943;0.229796075530794;1.80726114649637
39;0;0.0616507884636895;0.257569487149813;0.00801907538206863;0.0847594439658417;0.229634824923531;1.79159235668741
40;0;0.0616209710885789;0.257024947628671;0.00799719240453139;0.0846318802695495;0.229484335745013;1.78834394904392
41;0;0.0616085072775766;0.257264129785428;0.00799526355520699;0.084553067356824;0.228704204493159;1.77987261146434
42;0;0.0618143761782778;0.257474616301834;0.00804470510162122;0.0847767254527712;0.229203101516911;1.74751592356622
43;0;0.0618769542618072;0.257844473945145;0.00801231574633857;0.0844270387250216;0.2280065737578;1.73171974522226
44;0;0.0620698038684913;0.25814058141256;0.00804265664172024;0.0845307931339679;0.228201366729823;1.71566878980827
45;0;0.0620548936297595;0.257720244761108;0.00804284839362382;0.0844406293012601;0.228154181330566;1.70802547770637
46;0;0.0619737473790283;0.257549336989092;0.0080329787329412;0.0843457328262686;0.227984208291438;1.6107643312096
47;0;0.0620470277323035;0.257870991108484;0.008055963708069;0.0843911521240333;0.228250685363977;1.60369426751526
48;0;0.0619763000200804;0.257914185733425;0.00806546183310634;0.0841634136409617;0.227803826220499;1.56267515923509
49;0;0.06193055541914;0.257196333015454;0.00805603963442595;0.0841046288653866;0.227518129140143;1.56216560509516
50;0;0.0619168857142616;0.257094278605972;0.00806824634485316;0.0840621438861009;0.227453275891602;1.51337579617791
51;0;0.0616297372573355;0.256474548892547;0.00801458587495199;0.0837136768522829;0.226685571899879;1.50853503184668
52;0;0.0615866605917518;0.256403353438709;0.00801039129463971;0.0835922868116663;0.226381695808494;1.507834394904
53;0;0.061618711879456;0.256357361905062;0.00801689844131207;0.0836101271100606;0.226421041510293;1.50324840764288
54;0;0.0616347931615769;0.256485049029336;0.00801768587844068;0.0836114544363696;0.226484425894879;1.50229299363016
55;0;0.061866527972712;0.257227002640029;0.00805353424078443;0.0838362698244214;0.227141192184374;1.49700636942633
56;0;0.0619374121528106;0.257064251005376;0.00809012106081914;0.084015632718336;0.227559366520721;1.48923566878938
57;0;0.0619673775749939;0.257166919498417;0.00810570909170681;0.0840755303713337;0.227673038522387;1.48452229299321
58;0;0.0619251263663233;0.257101028189598;0.00810270775660447;0.0840163732720811;0.227575464910976;1.48382165605053
59;0;0.0619936398137152;0.25727304719255;0.00811177857778714;0.0840730501145746;0.227822547025299;1.48280254777032
60;0;0.0621691898679733;0.257666667866084;0.00816537785024292;0.0842474979424969;0.228157975728015;1.47503184713338
61;0;0.0622589865752133;0.257079758244586;0.00816611490923527;0.0842486837839496;0.228156484070758;1.46439490445823
62;0;0.0621962160492737;0.256998494220567;0.00816086224789783;0.0841888469666593;0.228114751931653;1.44012738853455
63;0;0.0622143576716417;0.257107498268477;0.00815953224849182;0.0841658775881312;0.228076037489146;1.42974522292947
64;0;0.0622419851885006;0.257384224643623;0.00816388608512998;0.0841425081902772;0.227963180922828;1.4291082802543
65;0;0.0622329784979435;0.257272332695256;0.00814472639289862;0.084010377795782;0.227653703760566;1.43394904458551
66;0;0.062330714429194;0.257300424414085;0.00815230921037323;0.08403199325816;0.227683017555061;1.39267515923521
67;0;0.0623464508661132;0.257226863067621;0.00816356745976381;0.0840257267007695;0.227662569833675;1.39229299363012
68;0;0.0623398570645792;0.257730965770811;0.00816765123981687;0.0840168066560621;0.227631719397596;1.38343949044538
69;0;0.0622583578475332;0.257510353829365;0.00815805426277219;0.0839387179867786;0.227410125100095;1.38522292993585
70;0;0.0621147015394637;0.256734851947702;0.0081339790689037;0.0838066741153945;0.226911278316548;1.3677707006365
71;0;0.0620221678364884;0.256477652217281;0.0081295497834653;0.0837117212700909;0.226562378605914;1.32178343949007
72;0;0.0620271452903625;0.25658209823155;0.00815153747746422;0.083787794211608;0.226721281021352;1.30146496815248
73;0;0.0621913317587094;0.256932342857246;0.00818976710250354;0.0838869809564917;0.226907247740712;1.30057324840727
74;0;0.062165192610773;0.25695823988187;0.00818643030630865;0.0838280088083276;0.226754078827008;1.29993630573211
75;0;0.0620805032601141;0.256910713082235;0.00819895840084516;0.0838689881360287;0.226813115555487;1.28254777070024
76;0;0.0622168224214211;0.257302780590996;0.00822957089419876;0.0840527562334678;0.227248600782215;1.27133757961747
77;0;0.062238969462083;0.25728852525434;0.00824180798835975;0.0840682993590662;0.227284658074218;1.27076433120982
78;0;0.0622030417132575;0.256888510360748;0.00824151960517303;0.0840445119840454;0.226978178622012;1.26993630573213
