"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0649949728014727;0.267365400458974;0.00880727999191248;0.093197457401109;0.249104807006753;114.529745222929
3;0;0.064358483684356;0.263167458945866;0.00871289823233257;0.0923813679722057;0.24783581145973;104.800573248407
4;0;0.0631351504316583;0.261346228264954;0.00827741160585009;0.090019867884159;0.243922615988791;68.0576433121017
5;0;0.0625963594709099;0.259932265908886;0.00835570173910913;0.0894122309003781;0.241392996928706;27.9450955414005
6;0;0.0619091632005723;0.256030558957827;0.00824579016584003;0.0885820913831706;0.238848787846542;19.6194904458592
7;0;0.0618512779418614;0.255782060892651;0.00823065901610272;0.0879350986666621;0.237641547127319;19.0426751592351
8;0;0.0615694357798994;0.252925293836351;0.00819339089746795;0.0874925323448519;0.234679680413055;18.968343949044
9;0;0.0615305503392826;0.254618735328848;0.00821118878547381;0.0873810681434033;0.234299691114614;18.9400636942669
10;0;0.0612377220292866;0.253674631259704;0.00814999389098291;0.0868647872430674;0.232466484583891;18.3842038216554
11;0;0.0608064501262703;0.252587035786218;0.00796676348919074;0.0863841659432218;0.23149852211736;18.3841401273879
12;0;0.0604686050122782;0.253956426427675;0.0079411718417126;0.0858283912200817;0.228930492098825;17.0718471337571
13;0;0.0604214903908556;0.252710397431655;0.00790479174815289;0.08563944876944;0.228364037277382;17.063184713375
14;0;0.060337680706301;0.252400510575567;0.00788980985346689;0.0855691926648042;0.228419682573021;14.8118471337572
15;0;0.0605317425716003;0.252943942792238;0.00795350642750372;0.0853484197847875;0.227731412152156;14.5571974522285
16;0;0.0602926067374443;0.252692048662788;0.0079141467163414;0.0851347686838089;0.227571329678892;14.2915923566872
17;0;0.0600332581937381;0.250618396304986;0.00783121390790404;0.0842685191403613;0.225389080471241;11.7148407643308
18;0;0.0600443599766017;0.246224775673613;0.0077927297154776;0.0840321635518549;0.224620052974643;11.4799999999996
19;0;0.0602184014634898;0.246718062671272;0.00783232295241301;0.0842024288298009;0.225083814041854;11.4782165605092
20;0;0.0601449289085882;0.24652075111177;0.00780773765970282;0.0840542604690834;0.224810842502895;11.4740127388531
21;0;0.0598205336368123;0.245504659351526;0.00766027575469667;0.0835709226362906;0.223874818665063;11.4778980891716
