"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0717131381094111;0.29401852833778;0.010651195758605;0.103150881620278;0.266442474808988;151.163566878981
3;0;0.0717857188516555;0.295110829000343;0.0106292566154014;0.102778346542654;0.265315866178533;126.935541401274
4;0;0.0725866330409982;0.298381234596719;0.0107549089975483;0.10334795673501;0.266755761732621;41.5654777070062
5;0;0.0726993198335698;0.291949131426065;0.0107245311681945;0.103176444712316;0.269229234183379;28.9224203821653
6;0;0.07114446447837;0.285898002711474;0.0102101416394567;0.100419592588175;0.264743573441731;18.471719745222
7;0;0.0716522793475971;0.286452289683133;0.0103043339971507;0.100867489333496;0.267015570315729;11.324458598725
8;0;0.0712322662718952;0.286659858258414;0.0102129961960444;0.100501854283713;0.266713432944898;11.238407643311
9;0;0.0711627823604223;0.283526581002983;0.0101274553905003;0.0998654884764387;0.267029554575653;10.7838216560505
10;0;0.0712688113709066;0.283968098919281;0.0101602234615931;0.100029232142592;0.267659346089795;10.2375796178341
11;0;0.0715650400673419;0.285350942708742;0.0102733041019004;0.100546792019638;0.270125133544113;10.0712101910824
12;0;0.0718398363886585;0.290185790355956;0.0102825617941154;0.100590298429482;0.271392999055158;9.562738853503
13;0;0.0715036694652388;0.291228841863656;0.0102054120021429;0.100236484886006;0.27032999595739;9.55528662420355
14;0;0.0718213419311977;0.292271659957101;0.0102823048801626;0.100596321237638;0.271103288719378;8.30662420382198
15;0;0.0723346138584552;0.293176600091395;0.0103603981768782;0.100897323757205;0.271746496519691;8.27662420382212
16;0;0.0722872570279226;0.291850070763722;0.0104190004030612;0.101108918256647;0.273254879498849;8.14515923566945
17;0;0.0723807490784788;0.293109101976782;0.0104738144533183;0.101319670080175;0.273888757984794;8.15261146496933
18;0;0.0725610089668236;0.292848153865302;0.0105040598673304;0.101482023816404;0.273302262420456;8.16152866242159
19;0;0.0723064262837484;0.291888848884655;0.0104952261171842;0.101222084042662;0.271836696074451;8.15394904458723
20;0;0.0724505015121006;0.291655622638876;0.010356440946208;0.100342144736834;0.269394188251748;7.16955414012831
21;0;0.0728289257557049;0.292971188215904;0.0104199246859636;0.100383213071217;0.26929462325396;4.76611464968269
22;0;0.07264156043006;0.292407541546206;0.0104158723923901;0.100349989979754;0.269241003295852;4.75547770700747
23;0;0.0726201855867943;0.291368813488178;0.0103847461080248;0.100105384187316;0.268817901663374;4.73152866242147
24;0;0.0727503081115011;0.292313754029018;0.0104118293025958;0.100101236805737;0.268800905012498;4.67777070063783
25;0;0.0728025678423299;0.292841522436636;0.0104129895151582;0.100056240446407;0.268690859816993;3.5012101910833
26;0;0.0729764243213502;0.29331180510149;0.0104554200324259;0.10032129409545;0.269505145735332;3.37375796178381
27;0;0.0720030287892691;0.288659843812328;0.0102623016816952;0.099232185074171;0.267409020330329;3.33108280254816
28;0;0.0720446364352391;0.28904876366658;0.0102605397277488;0.0991418601269626;0.267012393708152;3.33038216560548
29;0;0.0719896036052438;0.290376212912011;0.0102692045513218;0.0991710768260606;0.26745953219824;3.31312101910879
30;0;0.0718192082444661;0.289369969798203;0.0102626818999036;0.0991393351854766;0.267989731214107;3.25694267515968
31;0;0.0718801246022244;0.289767719259781;0.0102792133568796;0.0989578202527775;0.267406628398798;2.88146496815335
32;0;0.0718035076885428;0.289611212101803;0.010265073921857;0.0988540295063455;0.267128503708333;2.88280254777118
33;0;0.0718843972379699;0.289893579274507;0.0102833192076004;0.0989418116763225;0.267337922110026;2.74522292993675
34;0;0.0714831074222161;0.287632659283271;0.0102367943516118;0.0986867306929159;0.266231634102549;2.73184713375837
35;0;0.0712585876746608;0.287115903873637;0.0101822491659085;0.0983376984552277;0.265601280658345;2.69203821656061
36;0;0.0708713960075833;0.285797082238841;0.0100699377318191;0.0977342829422134;0.264248948480484;2.30662420382202
37;0;0.0708867641962572;0.284993955688121;0.0100474809855657;0.097531077925921;0.263574946031306;2.28216560509593
38;0;0.070956749318675;0.285333085053443;0.0100505596477595;0.0974907815638271;0.263564747681783;2.27936305732522
39;0;0.0710337917351225;0.283610699153128;0.010009609627835;0.0973065474133119;0.263259080602075;2.27993630573281
40;0;0.0709707611675235;0.283360793867435;0.010000614234448;0.0972493477481117;0.263099964833106;2.29942675159276
41;0;0.070845628997888;0.283397252112246;0.00996983873146876;0.0970514447640714;0.262563427047354;2.14171974522346
42;0;0.070982787689278;0.283875038272313;0.0100018236322865;0.0972115163401393;0.263239139906466;2.14146496815339
43;0;0.0708754093809551;0.282036886017651;0.00999516666085952;0.0969975985739662;0.261648108122594;2.15019108280309
44;0;0.0708405252112593;0.281815261725973;0.00998636647890961;0.0969400628587698;0.261542615934901;2.1275796178352
45;0;0.0709443316281748;0.282211769159892;0.00997216649765032;0.0968621349446214;0.261382727291939;2.00171974522372
46;0;0.0709490052343451;0.285631500338507;0.0099776126753285;0.0968729412205938;0.261902153162853;2.00312101910903
47;0;0.0710062344804663;0.285799830236118;0.00998135015498865;0.0969001433439024;0.261970170184924;2.00898089172051
48;0;0.071263046509768;0.286524112432851;0.0100126262761073;0.0970272606485079;0.262354234975132;1.93343949044653
49;0;0.0711845419606741;0.286588288246809;0.00998463136782348;0.0968550218813263;0.262065641410471;1.93401273885417
50;0;0.0710972275020655;0.286272396169765;0.00994943050409952;0.0964651112191148;0.260452986965731;1.91694267515979
51;0;0.0711717004380473;0.286459419959554;0.00995691429562815;0.0965248940121095;0.260588274706336;1.91980891719803
52;0;0.0709962749252776;0.286665706866306;0.00994544905681061;0.0964661524719991;0.261475316097389;1.9217197452235
53;0;0.0708979657578752;0.285980427462156;0.00991373363293772;0.0962326715177438;0.260420436256951;1.92197452229362
54;0;0.0710902911548003;0.286306897950773;0.00996701999443307;0.0965108967701899;0.261392311120254;1.90159235668882
55;0;0.0711029475408036;0.286409110962937;0.00996571506595586;0.0964903780137783;0.261322561787151;1.90133757961871
56;0;0.0711162949165838;0.286586878150131;0.00997347062320164;0.0964871453453332;0.261241386733324;1.90490445859963
57;0;0.0710116952953947;0.28628094099122;0.00995898039832764;0.0963675931577195;0.261050998882327;1.88853503184804
58;0;0.0706384204848606;0.284773373642278;0.00988459490916339;0.0958691420229681;0.259860021386823;1.87783439490536
59;0;0.0703893293924489;0.284564992449479;0.00984298826884363;0.0956623959709746;0.259388676671266;1.87656050955504
60;0;0.0700448467256082;0.286019209539599;0.00975326664916607;0.0950991076950955;0.256818576808798;1.84573248407735
61;0;0.069849290530119;0.28480148058986;0.00970784632178534;0.0948932786370408;0.256218849266624;1.84802547770788
62;0;0.0698709426774807;0.28486847202528;0.00971592910829748;0.0949203705981468;0.256299436799296;1.8479617834404
63;0;0.0699456920199357;0.285153484804233;0.00971995836761371;0.0947885649286396;0.255946380609547;1.78738853503302
64;0;0.0697421048389671;0.284845336774881;0.00969030784616102;0.0944545121139609;0.25532025480987;1.78904458598845
65;0;0.0698437238834507;0.285109683665553;0.0097164073133706;0.0945378164915105;0.255331721610659;1.77643312102014
66;0;0.0698354190649774;0.285142131758385;0.00971766965757018;0.0945367261603067;0.255408383877619;1.74025477707123
67;0;0.0697364421738075;0.28477992331903;0.00970128266918796;0.0943699914216462;0.2547784309776;1.73280254777197
68;0;0.0696954643504138;0.284708069924505;0.00968815688428357;0.0943035963509529;0.254786864461809;1.71783439490576
69;0;0.0697374505569433;0.284929667974972;0.00970178125388194;0.0943107142899292;0.254772331307628;1.71968152866368
70;0;0.0694448017922981;0.283960255510981;0.00965036859493558;0.0940033089177985;0.253936248375351;1.70834394904581
71;0;0.069514763307689;0.283940830744922;0.00964163305401018;0.0939540601349666;0.253911217573717;1.69254777070193
72;0;0.0696180289703585;0.284075409582358;0.00966502710167618;0.0939834557856662;0.253948827161787;1.69019108280378
73;0;0.0686801300782275;0.282149703798378;0.00950691886255031;0.0932463324966915;0.252604702702049;1.54324840764436
74;0;0.0684936811379236;0.280219065681275;0.00943799438543131;0.0928492629121953;0.251003554016575;1.54331210191189
75;0;0.0686749609132688;0.280490525263075;0.00944963106126903;0.092913688213248;0.251185679439429;1.52535031847249
76;0;0.0686303595814764;0.280431124700233;0.00944229596823328;0.0928203074723432;0.250888400624529;1.52458598726238
77;0;0.0686736310679418;0.280215196551767;0.0094171108467059;0.0926684208592696;0.250583741276281;1.51108280254903
78;0;0.0683325461932292;0.2784469836789;0.00936059305188121;0.0923231291318056;0.24969166954803;1.50649681528783
