"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0714519143638802;0.294017502357619;0.0108159816015598;0.103941160119636;0.264954042383341;293.764840764331
3;0;0.0727949985955682;0.29751541668488;0.0109051337008102;0.104363260058633;0.266084784724759;153.458535031849
4;0;0.0745060587298703;0.303809286000847;0.0111039775202877;0.105261919666111;0.268264564769683;60.4970063694273
5;0;0.0743576743898328;0.303311097869652;0.0110228653293093;0.104862369012769;0.267925927789375;59.5746496815294
6;0;0.0749177032627205;0.306512352215688;0.0110899488636874;0.105206000104766;0.268833755622387;59.3705095541408
7;0;0.0758467497786191;0.308277290795239;0.01118090906319;0.105588155708676;0.269731117161639;26.9647770700632
8;0;0.0760736264796689;0.308794695472525;0.011233225029698;0.10579244509338;0.270208937545653;25.4330573248402
9;0;0.076269315056351;0.312434085160212;0.0112903309530576;0.106074786300969;0.271088487074928;25.4129299363052
10;0;0.0760139461480691;0.311479748934499;0.0111591061839058;0.105326157273671;0.269056432217783;24.2298726114642
11;0;0.0775249570978101;0.317140844569228;0.0114567643704988;0.106634235003272;0.27271415337824;9.83726114649658
12;0;0.0774865971827842;0.316576602411368;0.0114103924545155;0.106194091394648;0.27179713161067;9.45878980891669
13;0;0.0771211863353337;0.314728676584349;0.0114144867517843;0.105904368782239;0.271792497773359;8.39407643312022
14;0;0.0772909306896047;0.316789746786845;0.0114756354588105;0.106202311295316;0.272615300738643;7.17101910827958
15;0;0.0772122110606427;0.316115711678256;0.0114405605020582;0.105945724913279;0.272013516318654;6.88197452229248
16;0;0.0772057398446718;0.317322690334552;0.011456590727559;0.105956272785536;0.273309678623767;6.80471337579568
17;0;0.0775560591004884;0.31885944858848;0.0115680068996148;0.106466287960337;0.274807155833135;6.56732484076397
18;0;0.0769996541317802;0.316997960362362;0.0114445995639848;0.105909607227642;0.275491330191545;4.57509554140128
19;0;0.0770719536310051;0.318083566447342;0.0114314302046236;0.105743802882141;0.275069873647934;3.70649681528652
20;0;0.0771288859282823;0.316670376961888;0.0114278650364847;0.105720107488979;0.275016625791245;3.2098726114646
21;0;0.0770906380994059;0.318110468750491;0.0114052044232836;0.10560350617924;0.275414424615789;3.22261146496767
22;0;0.0768440948612692;0.316766548295708;0.0113959029816098;0.105553836395414;0.27580704407923;2.98401273885314
23;0;0.0772226988528949;0.318063907677313;0.0114626723353874;0.105742449093;0.276221853984342;2.95738853503158
24;0;0.077332865782935;0.318143210723937;0.0114855939768013;0.105785340823753;0.276304330998988;2.94885350318447
25;0;0.0775023242711873;0.319772344132384;0.0114979451345086;0.105843074984822;0.276950559884795;2.88445859872593
26;0;0.0776598944547998;0.31891453651178;0.0115296349462265;0.105977275377059;0.277411443560275;2.71898089171959
27;0;0.0776863359683196;0.319969349818477;0.0115664444176078;0.105992549540049;0.278153243472535;2.70191082802537
28;0;0.0781500036352764;0.321602067792812;0.0116985455527416;0.106564029176421;0.279899838134133;2.64662420382152
29;0;0.0783740199357463;0.322556017980068;0.0117702347450986;0.106749510859701;0.280364955182121;2.34191082802548
30;0;0.078581931568289;0.322142455624552;0.0118319753054278;0.106928434668293;0.280838270041205;2.28229299363057
31;0;0.0787175315793098;0.322565376226058;0.0118518119424644;0.107070368738429;0.281209698138042;2.28184713375789
32;0;0.0788048898748623;0.322510809142575;0.0119032937999556;0.106760244264974;0.280267195426682;1.88509554140118
33;0;0.0787296943032011;0.319926212290861;0.0118418839972753;0.106501439034111;0.279638488771979;1.87496815286617
34;0;0.0787703078055411;0.319997509542995;0.0118349245353349;0.106434834134295;0.279638406452791;1.85261146496825
35;0;0.07874131968091;0.319326768084779;0.0117924639870068;0.106210694890746;0.279018013250361;1.8105732484077
36;0;0.0787913775188578;0.323534541072344;0.0118052039305864;0.106041251371934;0.277984546733585;1.78095541401274
37;0;0.0787666028406685;0.322091063032681;0.0117998379297371;0.10600782897475;0.277891998406911;1.77063694267508
38;0;0.0786717056341339;0.322040170088527;0.0117347919971467;0.105610686347255;0.276728923036651;1.76407643312085
39;0;0.0788420891018229;0.322511387888283;0.0117569318164049;0.105773386299878;0.277113340374773;1.73999999999975
40;0;0.0788195006782599;0.32301597133309;0.0117605242037274;0.105785213220142;0.277189885553724;1.72980891719739
