"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CVRMSE";"elapsed"
2;0;0.0709380732837616;0.292751932041419;0.0107280837761088;0.103538960982376;0.263957848295157;186.049872611467
3;0;0.071703076822222;0.294649998213634;0.0108735043586648;0.104183711487485;0.266686566105971;131.374012738853
4;0;0.0742388281089781;0.299873206755299;0.0111460832415236;0.1054104273152;0.270986864891123;43.031783439491
5;0;0.0736696054224837;0.296500138010593;0.01100618239106;0.104731913646704;0.271615813970565;41.5015286624209
6;0;0.0744888245762082;0.299315424627971;0.0111340945830325;0.104671970391789;0.270706179513843;18.6582165605091
7;0;0.0743850503968667;0.298938677926066;0.0111916099500167;0.104889794191896;0.272173472187633;15.3947770700645
8;0;0.0739843457813831;0.297226607546579;0.0111231537707796;0.104514490432896;0.272445105583888;13.4387898089189
9;0;0.0739664989651826;0.297358870961003;0.0111055251381376;0.104327035055931;0.271248633549685;13.2150318471359
10;0;0.0738533893157193;0.29474825163051;0.0110599191689596;0.104011343946597;0.27183544338612;9.40528662420603
11;0;0.0734355367859184;0.292543222429956;0.0109431122727951;0.103346528381025;0.270565863755041;6.4295541401294
12;0;0.0734838487256601;0.292978071833201;0.0109581416215824;0.103365669624651;0.270996340800906;6.25095541401428
13;0;0.0730624839582328;0.292472796467914;0.0107417475088298;0.10249212499948;0.26887106214135;6.11891719745412
14;0;0.0734725327921046;0.294640575856049;0.0107297866853203;0.102424389693206;0.269232980399011;5.48770700637161
15;0;0.0733047634896246;0.29411333509676;0.0107097585007073;0.102244662491832;0.268494372412365;5.47923566879212
16;0;0.0735477231702631;0.296791981539998;0.0107490114747179;0.102384982456349;0.268977336786043;4.98929936305974
17;0;0.0734193392390111;0.295356658763618;0.0107927263216377;0.102452530824218;0.269681114506396;4.59573248407884
18;0;0.0732455924836467;0.29263495296621;0.0107625831798796;0.102118023514388;0.26721466771734;4.59407643312332
19;0;0.0727815845797683;0.290992189269922;0.0106572311580864;0.101687872893269;0.266961867896725;4.55904458598951
20;0;0.0733159338363716;0.294729230016975;0.0106963525898887;0.101397108928633;0.265984158517391;4.18535031847369
21;0;0.073217517340795;0.29564156196914;0.0107007604456575;0.101414800760664;0.266121156210238;4.01121019108509
22;0;0.0732827065189233;0.296148375452454;0.0106991669067126;0.101318279640004;0.265863027578105;3.9313375796197
23;0;0.0734401488215351;0.297079866364364;0.010685517039727;0.101167622131896;0.265677544714952;3.18624203821835
24;0;0.0732782343662055;0.296135045328698;0.0106492835166088;0.100959512164619;0.264988423532829;3.13885350318659
25;0;0.0733746822154869;0.29644594010418;0.0106905111436694;0.101141090057111;0.265482864472209;3.11076433121176
26;0;0.0734849769028426;0.297264812714207;0.0106830857270885;0.100912345290528;0.264663320396158;2.90796178344067
27;0;0.0737766371985028;0.297749545109195;0.0107143297176373;0.10107026188415;0.26514094420762;2.76439490446
28;0;0.073996849238542;0.300585596363701;0.010812376321652;0.101485441156204;0.266998799100448;2.7154140127402
29;0;0.0734788499904438;0.299342124853984;0.0106122196285436;0.100754047787491;0.266562727746481;2.71579617834509
30;0;0.0736553692346039;0.303048271755051;0.0106720162719362;0.100966225987941;0.267085009752749;2.67961783439605
31;0;0.0733033571082058;0.301350476455166;0.010607036868048;0.100563056696555;0.265923174479012;2.67210191082916
32;0;0.0729652234933452;0.299768577983113;0.0105156745816838;0.100183987972551;0.265670606599059;2.64968152866367
33;0;0.0730127283808404;0.299839566900039;0.0105566926040762;0.100376656139575;0.266204406186864;2.58961783439615
34;0;0.0730957900736001;0.303402288665752;0.0105594027564091;0.100337320445584;0.266089476769581;2.38184713375896
35;0;0.0735636099525725;0.303894040916116;0.0106340229188683;0.10062528002087;0.266837696616833;2.24566878980963
36;0;0.0736634293134938;0.305379051795748;0.0106827458921343;0.100585566628138;0.266495007217133;2.24305732484151
37;0;0.0736880176258511;0.305524125626428;0.0106888583607167;0.100555619798047;0.266352378368199;2.24121019108335
38;0;0.0733158064989219;0.305246734134843;0.0106311616264031;0.10007276254511;0.265248668489997;2.15216560509609
39;0;0.0731885036941195;0.304810896437337;0.0106146440547267;0.0998507443733899;0.264275602152732;2.15050955414064
40;0;0.0733010246765597;0.305514968730081;0.0106997402165647;0.100225354071287;0.26536328260328;2.1412101910833
41;0;0.0731696689883401;0.304751179443568;0.0106838755478709;0.0999254190107421;0.264608158054297;1.80585987261149
42;0;0.0731332308797938;0.304677652372128;0.0106618060048482;0.0997749896431444;0.264150286832615;1.75273885350303
43;0;0.073224752744998;0.304599483772509;0.0106751987426869;0.099862862575331;0.264392881552815;1.73057324840756
44;0;0.0730244184865021;0.303776135304692;0.0106457675294845;0.0995284239053525;0.263414285834132;1.73146496815273
45;0;0.0731010114878606;0.304421514144593;0.0106130233371397;0.0992790882863514;0.262953577910052;1.61554140127349
46;0;0.072949439105529;0.303751145281427;0.0106288527575354;0.099248881459714;0.263052087663008;1.60808917197411
47;0;0.0729989223898245;0.301792741519103;0.0106103944642595;0.099158585679777;0.262841433713387;1.60694267515885
48;0;0.0730174536390527;0.301835331308023;0.0106063755469816;0.0991372684307897;0.262789444630819;1.51101910827965
49;0;0.0731079747182756;0.301447299725925;0.0105992027541129;0.0990296207900134;0.262535057264818;1.50732484076381
50;0;0.0729651938007794;0.301018299463077;0.0105548828189844;0.0986542556513449;0.261257921707157;1.49840764331157
51;0;0.0729102935894426;0.300486881049369;0.0105436738478693;0.0985453985925534;0.261052145028604;1.49770700636887
52;0;0.0729524901227037;0.300951006701513;0.0105381567885306;0.0984584224744541;0.260718246784556;1.48184713375744
53;0;0.0729789827368871;0.30089955786363;0.0105371846948699;0.0984541010431821;0.260869503017664;1.4766878980888
54;0;0.0734625914052633;0.303581146340559;0.01059433843794;0.098528345482912;0.261749669173501;1.44388535031814
55;0;0.0737696108238862;0.304168501682764;0.0106337705206288;0.0986710696095801;0.26207358386168;1.44515923566839
56;0;0.07373161334732;0.302546596407433;0.0106145464038699;0.0985771946079875;0.262467167988421;1.44484076433086
57;0;0.0730224665809732;0.300152411121886;0.0104363583723591;0.0975836901586681;0.260125985459374;1.434140127388
58;0;0.0729473808964707;0.299894327210357;0.0104301554945322;0.0975442988387756;0.26010543925933;1.42292993630519
59;0;0.0728724802185886;0.29983922776933;0.0104126448296378;0.0973888368762307;0.25955442686294;1.41611464968096
60;0;0.0727661078151329;0.299576702346201;0.0103869278782463;0.0971823922949771;0.259040128014393;1.39452229299304
61;0;0.0729741882006616;0.300108875090594;0.0104372292020011;0.0973405845219156;0.259280678754359;1.38407643312041
62;0;0.0728833032423858;0.300405491271323;0.0104171648907099;0.0971289218864872;0.258381374908974;1.3750955414006
63;0;0.072983624940202;0.300607240613092;0.010432094944432;0.0972205893605932;0.258634619399495;1.37745222929866
64;0;0.0730826279349803;0.301255990021206;0.0104451089837949;0.0972634702784779;0.25876428266906;1.37694267515852
65;0;0.0731700352326754;0.301482955863031;0.0104734712663912;0.0973951371808483;0.25903828271322;1.37484076433046
66;0;0.0734529824758061;0.302124227320003;0.0105827332535599;0.0977457755775249;0.259658175567054;1.34942675159169
67;0;0.0732864670051875;0.301246631516408;0.0105554046035023;0.0974409285251586;0.258316264588486;1.34878980891652
68;0;0.0725773200077531;0.299122422226996;0.0103927483786409;0.0963214363487171;0.253933913076171;1.33503184713324
69;0;0.0724466801011816;0.298861558764621;0.0103598639875687;0.0961038228368855;0.253502583082414;1.33127388534987
70;0;0.0724974368637261;0.298868936136077;0.0103649053853744;0.0961496594489201;0.254052135761755;1.33019108280213
71;0;0.0720579487119109;0.296104825860629;0.0102868542888249;0.0956566241210651;0.253116960788026;1.32942675159195
72;0;0.0718939101796504;0.295824356338291;0.0102902484570485;0.0956307933839723;0.253219633064092;1.31656050955371
73;0;0.0717097506072891;0.295044903994408;0.010221665472985;0.0951306976989365;0.251126352831346;1.31585987261103
74;0;0.0716718006370385;0.294795346527407;0.0102213128554263;0.0951077243496982;0.25115217768225;1.30821656050913
75;0;0.0716480625785111;0.294585208343842;0.0101993365370076;0.0949598167139664;0.25078003349283;1.2980254777066
76;0;0.0719266971130343;0.295179483650328;0.0102611682239676;0.0952596831652912;0.25178745621819;1.28050955413986
77;0;0.0717499684135409;0.294566042869453;0.0102054971381894;0.094919371028028;0.250768396920517;1.28044585987233
78;0;0.0717984858019492;0.294725690605542;0.0102133418349215;0.0948300358022449;0.250553914699877;1.27980891719718
