"Contrato";"Fecha_Min";"Fecha_Max";"Tiempo_Min";"Tiempo_Mean";"Tiempo_Max";"Consumo_Min";"Consumo_Max"
"6351960";2017-09-29;2021-07-26;2342;4149;694799;0;25160
"6353617";2017-09-29;2021-07-26;2989;5789;694817;-29649830;2033270
"6354706";2017-09-29;2021-07-26;2343;4975;132357;-4889501;1892310
"6355390";2017-09-29;2021-07-26;3431;15137;709186;0;5930
"6355405";2017-09-29;2021-07-26;3592;6026;46800;0;46110
"6357841";2017-09-29;2021-07-26;3016;12270;709187;0;14014
"6358872";2017-09-29;2021-07-23;3596;24132;7869452;-7336390;341820
"6358890";2018-12-03;2021-07-26;NA;NA;NA;0;0
"6361595";2017-09-29;2021-07-26;3126;6355;694809;0;36490
"6364682";2017-09-29;2021-07-26;2520;4244;694783;0;30130
"6369773";2017-09-29;2021-07-26;2708;4059;694775;-20257390;4640
"6369836";2017-09-29;2021-07-26;3597;35183;694786;-1100302;10420
"6373373";2017-09-29;2021-07-26;NA;NA;NA;0;3213
"6373376";2017-09-29;2021-07-26;3580;41808;1238350;0;6600
"6373402";2017-09-29;2021-07-26;3582;21692;7534870;0;410690
"6373577";2017-09-29;2021-07-25;3582;4926;709208;0;269870
"6373793";2017-09-29;2021-07-26;3592;6209;723584;0;89700
"6377862";2017-09-29;2021-07-25;3600;27601;248396;0;7471
"6377878";2017-09-29;2019-04-29;3599;6631;32398;0;8578
"6378402";2017-09-29;2021-07-26;2348;4431;694801;0;37830
"6384426";2017-09-29;2021-07-26;2797;3985;694807;-12415904;23009
"6386652";2017-09-29;2021-07-26;2981;4098;694783;-1102;42306
"6391847";2017-09-29;2021-07-26;3300;3841;18032;0;8070
"6391856";2017-09-29;2021-07-26;4;4874;694791;-18691390;51680
"6392760";2017-09-29;2021-07-26;2508;12573;694771;-300;58910
"6393621";2018-10-23;2021-07-25;3589;24847;190800;0;117
"6394348";2017-09-29;2021-07-26;3268;4520;694798;0;28300
"6396185";2017-09-29;2021-07-26;2428;7131;363595;-24671450;4549820
"6396198";2017-09-29;2021-07-26;2391;4120;708479;-23681321;25090
"6396344";2020-04-22;2021-07-26;2558;5412;694798;0;9172
"6396364";2017-09-29;2021-07-26;2365;4506;694780;-10;48160
"6397734";2017-09-29;2021-07-26;3055;5127;708340;-20;597660
"6397830";2017-09-29;2021-07-26;90032;90032;90032;-601212;23
"6398496";2017-09-29;2021-07-26;3086;4287;694801;0;14890
"6400127";2017-10-13;2021-07-25;3585;58310;22493164;-14864450;1021320
"6400489";2018-09-20;2021-07-26;3590;3776;694794;0;227720
"6400759";2017-11-03;2021-07-25;2982;5413;694781;0;14278
"6400989";2018-08-03;2021-06-23;NA;NA;NA;0;20
"6400993";2017-09-29;2021-07-26;3600;3600;3600;-1;0
"6400994";2017-09-29;2021-07-26;3586;3684;18004;0;1930
"6400997";2017-09-29;2021-07-26;3585;7661;723608;-8426174;24840
"6401005";2017-09-29;2021-07-26;3585;5361;694807;0;63749
"6401855";2017-09-29;2021-07-26;3583;4259;694769;-112564053;146874
"6402165";2020-08-17;2021-07-25;NA;NA;NA;0;0
"6402168";2020-08-17;2021-07-26;3600;3600;3600;0;2
"6402171";2020-08-17;2021-07-26;NA;NA;NA;0;0
"6402172";2020-08-17;2021-07-25;NA;NA;NA;0;0
"6402214";2017-09-29;2021-07-26;3597;6633;1493176;-10;1608210
"6406085";2017-09-29;2021-07-26;3596;4378;694782;-18241371;67410
"6406092";2017-09-29;2021-07-25;3592;4973;46801;0;52140
"6406280";2017-10-04;2021-07-26;752396;1443606;2134816;0;88780
"6409317";2018-07-14;2021-07-23;3600;452030;28082136;-2123759;139740
"6410146";2017-09-29;2021-07-26;3579;5228;89998;-1742234;8920
"6412073";2017-09-29;2021-07-25;60;1483;3711600;-254;2293773
"6414872";2018-08-26;2019-07-21;3600;114614;1414752;0;313337
"6416024";2017-09-29;2021-07-25;3596;39482;694802;-6288370;295190
"6416203";2017-09-29;2021-07-26;3600;77738;2059138;0;102992
"6416226";2017-09-29;2021-05-30;2625;8348;694801;0;30930
"6420135";2017-09-29;2021-07-25;4;135085;38744634;-1311471;5054
"6422694";2017-09-29;2021-07-26;3357;4420;46805;-8500110;6580
"6429112";2017-09-29;2021-07-26;2355;39834;1800018;0;77790
"6429753";2017-09-29;2021-07-26;3595;9088;709175;0;65669
"6429769";2017-09-29;2021-07-26;3468;3755;694814;-4983617;4986091
"6429916";2017-09-29;2021-07-26;3599;3880;46797;-3246631;4902
"6429987";2017-09-29;2021-07-26;2718;7042;694791;0;9033
"6430007";2017-09-29;2021-07-25;3597;10111;118799;0;13802
"6430564";2017-09-29;2021-07-26;3593;9633;694785;0;6680
"6430577";2017-09-29;2021-07-26;3049;4075;694814;0;47010
"6430918";2017-09-29;2021-07-26;2654;3768;133192;0;12936
"6431079";2017-09-29;2021-07-26;2438;6971;118802;0;6480
"6431097";2018-12-20;2021-07-26;3600;3600;3600;0;10
"6431126";2017-09-29;2021-07-26;3377;4147;709193;-9981440;164220
"6431127";2017-09-29;2021-07-26;3192;4588;694808;-9;8619
"6431268";2017-09-29;2021-07-26;3582;4362;694815;-12113670;29900
"6431273";2017-09-29;2021-07-26;3538;3711;118809;-100;4211010
"6431327";2017-09-29;2021-07-26;3587;4007;694816;-17895670;159716
"6431331";2017-11-13;2021-07-26;2613;62203;997189;-2981790;33275
"6431414";2017-09-29;2021-07-26;3565;6127;694803;-19333231;33320
"6431415";2017-09-29;2021-07-26;2416;6531;694790;0;1046370
"6431427";2019-01-15;2021-07-26;3086;3972;694781;0;13038
"6431430";2017-09-29;2021-07-26;3597;28233;709177;-3219912;57193
"6431521";2017-09-29;2021-07-26;2555;5674;161998;-25169660;167570
"6431524";2017-09-29;2021-07-26;3142;3770;694819;0;33730
"6431535";2017-09-29;2021-07-26;3597;17368;781197;-12466170;218730
"6432723";2017-09-29;2021-07-26;2362;8232;694771;-1;1486
"6432724";2017-09-29;2021-07-26;3588;4085;61204;-230;77220
"6432725";2017-09-29;2021-07-26;2521;4383;694789;-40;39900
"6434297";2018-04-27;2021-07-25;1728;13787;682408;-350;113180
"6434298";2017-09-29;2021-07-25;3554;6637;824375;0;32163
"6434299";2017-09-29;2021-07-25;3595;9114;694780;-20;57380
"6436097";2017-09-29;2019-02-07;3600;3600;3600;0;16240
"6436099";2017-09-29;2021-07-26;2420;117010;550790;-1300;35590
"6436100";2019-01-13;2021-07-26;3596;19042;375164;-18110;3080
"6436906";2017-09-29;2021-07-26;2437;5389;694782;-472041;4240
"6436974";2017-09-29;2021-07-26;3590;11054;709190;-5080383;6710
"6437379";2017-09-29;2021-07-26;3599;77578;1155578;0;12606
"6438510";2017-11-16;2021-07-26;3301;6968;694814;0;216962
"6438908";2017-09-29;2021-07-26;3594;48409;1558770;0;120030
"6439676";2017-09-29;2021-07-26;3368;5572;694806;0;300290
"6439812";2019-04-16;2021-07-26;3577;9805;694821;0;3353
"6439813";2017-09-29;2021-07-26;2971;4263;694816;0;282160
"6439814";2017-09-29;2021-07-26;3528;55103;18368398;-15761700;943380
"6439815";2018-07-05;2021-07-25;2395;23876;766813;-9;16754
"6440330";2017-09-29;2021-07-26;3596;5630;694785;-42853876;5230
"6440364";2017-09-29;2021-07-26;3408;4048;694821;0;80714
"6440366";2017-11-16;2021-07-25;NA;NA;NA;0;1733
"6440370";2017-09-29;2021-07-26;2146;4898;694781;0;3384
"6440893";2017-09-30;2021-07-25;3584;82790;8657816;0;429830
"6440894";2017-10-01;2021-07-26;3593;18619;723581;-2199632;9637
"6441166";2017-09-29;2021-07-26;3598;24285;694781;0;2520
"6441169";2017-09-29;2021-07-26;3600;5982;117847;0;108030
"6441171";2017-10-23;2021-07-26;3596;15868;709177;0;1700
"6441172";2017-09-29;2021-07-25;3592;14512;694791;0;7900
"6441173";2017-09-29;2021-07-26;3600;28109;694782;0;9120
"6441174";2017-09-29;2021-07-26;3592;6948;694789;0;1150
"6441175";2017-09-29;2021-07-26;3583;19900;147585;0;45810
"6441232";2017-09-29;2019-08-21;3600;73774;1385989;0;14090
"6441236";2017-09-29;2020-10-05;3579;10524;118783;0;32590
"6441237";2018-06-01;2021-07-26;NA;NA;NA;0;0
"6441354";2017-09-29;2021-07-26;2553;8320;694770;0;7640
"6441356";2017-09-29;2021-07-26;2902;3880;694805;-12236460;164880
"6441467";2017-09-29;2021-07-26;3596;22672;694792;-1;4843
"6441469";2017-09-29;2021-07-26;3571;4529;75598;0;7520
"6441473";2017-09-29;2021-07-26;3596;15808;234242;-1903863;4680
"6441899";2017-10-01;2021-07-26;2336;16472;680381;-1;21595
"6441902";2017-09-29;2021-07-25;3600;2868405;31567702;0;140320
"6441903";2017-09-29;2021-07-26;2833;4643;694799;0;69080
"6441924";2017-09-30;2021-07-26;3315;32241;910761;-3006838;7352
"6442236";2021-01-04;2021-05-11;NA;NA;NA;0;0
"6442999";2017-09-29;2021-07-26;3596;9478;694783;-203;82787
"6443000";2017-09-29;2021-07-26;3598;28776;694779;0;9820
"6443006";2018-12-18;2021-07-26;3600;3600;3600;0;1
