"Contrato";"Fecha_Min";"Fecha_Max";"Faltan";"Faltan_Max"
"6351960";2019-01-01;2021-05-15;5;1
"6353617";2019-01-01;2021-05-15;5;1
"6354706";2019-01-01;2021-05-15;5;1
"6355390";2019-01-01;2021-05-15;5;1
"6355405";2019-01-01;2021-05-15;5;1
"6357841";2019-01-01;2021-05-15;5;1
"6358872";2019-01-01;2021-05-15;5;1
"6358890";2019-01-01;2021-05-15;5;1
"6361595";2019-01-01;2021-05-15;5;1
"6364682";2019-01-01;2021-05-15;5;1
"6369773";2019-01-01;2021-05-15;5;1
"6369836";2019-01-01;2021-05-15;5;1
"6373373";2019-01-01;2021-05-15;5;1
"6373376";2019-01-01;2021-05-15;5;1
"6373402";2019-01-01;2021-05-15;5;1
"6373577";2019-01-01;2021-05-15;5;1
"6373793";2019-01-01;2021-05-15;5;1
"6377862";2019-01-01;2021-05-15;5;1
"6378402";2019-01-01;2021-05-15;5;1
"6384426";2019-01-01;2021-05-15;5;1
"6391856";2019-01-01;2021-05-15;5;1
"6392760";2019-01-01;2021-05-15;5;1
"6393621";2019-01-01;2021-05-15;5;1
"6394348";2019-01-01;2021-05-15;5;1
"6396185";2019-01-01;2021-05-15;5;1
"6396198";2019-01-01;2021-05-15;5;1
"6396344";2019-01-01;2021-05-15;5;1
"6396364";2019-01-01;2021-05-15;5;1
"6397734";2019-01-01;2021-05-15;5;1
"6397830";2019-01-01;2021-05-15;5;1
"6398496";2019-01-01;2021-05-15;5;1
"6400127";2019-01-01;2021-05-15;5;1
"6400489";2019-01-01;2021-05-15;4;1
"6400989";2019-01-01;2021-05-15;4;1
"6400993";2019-01-01;2021-05-15;4;1
"6400994";2019-01-01;2021-05-15;4;1
"6400997";2019-01-01;2021-05-15;4;1
"6401005";2019-01-01;2021-05-15;4;1
"6401855";2019-01-01;2021-05-15;4;1
"6402168";2019-01-01;2021-05-15;4;1
"6402172";2019-01-01;2021-05-15;4;1
"6402214";2019-01-01;2021-05-15;4;1
"6406085";2019-01-01;2021-05-15;5;1
"6406092";2019-01-01;2021-05-15;5;1
"6406280";2019-01-01;2021-05-15;5;1
"6409317";2019-01-01;2021-05-15;5;1
"6410146";2019-01-01;2021-05-15;5;1
"6412073";2019-01-01;2021-05-15;5;1
"6416024";2019-01-01;2021-05-15;5;1
"6416203";2019-01-01;2021-05-15;5;1
"6416226";2019-01-01;2021-05-15;5;1
"6420135";2019-01-01;2021-05-15;5;1
"6422694";2019-01-01;2021-05-15;5;1
"6429112";2019-01-01;2021-05-15;5;1
