Explotacion;Localidad;Punto servicio;Contrato;Cliente;NIF/NIE;Estado;Fecha Estado;Fec. Caducidad;T. Gestion Deuda;Compl. Direccion;Categoria;Tipo contrato
EMUASA-MURCIA;EL PUNTAL;FEDERICO BALART SN C-1-JA;6.351.306;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;CHURRA;VICENTE ALEIXANDRE SN C-1-JA;6.351.960;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;CABEZO DE TORRES;PILAR SN C-1-JA;6.353.617;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;CABEZO DE TORRES;PL.IGLESIA SN C-1-JA;6.353.635;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;CABEZO DE TORRES;AV.CONSTITUCION SN C-4-JA-1;6.353.658;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MONTEAGUDO;PL.CRUZ SN C-1-JA;6.354.706;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;EL ESPARRAGAL;CN.FLORA SN C-1-JA;6.355.390;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;COBATILLAS;AV.DE ALICANTE SN C-3-JA;6.355.405;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.CONSTITUCION SN C-1-JA;6.357.731;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;NORTE SN C-2-JA-2;6.357.841;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;AV.LEVANTE SN C-1-JA-D1;6.357.842;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;GUADALUPE;PL.ATRIO ANTIGUO SN C-1-JA-B;6.358.823;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;GUADALUPE;TORRE DE LOS LORENTES SN C-1-JA;6.358.872;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;GUADALUPE;CN.AGRIDULCE SN C-1-JA-1;6.358.890;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;JAVALI NUEVO;PL.DE LA ERMITA SN C-3-JA;6.361.595;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LA RAYA;MALECON I SN C-2-JA;6.364.110;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;NONDUERMAS;PL.IGLESIA 99999-JA;6.364.682;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;PUENTE TOCINOS;PL.ARTESANOS DEL BELEN SN C-1-JA;6.369.383;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;ZARANDONA;JARDIN LOS GERANIOS SN C-1-JA;6.369.773;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;AV.ALICANTE SN M-1-JA;6.369.836;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;FTE.CR RUIPEREZ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SANTA CRUZ;PL.IGLESIA SN C-1-JA;6.371.654;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;JORGE MANRIQUE SN C-1-JA-4;6.373.373;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;AV.SAN JUAN DE LA CRUZ SN C-5-JA-5;6.373.374;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.DE LA CONSTITUCION SN C-1-JA-1;6.373.376;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.DE LA CONSTITUCION SN C-2-JA-2;6.373.377;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.SAN BENITO SN C-1-JA-1;6.373.402;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PRINCESA SN C-1-JA;6.373.577;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.CAMACHOS SN C-3-JA-2;6.373.793;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.GONZALEZ CONDE SN C-2-JA;6.377.862;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;AV.RIO SEGURA SN C-1-JA;6.377.878;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;PL.PINTOR MARIANO BALLESTER SN C-1-JA;6.378.402;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
