"Contrato";"Obs_Total";"Obs_CCs"
"6351960";241;134
"6353617";241;108
"6354706";241;117
"6355390";241;115
"6355405";241;118
"6357841";241;109
"6358872";241;74
"6369773";241;120
"6373577";241;126
"6373793";241;113
"6384426";241;113
"6391856";241;107
"6394348";241;119
"6396185";241;114
"6396198";241;103
"6396344";80;30
"6397734";241;127
"6398496";241;113
"6400127";241;100
"6402214";247;121
"6406085";241;98
"6412073";241;112
"6429112";241;101
"6429753";241;109
"6429769";241;122
"6430564";241;118
"6430577";247;118
"6431079";241;104
"6431126";241;114
"6431127";241;103
"6431268";241;113
"6431273";247;125
"6431327";247;113
"6431414";241;93
"6431415";241;121
"6431427";169;76
"6431524";241;77
"6432724";247;106
"6432725";241;124
"6434298";241;120
"6434299";241;112
"6436099";241;100
"6436100";169;81
"6436974";241;116
"6438510";127;127
"6438908";241;113
"6439676";241;106
"6439812";150;74
"6439813";241;116
"6439814";241;125
"6440330";241;101
"6440364";241;114
"6440366";241;118
"6440894";241;80
"6441166";241;105
"6441173";241;115
"6441356";241;112
"6441467";241;118
"6441469";241;114
"6441899";241;118
"6441924";241;101
"6442236";22;6
"6443006";173;82
"6443818";178;92
"6443831";241;112
"6444403";241;110
"6444534";241;104
"6445155";241;103
"6447936";171;78
"6449098";241;87
"6449099";241;129
"6449806";241;110
"6451307";241;132
"6451505";241;112
"6451703";241;118
"6452755";241;117
"6453070";241;108
"6453255";241;85
"6453259";241;122
"6453523";247;119
"6456676";241;97
"6456677";241;97
"6456678";241;101
"6456681";241;91
"6456682";241;112
"6457709";247;107
"6459510";241;120
"6461478";241;111
"6462152";247;113
"6462640";241;128
"6466823";241;117
"6466825";241;111
"6467039";241;111
"6470504";241;107
"6472805";241;109
"6473003";241;129
"6477901";241;113
"6478559";241;115
"6481231";241;116
"6483443";189;90
"6484593";247;127
"6491890";241;103
"6496354";247;103
"6501672";247;117
"6502323";241;103
"6502668";196;95
"6505874";241;79
"6506990";247;135
"6507780";241;127
"6507785";241;127
"6515860";218;103
"6515865";241;100
"6523676";241;108
"6524125";247;118
"6528098";122;122
"6530198";241;108
"6533395";241;111
"6536623";241;100
"6543897";241;48
"6544813";241;112
"6547404";241;115
"6548037";241;122
"6548038";241;131
"6551656";241;101
"6552773";241;118
"6558924";241;129
"6559630";241;130
"6560222";241;127
"6560231";241;108
"6564834";241;114
"6566575";241;128
"6587228";241;116
"6587395";247;139
"6595270";241;97
"6596867";241;98
"6598500";241;103
"6598925";241;111
"6598940";241;117
"6605391";241;123
"6605396";241;133
"6606317";241;118
"6606724";247;127
"6611136";241;121
"6617012";241;120
"6617017";241;115
"6617582";247;130
"6617583";247;111
"6619762";241;120
"6620670";70;32
"6620685";241;126
"6626209";241;138
"6630537";241;132
"6635588";236;124
"6635590";241;107
"6636324";241;129
"6636326";241;136
"6647357";241;109
