"Contrato";"Fecha_Min";"Fecha_Max";"Tiempo_Min";"Tiempo_Mean";"Tiempo_Max";"Consumo_Min";"Consumo_Max"
"6351306";2021-08-26;2022-02-10;NA;NA;NA;NA;NA
"6351960";2017-09-29;2022-02-10;2342;4198;694810;0;25160
"6353617";2017-09-29;2022-02-10;2902;7901;723625;-29649830;2033270
"6354706";2017-09-29;2022-02-10;1;5140;1189758;-4889501;4598280
"6355390";2017-09-29;2022-02-10;3431;18190;709186;0;5930
"6355405";2017-09-29;2022-02-10;3592;9657;694785;0;46110
"6357841";2017-09-29;2022-02-10;3016;11828;709187;0;14014
"6358872";2017-09-29;2022-01-13;3588;24378;24356062;-7336390;341820
"6358890";2018-12-03;2022-02-10;NA;NA;NA;0;0
"6361595";2017-09-29;2022-02-10;3126;6338;694809;0;36490
"6364682";2017-09-29;2022-02-10;2520;4386;709187;0;30130
"6369773";2017-09-29;2022-02-10;2708;4086;694775;-20257390;4640
"6369836";2017-09-29;2022-02-10;3597;37839;752378;-1100302;10420
"6373373";2017-09-29;2022-02-10;3591;5099;694790;0;3213
"6373376";2017-09-29;2022-02-10;3580;35781;1238350;0;6600
"6373377";2021-11-05;2022-02-10;NA;NA;NA;NA;NA
"6373402";2017-09-29;2022-02-10;3582;23497;7534870;0;410690
"6373577";2017-09-29;2022-02-10;3538;5580;709208;0;269870
"6373793";2017-09-29;2022-02-10;3592;6266;723584;0;89700
"6377862";2017-09-29;2022-02-10;3585;27874;248396;0;7471
"6377878";2017-09-29;2022-02-10;3598;626754;79594570;0;201389
"6378402";2017-09-29;2022-02-10;2348;4681;694801;0;37830
"6384426";2017-09-29;2022-02-10;2797;4098;694807;-12415904;23009
"6386652";2017-09-29;2022-02-10;2981;4087;694784;-1102;42306
"6391847";2017-09-29;2022-02-10;3300;4712;536407;0;8070
"6391856";2017-09-29;2022-02-09;4;5275;694791;-18691390;51680
"6392760";2017-09-29;2022-02-10;2508;15089;709187;-300;58910
"6393621";2018-10-23;2022-02-10;3589;24235;234005;0;117
"6393645";2021-12-17;2022-02-10;NA;NA;NA;NA;NA
"6394348";2017-09-29;2022-02-10;3268;5204;694799;0;28300
"6396185";2017-09-29;2022-02-10;2381;5849;363595;-24671450;4549820
"6396198";2017-09-29;2022-02-09;2391;4450;4698122;-23681321;25090
"6396344";2020-04-22;2022-02-10;2558;4937;694798;0;319717
"6396364";2017-09-29;2022-02-10;2365;4664;694780;-10;48160
"6397734";2017-09-29;2022-02-10;2989;6215;7549230;-20;597660
"6397830";2017-09-29;2022-02-09;90032;658468;1226905;-601212;23
"6398496";2017-09-29;2022-02-10;3086;4372;709210;0;14890
"6400127";2017-10-13;2022-02-09;3585;52335;22493164;-14864450;1021320
"6400489";2018-09-20;2022-02-10;3590;3766;694794;0;227720
"6400759";2017-11-03;2022-02-10;2982;6263;5142762;0;14278
"6400989";2018-08-03;2022-02-09;176399;2116639;7814756;-470;20
"6400993";2017-09-29;2022-02-10;3600;3600;3600;-1;0
"6400994";2017-09-29;2022-02-10;3586;3662;18004;0;1930
"6400997";2017-09-29;2022-02-10;3584;7530;723608;-8426174;24840
"6401005";2017-09-29;2022-02-10;3585;4949;694807;0;63749
"6401855";2017-09-29;2022-02-10;3583;6619;3416316;-112564053;146874
"6402165";2020-08-17;2022-02-09;NA;NA;NA;0;0
