"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.NA.n_TotalD";"NDVI.NA.n_TotalNA";"NDVI.NA.n_MaxNA";"NDVI.NA.Mean_Min";"NDVI.NA.Mean_Mean";"NDVI.NA.Mean_Max";"NDVI.NA.Mean_TotalNoNA";"NDVI.NA.Mean_TotalNA"
"6351960";2017-10-03;2022-02-09;1;16;1;-0.0495488567447121;0.485388546139765;0.818358751860532;258;16
"6353617";2017-10-03;2022-02-09;1;16;1;-0.0415299708644549;0.291596042621085;0.611241608858109;258;16
"6354706";2017-10-03;2022-02-09;2;16;1;-0.0367225701255458;0.250058202145148;0.466514910732142;258;16
"6355390";2017-10-03;2022-02-09;1;16;1;-0.0646605277433991;0.314782772756069;0.605365961790085;258;16
"6355405";2017-10-03;2022-02-09;1;16;1;-0.156026906566694;0.426001314825763;0.986123457551003;258;16
"6357841";2017-10-03;2022-02-09;1;16;1;-0.0401869155466557;0.161804813864576;0.414882034063339;258;16
"6358872";2017-10-03;2022-02-09;1;16;1;-0.0469540773580472;0.320881796407098;0.532168785730998;258;16
"6358890";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6361595";2017-10-03;2022-02-09;1;16;1;-0.0782955777831376;0.181410933792554;0.41936028500398;258;16
"6364682";2017-10-03;2022-02-09;1;16;1;-0.0468502081930637;0.292598863883978;0.729181975126267;258;16
"6369773";2017-10-03;2022-02-09;1;16;1;-0.0383566590026021;0.373646910734927;0.746993473172188;258;16
"6369836";2017-10-03;2022-02-09;1;16;1;-0.03553756326437;0.291828257400839;0.618861794471741;258;16
"6373373";2017-10-03;2022-02-09;1;16;1;-0.0308769047260284;0.217034524338241;0.426795572042465;258;16
"6373376";2017-10-03;2022-02-09;1;16;1;-0.0377298407256603;0.157855729447562;0.322063525517782;258;16
"6373402";2017-10-03;2022-02-09;1;16;1;-0.0363573739305139;0.222564914358485;0.496364906430244;258;16
"6373577";2017-10-03;2022-02-09;1;16;1;-0.0278232974215196;0.500892211852021;0.855704009074431;258;16
"6373793";2017-10-03;2022-02-09;1;16;1;-0.0307802772149444;0.366151087033161;0.820477992296219;258;16
"6377862";2017-10-03;2022-02-09;1;16;1;-0.0470139756798744;0.152409120425158;0.479176640510559;258;16
"6378402";2017-10-03;2022-02-09;1;16;1;-0.0316451381271084;0.245894158528564;0.606376265486082;258;16
