"Fecha";"Tmed";"Tmax";"Tmin";"HRmed";"HRmax";"HRmin";"RADmed";"RADmax";"VVmed";"VVmax";"DVmed";"Prec";"PtoRocio";"DPV"
2015-11-25T00:00:00Z;5.8;6.5;5.5;62.5;64.4;59.2;0;0;0.6;2.2;264;0;-0.8;0.3
2015-11-25T01:00:00Z;5.5;6.3;4.9;63.3;66.6;58.9;0;0;0.6;1.9;264.9;0;-0.9;0.3
2015-11-25T02:00:00Z;7.5;9.5;5.5;54.4;62.5;46.5;0;0;0.9;4.9;266.8;0;-1.2;0.5
2015-11-25T03:00:00Z;6.6;8.1;6.2;57;59.1;51;0;0;0.5;2.4;279.2;0;-1.3;0.4
2015-11-25T04:00:00Z;7.1;7.7;6.7;55.6;57.6;53.4;0;0;0.5;2.1;287.1;0;-1.2;0.4
2015-11-25T05:00:00Z;7;7.6;6.2;56.7;60.5;53.4;0;0;0.3;1.7;280.7;0;-1.1;0.4
2015-11-25T06:00:00Z;8;9.2;6.7;54.7;58.9;50.7;0;0;0.5;2.7;247.2;0;-0.6;0.5
2015-11-25T07:00:00Z;8.9;9.6;8.2;52.7;55.3;49.8;0.3;2.4;1;3.6;257.9;0;-0.2;0.5
2015-11-25T08:00:00Z;9.7;10.2;9.2;51.2;52.5;49.9;28.6;53.6;1;3.2;254.4;0;0.1;0.6
2015-11-25T09:00:00Z;11;12.5;10.1;50.1;53.5;45.9;77.5;124.2;0.6;2.5;251.3;0;1;0.7
2015-11-25T10:00:00Z;13.7;16.2;12.5;43;45.9;35.9;200;613.9;1.4;4.3;257.8;0;1.3;0.9
2015-11-25T11:00:00Z;16.2;17.5;15.5;37.2;39.6;33.6;291.4;672.3;1.4;4.4;248;0;1.6;1.2
2015-11-25T12:00:00Z;17.9;19.7;15.3;34.2;40.1;29.5;536.1;621;1.3;5.2;258.2;0;1.8;1.4
2015-11-25T13:00:00Z;19.3;19.6;18.8;30.7;32;29.5;555.4;577;1.1;5.5;314.4;0;1.6;1.5
2015-11-25T14:00:00Z;19.9;20.2;19.5;29.4;30.7;28.2;495.4;550.2;1;4.8;307.7;0;1.5;1.6
2015-11-25T15:00:00Z;19.9;20.3;19.6;29.2;29.8;28.6;367.2;438.2;1.2;6.2;304.7;0;1.4;1.6
2015-11-25T16:00:00Z;19.6;20;19;30.1;31.3;29;192.7;289.7;0.8;5.7;300.8;0;1.6;1.6
2015-11-25T17:00:00Z;17.9;19;16.7;33.5;37.2;31;24.6;102.3;0.7;4.5;286;0;1.6;1.4
2015-11-25T18:00:00Z;16.3;16.7;16;38.5;39.5;37.2;0;0;0.5;2.7;271.6;0;2.2;1.1
2015-11-25T19:00:00Z;15.5;16.4;14.4;41.6;45;38.4;0;0;0.4;2.3;281.2;0;2.5;1
2015-11-25T20:00:00Z;15.3;16;14.4;42.4;45.8;40;0;0;0.7;3.3;245.9;0;2.6;1
2015-11-25T21:00:00Z;15.7;16.8;14.2;41.2;45.8;38.2;0;0;0.7;4.6;248.1;0;2.5;1.1
2015-11-25T22:00:00Z;14.9;15.3;14.4;43.1;45.3;41.6;0;0;1;3.2;240.7;0;2.4;1
2015-11-25T23:00:00Z;15.3;15.8;14.9;40.7;42.8;38.9;0;0;1.8;5.4;261.3;0;2.1;1
2015-11-26T00:00:00Z;15.9;16.2;15.2;38.2;40.4;36.9;0;0;1.9;6.1;269.3;0;1.7;1.1
2015-11-26T01:00:00Z;15.2;15.6;14.3;40.2;43;38.8;0;0;1.2;4.5;266.2;0;1.7;1
2015-11-26T02:00:00Z;14.9;15.7;14;37.1;42.5;31.3;0;0;0.8;5;297.9;0;0.3;1.1
2015-11-26T03:00:00Z;16.4;16.8;15.7;28;31.4;27;0;0;1;4.9;306.5;0;-2.1;1.3
2015-11-26T04:00:00Z;16.3;16.8;15.9;26.2;27.6;22.9;0;0;1.4;6.4;324.7;0;-3.2;1.4
2015-11-26T05:00:00Z;16.6;17;16.3;22.8;24;21.4;0;0;2.1;10;319.9;0;-4.7;1.5
2015-11-26T06:00:00Z;16.5;16.9;16.1;21.9;22.6;21.2;0;0;2;8.4;325.2;0;-5.4;1.5
2015-11-26T07:00:00Z;16.4;16.7;16.1;20.3;22.1;18.9;0.1;2.4;2.6;12;318.9;0;-6.4;1.5
2015-11-26T08:00:00Z;16.6;16.9;16.3;20.1;21;19.1;58.2;177.8;3.1;11.3;316.7;0;-6.4;1.5
2015-11-26T09:00:00Z;17;17.6;16.6;20.6;21.3;19.5;231.4;314.2;2.9;11.7;315.5;0;-5.8;1.5
2015-11-26T10:00:00Z;18.3;19;17.6;18.7;19.8;17.7;408;482.1;2.6;12.6;315.9;0;-6;1.7
2015-11-26T11:00:00Z;19.6;20.2;18.9;17.6;18.5;16.8;520.6;562.4;1.8;8.6;309.9;0;-5.7;1.9
2015-11-26T12:00:00Z;20.6;21.1;20.2;16.6;17.8;15;572.9;581.8;1.5;6.4;284.7;0;-5.6;2
2015-11-26T13:00:00Z;21.2;21.6;20.6;14.9;16.4;14;561.9;579.3;1.7;7.7;305.2;0;-6.6;2.1
2015-11-26T14:00:00Z;21.6;21.8;21.3;14.3;14.7;13.7;494.8;540.4;1.3;6.2;320.3;0;-6.8;2.2
2015-11-26T15:00:00Z;21.6;21.9;21;14.5;16.1;13.9;368.4;443;1.1;6.5;319.9;0;-6.6;2.2
2015-11-26T16:00:00Z;20.8;21.1;20.2;15.8;17.6;14.9;192;289.6;0.8;5.1;324.4;0;-6.1;2.1
2015-11-26T17:00:00Z;19.3;20.3;18.6;18.6;19.9;16.6;24.1;104.7;0.9;6.1;314.4;0;-5.2;1.8
2015-11-26T18:00:00Z;18.2;18.8;17.3;19.2;21.5;17.7;0;0;1;6.5;300.5;0;-5.7;1.7
2015-11-26T19:00:00Z;17.2;17.5;16.9;21.6;22.4;20.9;0;0;0.9;4.5;295.1;0;-5;1.5
2015-11-26T20:00:00Z;16.7;17.1;16.4;23.6;25.6;21.7;0;0;0.8;4.8;286.9;0;-4.2;1.4
2015-11-26T21:00:00Z;16.7;16.8;16.4;28.3;30.9;25.6;0;0;0.8;5.6;288.2;0;-1.8;1.4
2015-11-26T22:00:00Z;16.4;16.9;16;33.6;36;30.7;0;0;0.7;3.7;293.7;0;0.3;1.2
2015-11-26T23:00:00Z;16.6;16.9;16.2;36.3;37.9;34.4;0;0;1.3;5.6;304.1;0;1.6;1.2
2015-11-27T00:00:00Z;16.3;16.6;15.9;38.9;39.9;37.7;0;0;0.9;4.7;341.7;0;2.3;1.1
2015-11-27T01:00:00Z;15.9;16.4;15.4;39.7;41.2;38.4;0;0;0.7;7.2;331.4;0;2.2;1.1
2015-11-27T02:00:00Z;15.1;15.7;14.3;42.6;45.6;41;0;0;0.5;4.3;293.1;0;2.5;1
2015-11-27T03:00:00Z;14.3;14.7;13.6;46.2;48.7;44.4;0;0;0.5;2.5;290.8;0;2.9;0.9
2015-11-27T04:00:00Z;14;14.2;13.7;48.2;49.1;47.6;0;0;0.8;4.1;303.8;0;3.2;0.8
2015-11-27T05:00:00Z;14.3;14.5;14;47;47.8;46.5;0;0;1;5.4;318.8;0;3.1;0.9
2015-11-27T06:00:00Z;13.5;14.2;12.8;49.5;52.1;47.2;0;0;0.4;4;312.6;0;3.1;0.8
2015-11-27T07:00:00Z;12.7;13.4;12.2;52.4;54.6;49.8;0.1;2.4;0.4;2.8;318.4;0;3.2;0.7
2015-11-27T08:00:00Z;13.5;14.3;13.1;50.7;52.4;49.4;56;136.4;0.2;2.3;320.8;0;3.5;0.8
2015-11-27T09:00:00Z;15.3;16.1;14.3;46;50.1;42.2;214.2;306.9;0.5;3.5;1;0;3.7;0.9
2015-11-27T10:00:00Z;16.7;17.3;16;38.9;43.2;35.9;370;628.3;1;4.5;34.3;0;2.6;1.2
2015-11-27T11:00:00Z;17.1;17.8;16.2;36.4;39.3;34.3;494.2;591.7;1;4.5;43.8;0;2.1;1.2
2015-11-27T12:00:00Z;17.7;18.3;17.2;34.8;36.7;33.1;549.3;569.7;0.9;3.3;43.8;0;2;1.3
