"Fecha";"Tmed";"Tmax";"Tmin";"HRmed";"HRmax";"HRmin";"RADmed";"RADmax";"VVmed";"VVmax";"DVmed";"Prec";"PtoRocio";"DPV"
2015-11-25T00:00:00Z;7.2;7.6;6.6;65.5;69;63.9;0;0;0.8;2.5;238.6;0;1.2;0.4
2015-11-25T01:00:00Z;6.3;7.7;5.4;71.1;76.6;64.4;0;0;0.8;2.6;213.4;0;1.4;0.3
2015-11-25T02:00:00Z;7.3;7.7;7.1;64.8;65.7;63.5;0;0;1.8;3.2;243.6;0;1.1;0.4
2015-11-25T03:00:00Z;9;9.5;8;57.8;61.9;55.5;0;0;2.2;4.1;246.1;0;1.1;0.5
2015-11-25T04:00:00Z;10;10.5;9.5;54.2;55.5;52.5;0;0;2.3;7.1;251.2;0;1.1;0.6
2015-11-25T05:00:00Z;11.4;12.8;10.1;48.4;52.8;43.7;0;0;2.2;7.1;237.2;0;0.9;0.7
2015-11-25T06:00:00Z;9.9;11;9.1;54;56.9;50.8;0;0;2.1;4.5;234.5;0;1;0.6
2015-11-25T07:00:00Z;9.1;9.8;8.7;58.1;59.9;55;0.5;2.6;2.1;3.7;235.9;0;1.3;0.5
2015-11-25T08:00:00Z;9;9.7;8.4;61;63;58.8;16.5;34.9;2.1;3.5;227.9;0;1.8;0.4
2015-11-25T09:00:00Z;11;11.8;10.2;55.1;57.9;52.5;51.5;75.7;2.1;3.9;239.6;0;2.3;0.6
2015-11-25T10:00:00Z;13.2;14.2;12.2;49.6;52.4;45.7;168.3;593.7;2.6;4.9;252.5;0;2.9;0.8
2015-11-25T11:00:00Z;16.8;18.3;15.5;42.2;44.7;39.1;501.3;684.8;2.7;6;262.2;0;3.9;1.1
2015-11-25T12:00:00Z;19.1;19.6;18.6;38.2;40;36.1;545.5;593.6;1.6;7.7;296.9;0;4.5;1.4
2015-11-25T13:00:00Z;19.7;19.9;19.4;35.7;35.9;35.3;511.6;531.4;1.7;6.4;285.4;0;4.1;1.5
2015-11-25T14:00:00Z;20.3;20.5;19.9;33.1;33.9;32.1;447.7;488.1;1.6;4.9;296.3;0;3.5;1.6
2015-11-25T15:00:00Z;20.6;20.7;20.5;32.9;33.4;32.3;334.8;400.1;1.2;4.5;330.9;0;3.8;1.6
2015-11-25T16:00:00Z;20.3;20.5;20.1;33.6;33.9;33.1;179.1;261.8;0.9;4.7;324.8;0;3.7;1.6
2015-11-25T17:00:00Z;19.1;19.8;18.5;36.2;37.5;34.9;30.3;104.1;0.9;2.9;284.1;0;3.8;1.4
2015-11-25T18:00:00Z;18.2;18.6;17.9;39.2;40.1;37.4;0.1;1.9;1.3;5.2;248.4;0;4.1;1.3
2015-11-25T19:00:00Z;17.7;18.6;16.9;41.1;45.2;38;0;0;1.2;4.4;258.7;0;4.3;1.2
2015-11-25T20:00:00Z;18.1;18.9;16.9;40.1;43.7;37.2;0;0;1.8;5;248.5;0;4.3;1.2
2015-11-25T21:00:00Z;17;17.6;16.5;43.6;45.3;41.2;0;0;1.6;3.6;252.8;0;4.5;1.1
2015-11-25T22:00:00Z;17.8;18.1;17.4;41;42.2;40.4;0;0;1;3.5;299.4;0;4.4;1.2
2015-11-25T23:00:00Z;17.7;18;17.2;41.6;43.2;40.4;0;0;1.5;5.1;272.3;0;4.5;1.2
2015-11-26T00:00:00Z;17.7;17.9;17.5;41.6;42.2;41.1;0;0;1.3;7.4;292.4;0;4.5;1.2
2015-11-26T01:00:00Z;17.7;18;17.2;41.6;42.6;40.2;0;0;1.6;6.7;292.7;0;4.5;1.2
2015-11-26T02:00:00Z;16.9;17.1;16.6;40.5;43.7;38;0;0;1.5;5.4;275.6;0;3.4;1.1
2015-11-26T03:00:00Z;16.5;17;15.8;36.6;39.2;33.5;0;0;1.6;4.4;263.3;0;1.6;1.2
2015-11-26T04:00:00Z;16.4;17;16;33.2;37.3;29.8;0;0;2.1;5.1;247;0;0.1;1.2
2015-11-26T05:00:00Z;15.9;17;15.3;31.8;33.8;29;0;0;1.7;4.9;164.8;0;-0.9;1.2
2015-11-26T06:00:00Z;15.9;16.4;15.2;30.2;32;29.1;0;0;1.4;4;186.8;0;-1.6;1.3
2015-11-26T07:00:00Z;15.6;16.2;14.5;29.7;32.3;27.6;1.4;9.7;1.5;5.7;215.5;0;-2.1;1.2
2015-11-26T08:00:00Z;16.3;16.6;16;27.5;28;27.1;77.9;155.2;2.3;6.4;235.6;0;-2.5;1.3
2015-11-26T09:00:00Z;17.1;17.7;16.6;27.2;28;26.4;235.1;314.9;2;5.5;253.6;0;-1.9;1.4
2015-11-26T10:00:00Z;18.2;18.8;17.7;25.1;25.9;24.3;381.1;437;1.8;7;295.4;0;-2.1;1.6
2015-11-26T11:00:00Z;19.6;20.3;18.9;23.8;24.6;23.1;481;515.9;1.5;5.4;299.8;0;-1.6;1.7
2015-11-26T12:00:00Z;20.9;21.2;20.4;22.2;23.1;21.1;525.8;536.6;1.5;6;289.4;0;-1.5;1.9
2015-11-26T13:00:00Z;21.6;21.8;21.1;21.7;22.3;20.9;517.1;534;1.5;5.8;307.9;0;-1.2;2
2015-11-26T14:00:00Z;22;22.1;21.9;21.2;21.5;20.6;455.1;501.6;1.1;3.8;323.4;0;-1.2;2.1
2015-11-26T15:00:00Z;21.6;21.9;21.1;21.8;22.6;21.2;336.7;405.3;1.3;4.5;311;0;-1.1;2
2015-11-26T16:00:00Z;21.1;21.3;20.9;23.1;23.5;22.5;180.9;267.6;1.1;4.5;296.7;0;-0.7;1.9
2015-11-26T17:00:00Z;20.1;20.7;19.2;23.6;24.9;23;35.5;107.3;1.4;3.8;259.8;0;-1.3;1.8
2015-11-26T18:00:00Z;18.6;18.8;18.3;26.3;26.9;25.8;0.1;1.9;1.1;3.5;265.2;0;-1.1;1.6
2015-11-26T19:00:00Z;18.2;18.8;17.8;28.4;30.6;26.5;0;0;0.8;3.2;296.9;0;-0.4;1.5
2015-11-26T20:00:00Z;17.1;17.9;16.5;33.3;35;31.3;0;0;1.8;5.2;228.1;0;0.8;1.3
2015-11-26T21:00:00Z;17;17.4;16.7;34.6;36;33.8;0;0;2.3;5.3;246.2;0;1.3;1.3
