OBJECTID,ZR_ID,ZR_ARTIFIC,ZR_NOMBRE,ZR_SUPERFI,ZR_COMENTA,ZR_FIABILI,ZR_NUM_EXP,DOC_ADJ,N_tx,ID_EXPLOTA,OBJECTID2,USU_ALTA,FEC_ALTA,USU_MODIF,FEC_MODIF,IDPART,CAPA_CAD,Emu_OBJECT,CT_ID,CT_INSTAL,CT_CATEG,GNR_NUM1,GNR_NUM2,GNR_NUM3,GNR_TXT1,GNR_TXT2,GNR_TXT3,COD_MUNI,COD_SIT,ZR_ID_SUMI,ZR_COD_LOC,ZR_SUMINIS,AGIS_Etiqu,ID_AGIS,ID_GA,FEC_RECEP,SHAPE_STAr,SHAPE_STLe,Poligonos
"1",PA002,,,213.77310180000,,,,N,"33","0","1",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"1",ASIGNAR RANACO,"1","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,213.77294921900,96.75101168420,"1"
"2",PA002,,,185.71025085000,,,,N,"33","0","2",Admin,20100611120000.00000000000,scanovasr,20180424093100.00000000000,"2",ASIGNAR RANACO,"2","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,185.71142578100,85.83843183380,"1"
"3",PA002,,,298.76623535000,,,,N,"33","0","3",Admin,20100611120000.00000000000,scanovasr,20180424093100.00000000000,"3",ASIGNAR RANACO,"3","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,298.76416015600,93.64553050850,"1"
"4",PA002,,,31.24984931000,,,,N,"33","0","4",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"4",ASIGNAR RANACO,"4","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,31.25048828130,23.10320892730,"1"
"5",PA002,,,90.58029937000,,,,N,"33","0","5",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"5",ASIGNAR RANACO,"5","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,90.58105468750,39.38835805950,"1"
"6",PA002,,,38.49285125000,,,,N,"33","0","6",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"6",ASIGNAR RANACO,"6","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,38.49243164060,25.00418561780,"1"
"7",PA002,,,45.78329849000,,,,N,"33","0","7",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"7",ASIGNAR RANACO,"7","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,45.78295898440,30.18600539900,"1"
"8",PA002,,,97.53175354000,,,,N,"33","0","8",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"8",ASIGNAR RANACO,"8","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,97.53125000000,53.87974427010,"1"
"9",PA002,,,47.21630096000,,,,N,"33","0","9",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"9",ASIGNAR RANACO,"9","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,47.21655273440,29.45037230840,"1"
"10",PA002,,,230.03410339000,,,,N,"33","0","10",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"10",ASIGNAR RANACO,"10","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,230.03466796900,81.94971663540,"1"
"11",PA002,,,157.42750549000,,,,N,"33","0","11",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"11",ASIGNAR RANACO,"11","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,157.42797851600,77.24398536090,"1"
"12",PA002,,,220.69869995000,,,,N,"33","0","12",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"12",ASIGNAR RANACO,"12","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,220.69873046900,98.40714116430,"1"
"13",PA002,,,56.91955184000,,,,N,"33","0","13",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"13",ASIGNAR RANACO,"13","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,56.91894531250,51.44472176640,"1"
"14",PA001,,,99.82324981000,,,,N,"33","0","14",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"14",ASIGNAR RANACO,"14","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,99.82592773440,80.73065658220,"1"
"15",PA001,,,20.72559928000,,,,N,"33","0","15",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"15",ASIGNAR RANACO,"15","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,20.72558593750,29.77156679150,"1"
"16",PA001,,,47.49430084000,,,,N,"33","0","16",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"16",ASIGNAR RANACO,"16","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,47.49511718750,70.15776406190,"1"
"17",PA001,,,145.97340393000,,,,N,"33","0","17",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"17",ASIGNAR RANACO,"17","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,145.97583007800,61.99874617270,"1"
"18",PA001,,,74.99285125000,,,,N,"33","0","18",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"18",ASIGNAR RANACO,"18","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,74.99267578130,44.94989818620,"1"
"19",PA001,,,354.42996215000,,,,N,"33","0","19",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"19",ASIGNAR RANACO,"19","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,354.42968750000,72.12561112220,"1"
"20",PA001,,,104.95514678000,,,,N,"33","0","20",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"20",ASIGNAR RANACO,"20","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,104.95507812500,55.03973683290,"1"
"21",PA001,,,120.16094970000,,,,N,"33","0","21",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"21",ASIGNAR RANACO,"21","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,120.16137695300,164.90073079500,"1"
"22",PA012,,,35.04824829000,,,,N,"33","0","22",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"22",ASIGNAR RANACO,"22","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,35.04809570310,25.48944554100,"1"
"23",PA012,,,77.73539733000,,,,N,"33","0","23",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"23",ASIGNAR RANACO,"23","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,77.73364257810,38.59193126450,"1"
"24",PA012,,,145.54370117000,,,,N,"33","0","24",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"24",ASIGNAR RANACO,"24","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,145.54589843800,79.85700312080,"1"
"25",,,,129.80195617000,,,,N,"33","0","25",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"25",ASIGNAR RANACO,"25","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,129.80151367200,61.21753707450,"1"
"26",,,,106.57734680000,,P,"2010",N,"33","0","26",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"26",ASIGNAR RANACO,"26","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,159.34912109400,60.55393267990,"1"
"27",,,,578.01818847000,,,,N,"33","0","29",Admin,20100611120000.00000000000,scanovasr,20180913100700.00000000000,"29",ASIGNAR RANACO,"29","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,471.17089843800,107.91856707400,"1"
"28",PA013,,,1024.04101562000,,P,"2010",N,"33","0","42",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"42",ASIGNAR RANACO,"42","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,1195.36474609000,201.39131437400,"1"
"29",AB014,,,1943.95056152000,,,,N,"2","0","43",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"43",ASIGNAR RANACO,"43","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,1943.95068359000,246.77047596300,"1"
"30",AB014,,,634.12316894000,,P,"2011",N,"2","0","47",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"47",ASIGNAR RANACO,"47","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,585.75048828100,93.85932655030,"1"
"31",AB014,,,424.53164672000,,,,N,"2","0","48",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"48",ASIGNAR RANACO,"48","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,424.53222656300,86.77128184950,"1"
"32",AB014,,,369.64505004000,,,,N,"2","0","49",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"49",ASIGNAR RANACO,"49","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,369.64624023400,82.14295501470,"1"
"33",AB014,,,543.54711914000,,,,N,"2","0","50",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"50",ASIGNAR RANACO,"50","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,543.54687500000,89.58998568630,"1"
"34",AB014,,,513.34661865000,,,,N,"2","0","51",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"51",ASIGNAR RANACO,"51","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,513.34619140600,166.77412656000,"1"
"35",AB014,,,343.01754760000,,,,N,"2","0","52",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"52",ASIGNAR RANACO,"52","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,343.01684570300,142.44887523700,"1"
"36",AB014,,,385.39279174000,,,,N,"2","0","53",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"53",ASIGNAR RANACO,"53","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,385.39184570300,82.31733234580,"1"
"37",AB014,,,445.71606445000,,,,N,"2","0","54",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"54",ASIGNAR RANACO,"54","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,445.71728515600,90.63407677830,"1"
"38",AB014,,,224.49984741000,,,,N,"2","0","55",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"55",ASIGNAR RANACO,"55","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,224.49853515600,72.99203925270,"1"
"39",AB014,,,240.25114440000,,,,N,"2","0","56",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"56",ASIGNAR RANACO,"56","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,240.25170898400,64.64704744110,"1"
"40",AB014,,,288.55288696000,,,,N,"2","0","57",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"57",ASIGNAR RANACO,"57","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,288.55371093800,72.63110095820,"1"
"41",AB014,,,257.01736450000,,,,N,"2","0","58",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"58",ASIGNAR RANACO,"58","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,257.01879882800,61.04310186150,"1"
"42",AB014,,,174.85404968000,,,,N,"2","0","59",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"59",ASIGNAR RANACO,"59","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,174.85498046900,56.07649386080,"1"
"43",AB014,,,377.39773559000,,,,N,"2","0","60",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"60",ASIGNAR RANACO,"60","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,377.39843750000,86.17776023220,"1"
