"Group";"N";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"6351960";1;0;0.23273260091314;51.2637499174849;0.0756175784659923;0.274986505970734;0.495763760117329;0.554672463162;0.760000000000218;0.00999999999999091;1.36000000000058
"6351960";1;1;0.240786828320332;56.5799445370303;0.0775478601592666;0.278474164258135;0.495763760117329;0.561707382952377;0.779999999999745;0.0300000000000011;1.52999999999884
"6351960";1;2;0.231366120821174;54.6675539275566;0.0721962866438117;0.268693666921667;0.495763760117329;0.541979242004453;0.720000000000255;0;1.39000000000124
"6351960";1;3;0.235477628857945;55.0850431007769;0.0735708998522281;0.271239561738748;0.495763760117329;0.547114540349936;0.670000000000073;0;1.19999999999891
"6351960";1;4;0.244877825533377;60.4600200297326;0.0765994571130965;0.276766069295166;0.495763760117329;0.558262002106942;0.729999999999563;0.0300000000000011;1.25
"6353617";1;0;0.159125000555841;6.64735374175974;0.0333089798191025;0.182507478803206;0.268633190124496;0.679392887820838;0.670000000000073;0.0200000000000102;1.15999999999985
"6353617";1;1;0.158202893853272;6.79593288728887;0.0352132372636932;0.18765190450324;0.268633190124496;0.698543260481977;0.769999999999527;0;1.44000000000051
"6353617";1;2;0.158588121269086;6.82141376080886;0.0343503775785004;0.185338548549675;0.268633190124496;0.689931681426936;0.710000000000036;0.0199999999999818;1.38999999999942
"6353617";1;3;0.159869609180482;6.88570563570573;0.0345923437305499;0.185990171058983;0.268633190124496;0.692357377630022;0.670000000000073;0;1.18999999999869
"6353617";1;4;0.154673326231512;6.45749077760831;0.0323988856300418;0.179996904501277;0.268633190124496;0.670047153956883;0.789999999999964;0;1.86000000000058
"6354706";1;0;0.143393421492078;4.41836706022872;0.02688348928647;0.163961853144169;0.249736441322418;0.656539559368866;0.75;0.0100000000000193;1.20999999999913
"6354706";1;1;0.138126935879045;4.98946591186665;0.0252649280891266;0.15894945136466;0.249736441322418;0.636468792952212;0.569999999999709;0.0199999999999818;0.969999999999345
"6354706";1;2;0.144827904860449;4.68681089564907;0.0288093517904902;0.169733178225385;0.249736441322418;0.67964922270296;0.729999999999563;0;1.07999999999993
"6354706";1;3;0.145277195640525;4.59638704855223;0.0281682221123823;0.16783391228349;0.249736441322418;0.672044141394692;0.670000000000073;0;1.39000000000124
"6354706";1;4;0.145051013828971;4.74636834360218;0.0287640504818306;0.169599677127731;0.249736441322418;0.679114654752256;0.619999999999891;0;1.42000000000007
"6355390";1;0;0.165047879558978;4.15123046061036;0.0360438601836466;0.189852206159546;0.326377846307878;0.581694524635274;0.720000000000255;0;1.14999999999964
"6355390";1;1;0.157762599357767;4.13960126661155;0.0352887095226053;0.18785289330379;0.326377846307878;0.575568763103441;0.670000000000073;0;0.969999999999345
"6355390";1;2;0.158220967065039;3.94847523468787;0.0342197114977039;0.184985706198354;0.326377846307878;0.566783892629324;0.640000000000327;0.0300000000000011;1.32999999999993
"6355390";1;3;0.162307686544543;4.10621854559357;0.0355055093150293;0.18842905645104;0.326377846307878;0.577334088641824;0.699999999999818;0.0100000000000193;1.35999999999876
"6355390";1;4;0.169819540078373;4.16055822117176;0.0387731056635116;0.196908876548295;0.326377846307878;0.603315693071114;0.670000000000073;0.0199999999999818;1.14000000000124
"6355405";1;0;0.215172787331446;11.0024438155518;0.061682205431246;0.248359025266339;0.393761877655379;0.630734053649813;0.630000000000109;0.0200000000000102;1.13000000000102
"6355405";1;1;0.221329708478081;11.1446254678241;0.061034673761984;0.247051965711637;0.393761877655379;0.627414637452175;0.670000000000073;0.00999999999999091;0.969999999999345
"6355405";1;2;0.217137702875562;10.9373757188772;0.062735426892982;0.250470411212546;0.393761877655379;0.636096141921992;0.640000000000327;0.0200000000000102;1.03000000000065
"6355405";1;3;0.221886483149784;11.118844544749;0.0628447002539858;0.250688452574078;0.393761877655379;0.636649881057;0.6899999999996;0;1.11999999999898
"6355405";1;4;0.212479349776732;11.4222687359836;0.0607456143880988;0.246466254055396;0.393761877655379;0.625927160655972;0.710000000000036;0;1.26000000000022
"6357841";1;0;0.0870694570171393;Inf;0.0111013341388884;0.105362868881254;0.162015218427769;0.650326987203541;0.6899999999996;0.039999999999992;1.19999999999891
"6357841";1;1;0.089245073893295;Inf;0.01161407904224;0.10776863663534;0.162015218427769;0.665176010507844;0.640000000000327;0;1.27000000000044
"6357841";1;2;0.0912841643293445;Inf;0.0118335038295588;0.108781909477444;0.162015218427769;0.671430193614448;0.670000000000073;0.0200000000000102;1.32999999999993
"6357841";1;3;0.0871955672990338;Inf;0.011078546456637;0.105254674274528;0.162015218427769;0.649659181995017;0.6899999999996;0.0300000000000011;1.20000000000073
