"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
1;0;0.130134933931081;Inf;0.0264779607137095;0.162720498750801;0.259627073871955;0.626747034983928;1.56;0.11;39.03
1;1;0.157800854594602;Inf;0.0360660172290266;0.189910550599556;0.259627073871955;0.73147437117139;1.23;0.0600000000000001;20.6299999999999
1;2;0.150686403268156;Inf;0.0339751762996484;0.184323564146444;0.259627073871955;0.709955095967189;1.51;0.0600000000000001;28.0699999999999
1;3;0.147483157360648;Inf;0.0328970834930668;0.181375531682382;0.259627073871955;0.698600222917562;1.58;0.02;35.49
1;4;0.146191105321689;Inf;0.0322554687308227;0.179598075520933;0.259627073871955;0.691754033362132;1.68;0.11;43.7
232;0;0.137229685314971;Inf;0.0303837712912772;0.163015677085195;0.259471164195522;0.621555373332018;155.190000000003;3.53999999999999;309.799999999988
232;1;0.139851361612383;Inf;0.0308123997457719;0.164317759528617;0.259471164195522;0.626284458113691;154.160000000016;3.56000000000003;273.989999999993
232;2;0.139350822862797;Inf;0.0307134227079617;0.163899287293747;0.259471164195522;0.624855214405489;154.650000000001;3.07999999999995;286.120000000003
232;3;0.139814240362801;Inf;0.0309929907553448;0.164554074399484;0.259471164195522;0.627125683303802;153.590000000001;3.36000000000024;300.909999999987
232;4;0.140103967686325;Inf;0.0313065850596788;0.164986110359471;0.259471164195522;0.627826559381498;155.700000000003;3.87999999999977;308.410000000004
