"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0693256903697953;0.292377110153743;0.00972725741552062;0.0984821009560644;0.392974876165621;0.250459417542064;1.9699999999998;0.0600000000000022;32.6999999999971
"3";0;0.0698187325489626;0.294712544911497;0.00994427040973435;0.0995395007554689;0.392954994472085;0.254226823220162;2.62999999999965;0.0500000000000042;54.590000000011
"4";0;0.0706512326377234;0.294303591566143;0.0101178227545383;0.100109373922935;0.392818907055521;0.258228931164331;3.23999999999978;0.0899999999999963;56.4700000000011
"5";0;0.0708846802533918;0.294836992700633;0.010216697565087;0.100455713341119;0.392739940799185;0.258857932699506;4.04999999999973;0.149999999999999;57.5899999999965
"6";0;0.0696663958274414;0.286263435003591;0.00989083675893937;0.0989469944585388;0.391394460353983;0.26506259940742;5.04999999999973;0.14;59.320000000007
"7";0;0.0700285581783001;0.287749780624506;0.0100338948725903;0.0996300537243048;0.391367157482341;0.267112475862136;5.99999999999909;0.109999999999999;62.4900000000052
"8";0;0.0717133182408366;0.292101175055097;0.010364620500386;0.101119670621564;0.391256644969179;0.270348861673199;6.73999999999933;0.14;64.9900000000198
"9";0;0.07176615252759;0.292463924153067;0.0103554086269135;0.101073303670318;0.391838621117791;0.269687587015395;7.76999999999953;0.18;70.9300000000221
"10";0;0.0722861220311125;0.294250207495648;0.0104677306580347;0.1015847872952;0.391859046250186;0.271139104197904;8.27999999999975;0.18;71.5000000000291
"11";0;0.0729785578995603;0.298943616809822;0.0105989710766721;0.102021573266439;0.391895804312611;0.272663667971198;8.82999999999993;0.18;72.8800000000047
"12";0;0.0739456866771061;0.299070242858411;0.0107373214545467;0.102523043166096;0.391894005403918;0.27368296772986;9.55000000000018;0.209999999999993;74.2899999999936
"13";0;0.0738016608801552;0.298178900522396;0.0107043994732071;0.102352146600792;0.391736674897121;0.273436955453254;10.2399999999998;0.179999999999992;75.3399999999965
"14";0;0.0723725477799555;0.295044097086126;0.0102176249709704;0.100263345107831;0.389920676263889;0.268417837992722;10.9399999999996;0.199999999999988;79.4499999999971
"15";0;0.0721458314429294;0.291833706532377;0.0101729284135521;0.0999415407687343;0.39006365385564;0.267829871297639;11.4999999999995;0.249999999999986;80.7200000000012
"16";0;0.0722418911434247;0.292719355497488;0.0102110694774065;0.100176794093707;0.390456027500285;0.26821039922233;12.2799999999993;0.279999999999987;85
"17";0;0.0727591253497758;0.293043957244513;0.0102473438801011;0.100244119794537;0.390332404212348;0.268303978510517;12.9099999999994;0.289999999999985;86.5900000000111
"18";0;0.0724169773344274;0.29103854703604;0.0101098812137981;0.0997022242362058;0.391643183690278;0.266640158554213;13.6699999999992;0.319999999999986;90.0900000000111
"19";0;0.0728048593340137;0.291911794963256;0.0102848956786829;0.100466411068094;0.391902512176306;0.268797895344255;14.079999999999;0.319999999999986;90.4700000000012
"20";0;0.0725859032483356;0.290745031826864;0.0101627475536312;0.0997947151454557;0.391899935625409;0.267191892541773;14.6499999999987;0.339999999999989;91.1100000000151
"21";0;0.0727466197914006;0.291080197222764;0.010162020758071;0.0996395510719;0.391341119972418;0.266999343540985;15.2999999999988;0.459999999999986;92.8399999999965
"22";0;0.0726390204681665;0.290663750062636;0.0101301329395669;0.0994584788000262;0.391437032701396;0.266774645336065;15.8699999999985;0.469999999999984;94.2000000000116
"23";0;0.0724736281407408;0.285307975987424;0.0100781756951472;0.0992043961665925;0.391911406313574;0.264823575008121;16.6299999999988;0.519999999999982;98.1100000000151
"24";0;0.0727897302088201;0.284687730064229;0.0101766904778652;0.0996784355578505;0.391740160081987;0.267645785652558;17.2299999999987;0.519999999999989;99.2200000000157
"25";0;0.073225300564675;0.285705489808408;0.0102783537318998;0.100111688626375;0.391717460541239;0.268612715016947;18.1099999999988;0.589999999999989;101.790000000008
"26";0;0.073085499202764;0.284138595099241;0.0102638097541798;0.100033573250149;0.39248153947181;0.267214100483799;18.7999999999988;0.599999999999987;103.950000000012
"27";0;0.0731794869587188;0.285402929809504;0.0102891598797821;0.100006428004286;0.392520216768297;0.266946810378035;19.329999999999;0.589999999999982;105.220000000001
"28";0;0.073504953760145;0.287134068341356;0.010335470855072;0.100182601078724;0.392331413721719;0.267500568800315;19.9899999999993;0.669999999999987;106.929999999993
"29";0;0.0733948448945303;0.287218829298925;0.0103622452707471;0.100302310932412;0.392315954046599;0.267912064375903;20.8199999999997;0.709999999999986;108.64999999998
