"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0694660185898457;0.2911975131132;0.00966810687157948;0.0983188395142105;0.39241076065762;0.250581513187997;1.84000000000003;0.0400000000000027;31.5499999999993
"3";0;0.0678200854980877;0.286728353471856;0.00914140665930516;0.0949638754245967;0.3912085752995;0.247914523621561;2.61000000000013;0.0600000000000023;33.0199999999968
"4";0;0.0679628734646062;0.2853243004791;0.00913202797300326;0.0949114606554438;0.391218844580469;0.247785297810888;3.43000000000018;0.0600000000000023;34.8699999999953
"5";0;0.0676962063593296;0.284670127344435;0.00911927415637255;0.0947251816559025;0.391237848597001;0.24687513353885;3.91000000000008;0.0800000000000019;35.8699999999953
"6";0;0.0680764183687163;0.284521710226294;0.00916979929153193;0.0949446401884199;0.39086581897635;0.247795059421767;4.54999999999995;0.130000000000003;37.7599999999912
"7";0;0.0681586210068458;0.284670588553087;0.00919551992747057;0.0948337792951114;0.39086581897635;0.247657347091743;5.0899999999998;0.190000000000001;38.4499999999971
"8";0;0.0693233111354794;0.286983815232229;0.00951043859030182;0.0962516129370533;0.390972101700556;0.250293137778596;5.71999999999991;0.240000000000002;40.2800000000025
"9";0;0.0692408424980093;0.286339177790111;0.00950438980544863;0.0961648733844887;0.391095385073639;0.24982518021462;6.34999999999979;0.240000000000002;41.4900000000026
"10";0;0.0694148915984245;0.286176520336105;0.00954517577192178;0.0962962232984115;0.391079795669168;0.25005966244517;7.25999999999971;0.250000000000002;43.0799999999991
"11";0;0.0693139084544642;0.285332995659861;0.00948343162633717;0.0960401440333022;0.391079795669168;0.249391201386021;7.89999999999978;0.27;43.8099999999968
"12";0;0.0689267890374235;0.282824006307289;0.00942509649398599;0.0955601289629356;0.391083740484089;0.248390833805299;8.68999999999974;0.220000000000003;45.6999999999962
"13";0;0.0696086787723554;0.28650243890712;0.00949260590265927;0.0958176439877025;0.391262515385682;0.249753112442926;9.25999999999979;0.250000000000004;47.4999999999955
"14";0;0.0706859442010943;0.29220405491416;0.00964885478350708;0.0967582589439457;0.391099442268418;0.25303966570161;9.86999999999981;0.240000000000003;49.2499999999955
"15";0;0.070894838187881;0.293211142274636;0.0097486730377972;0.0971050910415976;0.391025859006673;0.253829289839121;10.3099999999998;0.230000000000001;51.4800000000005
"16";0;0.0715346814927728;0.294237182936717;0.00977366477869159;0.0972039237683353;0.391025859006673;0.254014055756156;11.0999999999998;0.220000000000001;53.1600000000008
"17";0;0.0717007414818746;0.29341086719084;0.00977094072239291;0.0970592059017827;0.390603519559874;0.253737003486565;11.8399999999998;0.200000000000001;55.6399999999967
