"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0670454078710448;0.276364543833084;0.00907968629812765;0.095219902833705;0.391086043376458;0.248324508905076;1.92000000000007;0.100000000000001;33.7200000000012
"3";0;0.0665226922118411;0.275556355054328;0.00892276582018258;0.0942961714780381;0.390997120585198;0.245309947793863;2.34000000000015;0.109999999999999;34.0599999999977
"4";0;0.0669642701578925;0.278530521370437;0.0088600954769926;0.0938425496688938;0.391215076313717;0.244016401709241;3.21000000000026;0.0600000000000022;35.4199999999982
"5";0;0.0669795563193715;0.277925389313559;0.00895920052747006;0.0943542257099497;0.390836157450225;0.246332940462831;3.7800000000002;0.120000000000001;35.5299999999989
"6";0;0.0673288325030669;0.282951652723423;0.00904311901977784;0.0946590415011337;0.39081625796451;0.24728548983659;4.58000000000015;0.0900000000000034;37.1299999999974
"7";0;0.0672581009002416;0.281731312688505;0.00903285556304685;0.0945177161112896;0.390837101654517;0.24684927911903;5.04000000000019;0.120000000000001;38.7599999999948
"8";0;0.0675434156023467;0.278648417543907;0.00907391803510762;0.0945383261840756;0.390837101654518;0.248195566393057;5.91000000000031;0.160000000000004;40.8599999999933
"9";0;0.0684686748033275;0.280496975392908;0.00922601820713559;0.0952158171560647;0.390597881025362;0.24984532089276;6.65000000000032;0.180000000000003;42.1199999999954
"10";0;0.0688671696248242;0.283578473655387;0.00941083997491271;0.0957685938115399;0.390273392328273;0.253663395662695;7.12000000000012;0.210000000000004;43.75
"11";0;0.0689641459644895;0.284032296451269;0.00941890068132514;0.0957231993050726;0.390273392328273;0.253441080186773;7.73000000000025;0.290000000000003;44.6500000000087
"12";0;0.0690449185755118;0.284771081035533;0.00945277455474525;0.0958663923807083;0.391326175667858;0.253567656421537;8.3900000000001;0.290000000000003;46.5200000000114
"13";0;0.0696427507532078;0.286316454177225;0.00952908828902278;0.0962889715992621;0.391341783527714;0.254669733685589;9.11000000000013;0.289999999999999;47.5200000000114
"14";0;0.0695912635787981;0.28479667220808;0.0094701088262721;0.0960027227639599;0.391341783527714;0.255353199470962;9.44999999999982;0.289999999999996;48.1600000000108
"15";0;0.0700834476423773;0.287007471368832;0.00961146756702976;0.0965165229793941;0.391341783527714;0.257155816648915;10.0599999999999;0.279999999999998;49.5299999999989
"16";0;0.0695939885788416;0.28572497660649;0.00939905042816781;0.0954267608095548;0.391049453312478;0.255234695019786;10.75;0.329999999999998;50.8799999999974
"17";0;0.0692738318036182;0.283508538660514;0.00933507602600261;0.0951061662463346;0.392342916778423;0.254018794795626;11.4400000000001;0.329999999999998;52.239999999998
"18";0;0.0698300223504182;0.283534031651306;0.00937394102140051;0.0953288045277645;0.392540283431275;0.255792782633612;12.0199999999998;0.370000000000001;53.6200000000026
"19";0;0.0694019176979342;0.277755162768686;0.00932790449970998;0.0950396667585139;0.39270046238012;0.253963212514916;12.6899999999996;0.370000000000001;56.2600000000021
"20";0;0.0693577478287597;0.276173202899257;0.00930122896109352;0.0948947655877844;0.39390060555616;0.252427123410878;13.3099999999995;0.370000000000001;58.9700000000012
"21";0;0.0699512232346924;0.278255084665107;0.00940040945907944;0.0952224553900811;0.39390060555616;0.253139851102458;13.8899999999994;0.400000000000002;59.830000000009
"22";0;0.0700322261297257;0.278466156705924;0.00940849870142818;0.0952582627854924;0.393837700996893;0.253500557231693;14.5199999999993;0.469999999999999;61.6800000000076
"23";0;0.071130057642823;0.28026042461581;0.00965113157551344;0.0964403316578633;0.393838495644011;0.255815023602798;15.1099999999992;0.469999999999999;63.1500000000088
"24";0;0.0714015095120747;0.285034027299565;0.00974719489566977;0.0967705349400331;0.39470471347456;0.255470889025986;15.7899999999991;0.480000000000001;64.6400000000067
"25";0;0.071238978197932;0.284623711139272;0.00969698916685242;0.0964694678650593;0.394726021602169;0.254715085579468;16.4999999999991;0.480000000000001;65.9500000000117
"26";0;0.0720163095247265;0.286806533351899;0.00981200760490031;0.0971242176465818;0.394807172934974;0.256302961175189;17.3399999999992;0.440000000000001;68.2200000000085
"27";0;0.0720163095247265;0.286806533351899;0.00981200760490031;0.0971242176465818;0.394807172934974;0.256302961175189;17.9299999999994;0.469999999999999;69.6700000000128
"28";0;0.072286438719507;0.289891718036376;0.00985567351878816;0.0972708329792945;0.394839126838641;0.25694500017937;18.5899999999997;0.479999999999997;71.0100000000093
"29";0;0.0721278644282604;0.287531753115279;0.00980848840111328;0.0970075662263558;0.395173042819323;0.256137563278762;19.2499999999996;0.479999999999997;74.9600000000137
"30";0;0.0724484208568067;0.28805949302442;0.00990446262527286;0.0973197015728163;0.395173042819323;0.256898628931292;19.9299999999996;0.469999999999995;76.3000000000175
"31";0;0.0727797588192625;0.289811543367786;0.0100096456918268;0.0977087185578043;0.395173042819323;0.257731620968125;20.5899999999997;0.440000000000001;77.0600000000122
"32";0;0.0732092083821056;0.291601777032883;0.0101286805060512;0.0981197276124606;0.394634872978746;0.259774893460947;21.2599999999995;0.470000000000002;79.180000000013
"33";0;0.0732052294602077;0.291373783671088;0.010117306741484;0.0980689622730461;0.394634872978746;0.259672564962757;21.8899999999995;0.470000000000002;80.6300000000131
"34";0;0.073232894581367;0.290907116874277;0.0101242298772654;0.0980418386671066;0.394646370852828;0.259353145809055;22.5099999999997;0.510000000000005;81.1500000000135
"35";0;0.0732586578495374;0.291053678738461;0.0101808101151253;0.0983836856696309;0.394660998596857;0.26072294355648;23.0899999999996;0.550000000000004;82.9300000000124
"36";0;0.072726947385095;0.289961746003737;0.0100812646578513;0.0978679576988921;0.394614547664264;0.259691533066041;23.8299999999996;0.540000000000006;84.0000000000121
"37";0;0.072726947385095;0.289961746003737;0.0100812646578513;0.0978679576988921;0.394614547664264;0.259691533066041;24.4899999999997;0.590000000000007;85.4700000000132
"38";0;0.0726840915181048;0.290263795968606;0.0101342686866427;0.0981183239982001;0.3946513520712;0.260159521391112;25.0600000000001;0.610000000000007;86.4400000000108
"39";0;0.0729871984925191;0.293863252306543;0.0102104695761149;0.0985326274021693;0.394444899500468;0.261938341194873;25.7199999999997;0.620000000000008;86.8300000000138
"40";0;0.0728739452378075;0.294511584842183;0.0102195971331085;0.0984934019838769;0.394348225832536;0.261833112398248;26.3399999999998;0.670000000000009;88.1800000000124
"41";0;0.0728237576727651;0.294215114694231;0.0101859676251386;0.0982543115269284;0.394187992413717;0.261302586428384;26.8999999999998;0.700000000000006;89.4200000000158
"42";0;0.0726317518718154;0.293589082373371;0.0101661700590606;0.0981286908791034;0.393324218310775;0.261703452679088;27.5599999999998;0.730000000000008;91.0900000000159
"43";0;0.0725888440260226;0.302572717503761;0.0101415967632558;0.0980478997970434;0.393815067113076;0.260915721196186;28.1699999999998;0.730000000000008;92.1600000000159
"44";0;0.0725888440260226;0.302572717503761;0.0101415967632558;0.0980478997970434;0.393815067113076;0.260915721196186;28.8399999999999;0.730000000000008;93.5800000000214
"45";0;0.0729356320650202;0.304010813558529;0.0102779907523206;0.0987467255010836;0.393792328565566;0.262773678747087;29.3099999999999;0.750000000000007;94.3200000000193
"46";0;0.0729940573403266;0.303978842138742;0.0102926471722366;0.0985698057844883;0.393948331406419;0.261687866748497;29.9900000000002;0.780000000000008;95.6200000000204
"47";0;0.0729054030666775;0.303717382767847;0.0102917857661823;0.0984606863731322;0.393948331406419;0.26162405262174;30.6400000000003;0.760000000000009;97.140000000019
"48";0;0.0728672613502977;0.303787495999874;0.0103064164957158;0.0985404743057697;0.393777833552548;0.26209376050916;31.2100000000005;0.730000000000008;97.8400000000198
"49";0;0.072664957406895;0.300766202237637;0.0102421424378073;0.0982317135274327;0.393730149617338;0.260975492915329;31.8200000000006;0.730000000000008;99.7700000000201
"50";0;0.0726600479116077;0.299537990995466;0.0102507489180069;0.0982147858964711;0.393757665823319;0.26089023562162;32.4100000000005;0.680000000000011;100.500000000021
