"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0654820679182788;0.270335061647161;0.00846683994387457;0.0918022816495216;0.39329367452765;0.241728573708462;1.81;0.0400000000000009;32.3300000000017
"3";0;0.0628505932100932;0.252152822596011;0.00797331631753461;0.0887308837302465;0.392230024208378;0.237927071891829;2.42999999999989;0.0500000000000007;33.5900000000001
"4";0;0.0603871346524593;0.24538420708908;0.00731862471530777;0.0849387858795682;0.390832502536825;0.231289972738203;2.99999999999989;0.0900000000000016;35.2200000000012
"5";0;0.0592176350849868;0.244747106628815;0.00704798732497916;0.0829986845973022;0.390814885579863;0.226457261743339;3.66999999999985;0.0600000000000005;37.3100000000013
"6";0;0.059665858497625;0.245927544721541;0.00719538541687201;0.0838564985857313;0.390820599318584;0.228788187443148;4.17999999999984;0.100000000000001;38.6700000000019
"7";0;0.0593969394805588;0.245195035767526;0.00718565285644448;0.0836319526073784;0.391094412270511;0.227233449600602;4.87000000000001;0.120000000000001;40.5099999999984
"8";0;0.0595983113626645;0.246196156768581;0.00722140655148858;0.0837963692665438;0.391060693302066;0.227650573115862;5.34999999999991;0.130000000000001;41.1499999999978
"9";0;0.0598214775727902;0.247051137528694;0.0072640357487827;0.0840027356882998;0.390435353448086;0.228810957266464;6.12999999999988;0.119999999999999;42.2199999999975
"10";0;0.0598112234730045;0.245678205159249;0.00721162374612055;0.0836791629213708;0.390163834539302;0.228728945570857;6.83999999999992;0.119999999999999;42.8999999999978
"11";0;0.0602110711588547;0.247053502555594;0.00727792846436773;0.0839837342131599;0.390049012588607;0.229399333570305;7.56999999999994;0.109999999999999;44.5899999999965
"12";0;0.0605471915252499;0.248021521313115;0.00738531154125974;0.0837693265375389;0.389970081931895;0.228319442527255;8.12000000000009;0.120000000000001;46.6699999999964
"13";0;0.0607437465146218;0.248409682432621;0.00735770094921724;0.0834104216281689;0.389934622695448;0.227902743066534;8.76000000000008;0.180000000000002;48.029999999997
"14";0;0.0606230018512127;0.247378466661353;0.00738982412241401;0.0836293772410587;0.389879113711934;0.228766024871353;9.40000000000007;0.210000000000003;50.3299999999963
"15";0;0.0613408265048399;0.249611954801208;0.00753806053488592;0.0842593154938419;0.389879113711934;0.229919226782063;9.98999999999998;0.200000000000001;51.9399999999969
"16";0;0.0616280993783583;0.249898454848698;0.00754948912021771;0.0841860977168211;0.389879113711934;0.229596537769867;10.61;0.210000000000001;53.3599999999988
"17";0;0.0625020902700316;0.251320485164177;0.00763087459325153;0.0847045797462936;0.389852250807028;0.230897115936872;11.25;0.240000000000002;55.0100000000002
"18";0;0.0622537566319955;0.251478217659539;0.00758137008360149;0.0843818837293158;0.389300067931099;0.230295339762123;11.89;0.240000000000002;58.0199999999986
