"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0697537215113155;0.294983345017304;0.00974940034087525;0.0986976328543497;0.392218911867121;0.25162157361747;2.32000000000005;0.0299999999999994;34.5699999999997
"3";0;0.0705577243122185;0.296059785629233;0.00988340633989883;0.0993633215206454;0.392393798230675;0.253474613820042;2.67000000000002;0.0399999999999992;36.3899999999994
"4";0;0.0709695783114253;0.297632802435933;0.00993055570112285;0.0995369668989545;0.39243357722682;0.253838442287901;3.25000000000006;0.0899999999999999;37.2800000000025
"5";0;0.0708563607709157;0.297154952408915;0.0098587729636016;0.0991734051952521;0.392039636112455;0.253561301150715;3.81;0.0899999999999999;37.9700000000012
"6";0;0.0708589165388686;0.295832044981152;0.00986349154299124;0.0991888921280028;0.392087119824219;0.253556304634676;4.32999999999993;0.16;39.2800000000025
"7";0;0.0720029145114466;0.297661798081124;0.0100795845469774;0.100212969106707;0.392126686169787;0.256079961041633;4.83999999999992;0.199999999999999;39.940000000006
"8";0;0.0722316958898779;0.300210946465962;0.0101663597683045;0.100561012533805;0.392118264872352;0.256896099811581;5.38999999999987;0.199999999999999;40.9200000000056
"9";0;0.0722073404623789;0.300141890745164;0.0101484849505103;0.100463230553631;0.392766797964175;0.256199990959893;6.00999999999988;0.199999999999999;44.1200000000063
"10";0;0.0720171058653595;0.297523726073083;0.0100976718893633;0.100153513910603;0.392760476193733;0.255389243160924;6.57999999999982;0.17;46.0200000000041
"11";0;0.0737128040475355;0.301286772604736;0.0103998712310593;0.101550165272078;0.392450634859812;0.259300466550566;7.19999999999982;0.25;47.3199999999997
"12";0;0.0738577084142395;0.3007424118247;0.0103624550676256;0.101248869660295;0.392435760572338;0.25869085674766;7.73999999999978;0.270000000000001;49.0199999999968
"13";0;0.0742691670018047;0.301728466856375;0.010500121392264;0.101628679732743;0.39241417580382;0.260164304915284;8.33999999999981;0.300000000000001;49.7999999999993
"14";0;0.0742344673190564;0.301895953303543;0.0105368977088783;0.101811793276183;0.392394617768165;0.260643115808276;8.9299999999999;0.320000000000002;52.3499999999986
"15";0;0.0745000829281979;0.303755081497186;0.0105288222630732;0.101682460798808;0.392227712590024;0.260375741589198;9.58999999999986;0.310000000000001;53.8800000000011
"16";0;0.0746869623903052;0.307578047063557;0.0106419952901878;0.102172952584075;0.391648452977246;0.262991396027434;10.2099999999998;0.379999999999999;55
"17";0;0.075350637404946;0.311547660968878;0.0108206885772307;0.103000458529619;0.391648452977246;0.265514921293293;10.8599999999999;0.389999999999999;56.4799999999996
"18";0;0.0751318466771403;0.312050229560054;0.0108325256423992;0.10305053908725;0.391076993995443;0.267947628776594;11.4399999999999;0.35;58.7900000000009
