"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0691523586592779;0.292314338743878;0.00967247194868063;0.098122009255856;0.392368000124312;0.250231824694923;1.81999999999999;0.0600000000000005;33.8899999999994
"3";0;0.0699367096911221;0.293086370015617;0.00975159915517093;0.0984942635128054;0.391699841538294;0.252438084319768;2.36000000000001;0.0999999999999996;35.8500000000022
"4";0;0.0704683481380282;0.292725797851466;0.00972114704179645;0.0982723858241978;0.391277026840446;0.252801961038728;2.98000000000002;0.130000000000001;36.4900000000016
"5";0;0.0701066910159986;0.292145186512851;0.00964536551707765;0.0978685776380306;0.391216928172282;0.254296491157174;3.60000000000014;0.100000000000002;38.1200000000062
"6";0;0.0701990163641419;0.290918237935718;0.00964987041298051;0.0975412566986309;0.391276153437201;0.253080082319536;4.21000000000004;0.130000000000001;38.7700000000041
"7";0;0.0717326302043523;0.29525583005053;0.0101264257750696;0.0994928107279435;0.391105533131545;0.258321723531606;5.04999999999996;0.130000000000001;40.1600000000035
"8";0;0.0711731875209413;0.293269121747583;0.00995922109084262;0.0985525851648675;0.391086081279766;0.25699300197887;5.87000000000001;0.130000000000001;43.0800000000018
"9";0;0.0714144700966164;0.293131269505806;0.0100644082321024;0.0989253383060049;0.391912608896641;0.257316712889522;6.47000000000003;0.180000000000002;44.4700000000012
"10";0;0.0718057201905213;0.294172675305098;0.0101406351945169;0.0992709603817113;0.39159199122472;0.259527215558071;7;0.18;46.1999999999971
"11";0;0.0721369332799978;0.295315032936163;0.0101840455875872;0.0994709963455995;0.391713827233195;0.260385450063653;7.56000000000006;0.189999999999998;47.4899999999907
"12";0;0.0726299325126358;0.297065800985558;0.0102863100299782;0.0999684145031337;0.391037630798818;0.262494930986032;8.24000000000013;0.209999999999997;53.3299999999872
"13";0;0.0720574207859506;0.298336831710591;0.010115045530597;0.0992836652295171;0.390450887659629;0.261262500788931;8.9100000000002;0.209999999999997;59.2999999999811
"14";0;0.0724928649040658;0.30345773219086;0.010266078601503;0.0999461119433788;0.390344263764787;0.263951399730765;9.50000000000012;0.189999999999998;61.0499999999884
"15";0;0.072509068862429;0.303594805433606;0.0102727066859024;0.0999882127622222;0.39043658198162;0.264005663386478;10.1300000000001;0.219999999999999;63.3699999999881
"16";0;0.0724766117774232;0.302742638258517;0.0102673373749947;0.0999312324410373;0.390378434853732;0.264031605090973;10.6999999999999;0.220000000000001;64.7499999999855
"17";0;0.0724303401230793;0.303831632548383;0.0103283211581746;0.100092917114783;0.390376677093528;0.264926383738694;11.5299999999997;0.250000000000002;65.6199999999954
"18";0;0.0727376356550695;0.304648833358197;0.0104146274688209;0.100459078704117;0.391092657358113;0.264824107943344;12.0999999999997;0.250000000000002;67.3399999999965
"19";0;0.072066114764358;0.301870592564683;0.0102271162195783;0.0996719115948349;0.392431187176446;0.262729054319858;12.7799999999996;0.280000000000001;71.6800000000003
"20";0;0.0722786541842205;0.302956013733449;0.0103003957315926;0.0996577534511026;0.392339049136605;0.262477380921345;13.1499999999998;0.310000000000002;72.8199999999924
"21";0;0.0722847169473479;0.304483258697136;0.0104142073559668;0.100123755452886;0.392334918985965;0.264112493829155;13.7699999999996;0.350000000000002;73.5999999999913
"22";0;0.0725671222391389;0.305022512805385;0.0104521296694602;0.100209430163009;0.392323239838037;0.264170660101408;14.4199999999996;0.340000000000002;75.1999999999971
"23";0;0.0726228889888325;0.304274761514324;0.0104444746818513;0.10013000193766;0.391911186151543;0.264251124042824;15.1199999999997;0.340000000000002;76.5699999999997
"24";0;0.0727680913216833;0.304615518234675;0.0104612091877516;0.100221216989363;0.391911186151543;0.264603036122626;15.5599999999997;0.370000000000001;77.7700000000041
"25";0;0.0726146829047196;0.304328117976487;0.0104048118611522;0.0999570985916646;0.391911186151543;0.263890584381341;16.1399999999998;0.35;78.8300000000017
"26";0;0.0731212357331904;0.30599727929822;0.0105040160228497;0.100335980066972;0.392093498835641;0.264436719886678;16.8399999999997;0.36;79.8500000000058
"27";0;0.0732064271879142;0.305705436647146;0.0104724617284133;0.10015731427066;0.392099982884327;0.264143876642683;17.5599999999998;0.390000000000003;80.4700000000012
"28";0;0.0735155520367518;0.307931460112859;0.0105593142988114;0.100494197543262;0.391946795168055;0.265947432097255;18.1599999999999;0.420000000000002;81.5900000000038
"29";0;0.0729091961948922;0.305033858751777;0.0103819283137798;0.0998653261044342;0.39317305737737;0.263786538624578;18.8499999999998;0.450000000000001;84.0900000000038
