"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0686247084266331;0.282534128427288;0.00942267748466048;0.0964951352711076;0.391674193671019;0.255148649101934;1.97999999999957;0.0499999999999971;33.9199999999983
"3";0;0.0686448801264363;0.28609345886246;0.00943281556126976;0.0965382901028504;0.391644219020902;0.255334451770317;2.6899999999996;0.109999999999985;40.8399999999965
"4";0;0.0692523460388053;0.28730272754828;0.00955354195202218;0.0971939448037551;0.391411181025108;0.257915743974134;3.22000000000025;0.129999999999996;42.1399999999994
"5";0;0.0691762214623774;0.286547081168876;0.00956789192312146;0.0971682550866141;0.391537121615791;0.257650062674532;3.83999999999969;0.189999999999998;43.3300000000163
"6";0;0.0698034180746805;0.287942256449583;0.00972710882810549;0.0977979954269927;0.391635432293181;0.260650314980271;4.50999999999976;0.150000000000006;45.6900000000314
"7";0;0.0703881573723613;0.288920308630098;0.00985364793145417;0.0985035486254617;0.391219778670259;0.264152201201213;5.07000000000016;0.219999999999999;47.6200000000244
"8";0;0.0714265287803765;0.292606232802622;0.0100922988197158;0.0998023929542176;0.391251616038775;0.267525785790149;5.71000000000049;0.189999999999983;48.7700000000186
"9";0;0.0711548215202399;0.2912733947341;0.00996049497036309;0.0989878931277724;0.391279725312242;0.265926682817095;6.44000000000006;0.179999999999964;49.7700000000186
"10";0;0.0708793639304304;0.288943417369311;0.0097794161554469;0.0980010954819048;0.391166054274076;0.263539076477233;7.10000000000036;0.239999999999966;52.1000000000204
"11";0;0.0705005786642727;0.287291701473309;0.00970128509749795;0.097534242515681;0.391172778718644;0.262474637357401;7.73000000000047;0.249999999999972;54.1400000000431
"12";0;0.0704223394113143;0.287333821577965;0.00972792755479171;0.0976248123899956;0.391191667466067;0.262737599952742;8.50999999999976;0.289999999999978;54.1500000000379
"13";0;0.0704289047332255;0.289327715720049;0.00983354091023489;0.0979705062812799;0.390987588249635;0.264050378262261;9.08999999999969;0.299999999999954;56.1700000000419
"14";0;0.0711212207679773;0.292520370990148;0.0100724470120173;0.0992369290204567;0.390666274421905;0.267211077682266;9.88999999999987;0.269999999999968;58.3800000000338
"15";0;0.0707629013936321;0.289654604387931;0.0100163848111868;0.0988687604493203;0.390682922386723;0.265962789824744;10.4799999999991;0.389999999999972;60.0600000000268
"16";0;0.0709352933461928;0.289259662960343;0.0100525269040804;0.0990526137093399;0.390735207089452;0.266473792534125;11.0599999999986;0.399999999999977;61.5300000000279
"17";0;0.0705322474009585;0.292302939663703;0.00982838853237511;0.0981284053498397;0.389114034759165;0.266155467904711;11.7399999999984;0.399999999999977;64.3100000000413
"18";0;0.0712999756518649;0.292891629916562;0.00978881875151366;0.0979011248585395;0.388974741986633;0.265923857900392;12.3599999999983;0.390000000000001;65.8200000000361
"19";0;0.0716178256681887;0.294006426537574;0.00986713617110493;0.0981650414380536;0.388915867721924;0.266313287044744;13.0599999999981;0.429999999999993;67.940000000046
"20";0;0.0722153393740277;0.302808648975241;0.0100027023446708;0.0988525875358184;0.388901041185046;0.267997660828292;13.6299999999983;0.409999999999982;69.690000000046
"21";0;0.0728408643225735;0.304055980200474;0.0101303539352019;0.0994135287833241;0.388901041185046;0.269286981798117;14.2799999999984;0.359999999999985;70.5200000000332
"22";0;0.0728338900108914;0.304057992617773;0.010116964470317;0.0993237059223717;0.388954480863175;0.269221761904942;14.969999999998;0.379999999999967;71.2400000000343
"23";0;0.0728614982699641;0.304474649606688;0.0101228638959556;0.0993523113947871;0.388993262726712;0.26927254368571;15.679999999998;0.379999999999967;73.3600000000297
"24";0;0.0725179256602783;0.303816934007564;0.0100089023872165;0.0987163856649799;0.38902331610021;0.267130633693932;16.3299999999981;0.389999999999986;74.4300000000076
"25";0;0.0722172738303598;0.300685332302717;0.00993220404329966;0.0983401439469468;0.389045623183916;0.266747677085991;16.909999999998;0.459999999999994;75.320000000007
"26";0;0.0719277209823963;0.300182785167553;0.00988914514847304;0.0980141653779309;0.388095872406933;0.266463035066962;17.5399999999981;0.480000000000004;77.3000000000029
"27";0;0.0718883685213393;0.298437040282233;0.00989436596499483;0.09771555113934;0.387651328332157;0.265739523495167;18.2299999999982;0.490000000000023;78.7200000000012
"28";0;0.0721437226583327;0.297341840259385;0.00991160529384201;0.097800775623477;0.38778133661333;0.265872870842914;18.8799999999983;0.520000000000024;80.8899999999994
"29";0;0.0723937712317717;0.298199868730624;0.00999879393346405;0.0979303950913831;0.38763514081061;0.265868336033983;19.3999999999987;0.52000000000001;81.2200000000157
"30";0;0.0725491809077188;0.299453536727217;0.0100269020359202;0.0981046098933618;0.387992450801915;0.266129918276205;20.0899999999988;0.530000000000015;83.7900000000227
"31";0;0.0726365563038704;0.299427184222216;0.0100309376955016;0.0981200120883467;0.387793701307626;0.266273712421109;20.9699999999984;0.510000000000019;84.4799999999959
