"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0685701989588333;0.28823128235074;0.0093168101678609;0.0947363087239295;0.393061310261081;0.238764753991406;1.79000000000019;0.0499999999999971;33.0800000000018
"3";0;0.0677895083956172;0.28463686866538;0.00921694523887131;0.0939298952943771;0.39358803648816;0.236553119998115;2.46000000000004;0.0600000000000022;33.1800000000076
"4";0;0.068793474085468;0.284538893578358;0.00942761592720859;0.0952082314430808;0.393676812647324;0.240749158694467;3.01999999999998;0.100000000000001;33.9400000000169
"5";0;0.0697494027455395;0.283141053425542;0.00981247847031018;0.0963251123055491;0.393449560078492;0.24630521172386;3.63999999999987;0.130000000000003;35.2800000000134
"6";0;0.0697916879872351;0.284139192317279;0.00984121853976066;0.0964952437646281;0.393576214976328;0.246722645008914;4.19000000000005;0.110000000000006;37.3500000000204
"7";0;0.0696587801571949;0.28293183103579;0.00974060483904142;0.0956612665419497;0.393265072093213;0.245320716669135;4.76000000000022;0.120000000000004;39.3800000000046
"8";0;0.0706422033622446;0.283336026811793;0.0100248387241119;0.0969099773098421;0.393300599526385;0.247993617521031;5.3100000000004;0.0800000000000053;40.3800000000046
"9";0;0.0703754658131669;0.28233789316653;0.0100085090627157;0.0967998838439819;0.393251691768688;0.248165449125238;5.86000000000058;0.100000000000008;41.7800000000134
"10";0;0.0704561690602571;0.284476637436532;0.0100833369851797;0.0971773999337056;0.393159186583473;0.249677248748017;6.56000000000086;0.130000000000002;42.3399999999965
"11";0;0.0694209433097297;0.281993412579031;0.00969421019942507;0.0953576970157;0.392199791004608;0.247015473678494;7.28000000000111;0.170000000000002;43.2899999999936
"12";0;0.0696625351681114;0.281761675764966;0.00969920266506456;0.0953786945660447;0.391925191503658;0.247460557947763;7.92000000000098;0.18;44.8499999999767
"13";0;0.0697264250524074;0.281763557405833;0.00970164532583759;0.0953505715780862;0.391900364354552;0.247332740624078;8.54000000000076;0.170000000000002;45.1199999999735
"14";0;0.0699732147798656;0.282410222580847;0.00973411696560421;0.0954125766925583;0.391899352393871;0.247468733360868;9.19000000000085;0.170000000000002;46.2199999999793
"15";0;0.0699677230917416;0.281679868656736;0.00973940636669209;0.095464872028;0.392459736540722;0.247115340971427;9.86000000000092;0.170000000000002;48.7099999999846
"16";0;0.0698068964094126;0.281277253960466;0.0096725428451353;0.0950455385257305;0.392459736540722;0.246174693993905;10.6000000000012;0.210000000000001;50.6200000000026
