"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0680090892647681;0.284737641626535;0.00932990767497554;0.0948886075173243;0.393826294227392;0.238919433951992;1.8;0.08;34.81
"3";0;0.0671658683098925;0.279132095929058;0.00913516448390008;0.0932365075370799;0.393556289671218;0.236053678274991;2.53000000000001;0.15;36.25
"4";0;0.0679387230156692;0.28038425904117;0.0092884043865847;0.0941718502952749;0.393570557417014;0.238721836621875;3.22;0.17;37.6000000000004
"5";0;0.0693425979420763;0.276787384544336;0.00966202050796814;0.0952755131239315;0.39361876846513;0.242425331271087;4.41000000000003;0.210000000000003;40.1999999999866
"6";0;0.0694060953962037;0.277461426799679;0.00967720708545547;0.0954246444471945;0.393610669929813;0.243330205417005;4.9099999999999;0.220000000000004;41.219999999988
"7";0;0.0694682854381013;0.276589727523514;0.00968272972156217;0.0954770708177739;0.3941774387195;0.242696356906974;5.50999999999981;0.240000000000007;44.0299999999856
"8";0;0.069265000635357;0.278163842731902;0.00956085733686273;0.0947710267834272;0.393811404059677;0.241380866077623;5.58999999999968;0.260000000000012;45.1799999999835
"9";0;0.0696964469971029;0.280445814668618;0.00960308529827166;0.0949558558113848;0.393909196343684;0.241672796203929;7.25999999999973;0.290000000000016;50.2199999999739
"10";0;0.0697899688426691;0.280329806209323;0.00965967399018489;0.0952815238058299;0.393896780319378;0.24344346621538;9.75999999999973;0.410000000000016;64.4399999999732
"11";0;0.0706519527000248;0.284579209235165;0.00982385254279932;0.0957532307444774;0.39386266696969;0.24453040481327;10.3699999999999;0.390000000000013;65.359999999986
"12";0;0.0712633810299025;0.285593607109219;0.0100766501569138;0.0967302849163043;0.39385408600471;0.246774419143814;11.2299999999999;0.490000000000013;65.8099999999877
"13";0;0.071189483884968;0.28626703826006;0.0100837914875977;0.0967742987743134;0.393807823560122;0.247143470270553;11.4099999999998;0.500000000000018;60.2899999999909
"14";0;0.0711002380498154;0.285601106594451;0.0100757224869579;0.0965804458131442;0.393794523015344;0.245911269079973;12.0899999999999;0.570000000000015;61.6699999999892
"15";0;0.0715822391574894;0.286119828937523;0.0101301180626908;0.096773228944729;0.393738953232152;0.246339279353174;12.73;0.620000000000012;63.1200000000008
"16";0;0.0712194440876925;0.285561856207413;0.00997147761125212;0.0959449170948141;0.393460732592148;0.244409489303812;13.09;0.610000000000016;64.1100000000042
