"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0683871833000275;0.282386753952625;0.00943053645549494;0.095678889395022;0.393546830083402;0.241908443554585;1.89999999999986;0;32.0299999999988
"3";0;0.0680141143479871;0.279200561610799;0.00937286099202178;0.0950500535959456;0.393669452164715;0.240312110430216;2.44000000000005;0.0500000000000042;33.8499999999913
"4";0;0.0699670387686483;0.281239979277452;0.0097703180995896;0.0962918131411383;0.393590266611721;0.242774752788011;3.02999999999997;0.119999999999997;36.0699999999924
"5";0;0.0701278024194724;0.282035773405388;0.00974878642280055;0.0960310974775273;0.39359498746776;0.242301110457416;3.55999999999995;0.149999999999999;36.9599999999918
"6";0;0.0701585762987819;0.281278192138779;0.00975536657463397;0.0961095387824457;0.394042924697036;0.24210366436497;4.18999999999983;0.18;39.0699999999924
"7";0;0.0706235316057588;0.279437296018678;0.00991299265462694;0.0965593435817454;0.393903727887922;0.244558766492359;4.84999999999968;0.220000000000006;40.8099999999831
"8";0;0.0708882510045685;0.279740862844705;0.00994610108621849;0.096772789655559;0.393994022723257;0.245675890134336;5.48999999999955;0.260000000000012;42.9999999999854
"9";0;0.0707268953955507;0.279086132504087;0.00991827170204516;0.0965220772675488;0.393782433299029;0.245558596971801;6.06999999999948;0.300000000000018;44.6899999999877
"10";0;0.0701082345163114;0.279461269526;0.00979893205898611;0.0958959453921993;0.393983856959206;0.244098928668091;6.70999999999958;0.290000000000028;45.0299999999697
"11";0;0.0709702183736671;0.283710672551842;0.00996311061160053;0.0963676523308468;0.393949743609518;0.245185867265981;7.31999999999971;0.270000000000024;45.9499999999825
"12";0;0.0708345045702194;0.283756162258513;0.00993935784560843;0.0962007684329717;0.393913927533005;0.244683295985671;7.88999999999987;0.340000000000025;46.6799999999785
"13";0;0.0705464274892803;0.282792221510977;0.00983429638321031;0.0956803554404216;0.393714384374409;0.243791212910532;8.58999999999992;0.360000000000028;48.2399999999761
"14";0;0.0704571816541277;0.282126289845368;0.00982622738257051;0.0954865024792524;0.393701083829631;0.242559011719952;9.2700000000001;0.430000000000025;49.6199999999744
"15";0;0.0709391827618017;0.28264501218844;0.00988062295830337;0.0956792856108372;0.393645514046439;0.242987021993153;9.9100000000002;0.480000000000022;51.0699999999861
"16";0;0.0709012841424126;0.279217083154271;0.00977868088530799;0.0951371773492086;0.393525337676181;0.242357989027829;10.6800000000004;0.450000000000021;54.0599999999913
"17";0;0.0697402345978192;0.276517172377838;0.00948474462916813;0.0939968742487325;0.39347189040766;0.239489950895292;11.1900000000004;0.530000000000026;55.0199999999977
"18";0;0.0700249419383078;0.277163994282866;0.00951481724081371;0.094086413759909;0.393458098218811;0.239641314500132;11.8500000000003;0.51000000000003;56.1400000000076
"19";0;0.0700508093021472;0.277712530340593;0.00953743953554833;0.0942048074918446;0.392950943808546;0.240381222813243;12.3900000000002;0.520000000000028;56.6500000000169
"20";0;0.0703676302779324;0.281120598179729;0.00957838345928932;0.0944259061156574;0.393025884164672;0.241963200718167;13.0499999999998;0.51000000000003;58.0900000000047
"21";0;0.070213525532083;0.28148791321816;0.00954757361017913;0.0942267436771203;0.393025884164672;0.241425628584879;13.7599999999999;0.550000000000029;60.4100000000117
"22";0;0.0710852857824423;0.285283446735872;0.00971980974403761;0.094841304441133;0.39304559394206;0.242679211948609;14.2799999999999;0.600000000000033;62.5499999999966
"23";0;0.0710253347136958;0.285088916351373;0.0097160336431241;0.0948061587519603;0.39304158953046;0.242593459767275;14.89;0.610000000000031;63.5600000000059
