"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0684824584842418;0.285717397823244;0.00939827372116399;0.0960990051776312;0.393697902464069;0.243734115984178;1.88000000000011;0.0299999999999976;33.4699999999939
"3";0;0.0687491055887056;0.286089413476997;0.00938854025480816;0.0945764439957365;0.393727207634215;0.238235229073171;2.64999999999964;0.0299999999999976;37.0100000000093
"4";0;0.0685503673679933;0.286601805328307;0.00938237692186314;0.094442651198902;0.393704975668713;0.237877873932682;3.24999999999955;0.100000000000001;36.8300000000017
"5";0;0.0691308928769977;0.285343846648583;0.00971303344821784;0.0946468319022496;0.393819688698365;0.241149328191569;3.78999999999974;0.130000000000003;36.3699999999953
"6";0;0.0689181379408682;0.282622451864236;0.00965195866767485;0.0941214322188834;0.393316336489452;0.240896880806265;4.33999999999969;0.0900000000000034;38.2900000000081
"7";0;0.0685655454927619;0.280754858346944;0.0097190428279938;0.094476007735738;0.393277419968278;0.24208877918912;4.96000000000004;0.150000000000002;40.0899999999819
"8";0;0.0689350726367433;0.283505707872271;0.00992312195326539;0.0950279864186454;0.393054727655384;0.243018723388942;5.50000000000046;0.16;41.5099999999802
"9";0;0.0690325913219067;0.282877303712276;0.00993526660148389;0.0951444025146143;0.393624473449333;0.242756071827011;6.20000000000027;0.16;43.4099999999816
"10";0;0.06899561760266;0.282599764912966;0.00987786330892506;0.0947738754203926;0.393573596260489;0.241908941012734;6.80000000000018;0.140000000000001;45.5799999999944
"11";0;0.0703843226704146;0.287159623124248;0.010068255818233;0.0957560959778783;0.393384077802824;0.244918494361383;7.38000000000011;0.120000000000001;47.6800000000003
"12";0;0.0695324027216724;0.283055050433517;0.00976503372987313;0.0941470279818302;0.392403073825466;0.242936158173665;8.00999999999999;0.180000000000003;48.6400000000212
"13";0;0.0693615555887582;0.283917737476489;0.00974377065578921;0.0939777342058246;0.392389993792323;0.242358360472831;8.70999999999981;0.150000000000002;50.3300000000236
"14";0;0.0690696022724234;0.285387458703465;0.00973451509530487;0.0939129459326183;0.392802636048376;0.242973596613278;9.31999999999994;0.180000000000003;52.0100000000311
"15";0;0.0687180145617537;0.283206029637526;0.00954948302477837;0.0932636066218693;0.392727057187124;0.242152129680207;10.0199999999995;0.200000000000006;52.860000000037
"16";0;0.0687967563581389;0.282482596573131;0.00956115808982825;0.0933363582926018;0.393858394345074;0.241710936512372;10.7699999999995;0.210000000000008;59.1000000000422
"17";0;0.0686936698394566;0.282290949214765;0.00956016640339122;0.0933272432043235;0.393918148212553;0.24168913058031;11.3299999999997;0.270000000000007;59.9000000000306
"18";0;0.068581225332331;0.28265908222415;0.00949046929891223;0.0931564621779806;0.393675349032655;0.241570008270404;11.9899999999996;0.280000000000005;61.8000000000393
"19";0;0.0697221756177305;0.284575669468387;0.00976917086381864;0.0944435373768762;0.393707577068596;0.244139872518816;12.5999999999997;0.270000000000003;64.2600000000311
"20";0;0.0701441935664128;0.285846654401759;0.00985353645655061;0.0949551721181505;0.393707577068595;0.245751948539909;13.2099999999998;0.320000000000004;65.2300000000323
"21";0;0.070256465738898;0.285880322237449;0.00983326949644261;0.0947167006508884;0.393776115962455;0.245184896044438;13.7599999999998;0.310000000000006;66.5500000000393
"22";0;0.0703355520489741;0.286390585483641;0.0098589722719183;0.0948555167982676;0.393512802620959;0.245690187949069;14.4799999999998;0.320000000000004;69.9100000000399
"23";0;0.070248997230466;0.286144881650418;0.00987122689386043;0.0946100159329145;0.393457067723918;0.244806725525949;15.0499999999997;0.360000000000007;70.7500000000364
"24";0;0.0711104393890422;0.289416941821081;0.0100745763012447;0.0957060201964028;0.39340198029226;0.248173449539133;15.6599999999999;0.400000000000006;72.2800000000207
"25";0;0.0716649833214183;0.290878154491821;0.0101183245832154;0.0959793658650146;0.393390544157806;0.248911555300845;16.2;0.430000000000007;73.9300000000149
"26";0;0.0723211608285401;0.292296429037617;0.0102411036235188;0.0966694528769696;0.39337074141235;0.250593679897554;16.7399999999998;0.450000000000006;75.8700000000172
"27";0;0.0726023669874667;0.293373315477471;0.0102363162674131;0.0966321943827036;0.393357096294385;0.250565151104988;17.4099999999996;0.510000000000009;76.1400000000358
"28";0;0.0730389896723844;0.295296212960165;0.010365967281537;0.0972818669737194;0.392824132990043;0.253006660502394;17.8999999999996;0.530000000000012;77.1700000000201
"29";0;0.0728964948734215;0.295047932606818;0.0103646062232646;0.0972539965874431;0.392814203133826;0.252932622525055;18.5599999999997;0.490000000000013;78.5800000000167
"30";0;0.072891694666835;0.294862219210948;0.0103661398623279;0.0972632478831374;0.392825299810409;0.253106384906936;19.2599999999998;0.480000000000011;79.4700000000134
"31";0;0.0725846644870704;0.296919386862882;0.0102095488095603;0.0964476317979392;0.392758247992181;0.251389755422086;19.8999999999999;0.500000000000014;80.3800000000169
"32";0;0.0730477005704747;0.299866617791008;0.0103079957468664;0.0969056794485402;0.392628157447636;0.253294117080296;20.53;0.490000000000009;81.6200000000221
"33";0;0.0729966890821428;0.299804618212276;0.0103034181735238;0.0968349057418841;0.392625672008426;0.252919590310641;21.1799999999996;0.530000000000015;82.9700000000207
"34";0;0.0728134068875907;0.301951813058286;0.0103051141217027;0.0967816063580572;0.392625672008426;0.252718622309106;21.9199999999996;0.540000000000006;84.140000000019
"35";0;0.072591191356655;0.296964213593887;0.0101627212363441;0.0963955789754598;0.394084109779021;0.250534094425308;22.5999999999999;0.540000000000006;85.9000000000174
"36";0;0.072629313654893;0.296870785670386;0.0101553863441343;0.0963501487346273;0.394078517171644;0.25045346894487;23.2400000000009;0.540000000000017;86.9200000000178
"37";0;0.0723675751942181;0.296092826786017;0.01011229144424;0.0961442912741948;0.394038262147385;0.25000666589879;23.8300000000004;0.530000000000012;88.2100000000191
"38";0;0.0727063293487129;0.297051187558765;0.0101868549846269;0.0965328780050961;0.393987544352017;0.251419309652543;24.5300000000007;0.550000000000018;88.9200000000182
"39";0;0.0729766451629637;0.296812149011511;0.0102610094913506;0.0968862373036588;0.393987544352017;0.252178239925211;25.1500000000003;0.570000000000014;90.170000000011
"40";0;0.072982108646616;0.296442645952481;0.0102429122612567;0.0967683861140573;0.393958768540178;0.251843259624933;25.7600000000009;0.560000000000009;91.2500000000091
"41";0;0.073523809643792;0.298332697321875;0.0103923618117411;0.0975383744669217;0.393995916405304;0.253381380452027;26.3100000000009;0.570000000000004;92.399999999996
"42";0;0.0732785450291314;0.29825329642448;0.0103680454141473;0.0974566360529303;0.393973747111012;0.253340848334907;27.0000000000002;0.589999999999996;93.100000000004
"43";0;0.0735112803877099;0.298791471720974;0.0104107380750272;0.0976275617621859;0.394067605336417;0.25368723489867;27.7800000000002;0.599999999999998;93.7000000000098
"44";0;0.0735208303127348;0.298708932907012;0.0104003231700449;0.0975532706373903;0.394089700223332;0.253480476640775;28.4199999999996;0.599999999999998;95.7600000000075
"45";0;0.0735937131063605;0.298838711873394;0.0104129516091899;0.0976380236852352;0.394091317770203;0.253687067153512;29.0699999999999;0.619999999999994;96.6200000000044
"46";0;0.0732702581548918;0.296898809242123;0.0103140114244174;0.0970821591616611;0.393220036405039;0.252675475233177;29.6700000000003;0.629999999999984;97.7900000000063
"47";0;0.0732837401186039;0.29706236787434;0.0103147561033688;0.0970859445886204;0.393171375187763;0.252750797056778;30.2900000000002;0.609999999999974;99.1899999999932
"48";0;0.0732364359118227;0.293677286585023;0.0102874260211467;0.0969852483993125;0.393340841938398;0.252419227434328;30.8700000000001;0.649999999999981;100.739999999996
"49";0;0.0731958022792357;0.293467742652084;0.0102905031284667;0.0969991486954556;0.393340841938398;0.252464930770952;31.5199999999998;0.659999999999986;101.869999999997
"50";0;0.0732697078784339;0.293763274674094;0.0102778957851562;0.0969314065208014;0.393304169062079;0.252779928477071;32.1899999999996;0.649999999999981;102.700000000006
"51";0;0.0732047353447782;0.292734583130935;0.0102504263489281;0.0967917616719159;0.393485770057642;0.252147027381635;32.8199999999996;0.65999999999998;104.120000000004
"52";0;0.0730609528908799;0.292533680945326;0.0101918404749754;0.0964602662626379;0.393212222432269;0.251618352580373;33.459999999999;0.659999999999995;105.560000000007
"53";0;0.0732413190378588;0.292789277411538;0.0102345066784724;0.0966552963884458;0.393859588453829;0.251650474887069;34.1299999999991;0.659999999999995;107.420000000007
