"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0647807531518733;0.261703666330208;0.00877288217555146;0.0932124597927442;0.39282613241229;0.237853425419831;39.3200000000001;0.609999999999998;2887.79000000001
"3";0;0.0646268763650179;0.259009222145064;0.00863715425696007;0.090622787580752;0.393194323168922;0.228968352466202;27.8100000000001;0.189999999999998;1919.42000000001
"4";0;0.0627155750895581;0.249937437151014;0.00801567267423579;0.0878689374071566;0.39147519197871;0.232181905844971;26.8800000000002;0.209999999999997;1791.78000000001
"5";0;0.0627648185554968;0.250865976833515;0.00808913475252164;0.0876277401359507;0.391477312538622;0.232009450411701;26.9900000000001;0.239999999999997;1764.36000000001
"6";0;0.0594925114082633;0.244596751256714;0.00741266079134111;0.0829801722391857;0.391558198898374;0.224070788690487;21.6300000000001;0.289999999999995;1382.98000000001
"7";0;0.0588220530499146;0.24407276404695;0.00720305648358519;0.0818976851080724;0.391134889303609;0.222758634478398;21.2900000000002;0.259999999999996;1313.36000000001
"8";0;0.0582648176446814;0.240730185963088;0.00700541532564738;0.0807683593637311;0.390952512164741;0.218744879700505;21.6400000000001;0.259999999999996;1294.58
"9";0;0.0579363730559934;0.238886420798766;0.00696602368269402;0.0804470977352179;0.390924089071538;0.218133224216058;21.0800000000001;0.249999999999996;1214.72
"10";0;0.057851676158007;0.238148477784936;0.00694599144932552;0.0802526325201912;0.390992035286858;0.218096183219442;21.5000000000005;0.249999999999978;1211.02
"11";0;0.0576129485598369;0.236183962103941;0.00683610083675463;0.0793372987514673;0.390697905763721;0.215958160310187;20.8100000000005;0.299999999999979;1140.7
"12";0;0.0571566783526796;0.234383265580105;0.00673890554964181;0.0788712184356789;0.390692700742494;0.214551501986642;21.2500000000006;0.389999999999981;1136.14
"13";0;0.0576007450425167;0.235903822989957;0.00686536541901256;0.0795010674820081;0.390583366368036;0.216014256123415;21.6200000000005;0.35999999999998;1112.82
"14";0;0.0574996809018284;0.235564831345303;0.00677706290363942;0.0792396700756825;0.390583366368036;0.215489285099476;22.1400000000007;0.370000000000001;1111.65
"15";0;0.0571817131705633;0.233127185871338;0.00675066082963432;0.078960956274822;0.390512719588249;0.214630123882369;21.9000000000006;0.39;1083.84
"16";0;0.0575750370563622;0.23208347418276;0.00676399304760131;0.0790594309689385;0.390334599778161;0.21507732972766;20.8800000000006;0.4;940.860000000001
"17";0;0.0575393131434902;0.231796959025645;0.00675964460937543;0.0789689703004228;0.390293066441462;0.214784681521485;21.3900000000005;0.470000000000001;938.139999999994
"18";0;0.0576410655382324;0.232536394721915;0.00690602471856953;0.0793374091775551;0.390293066441462;0.21564645860314;21.9700000000006;0.479999999999981;936.759999999996
"19";0;0.0581017548631335;0.235780694435506;0.0069880266315828;0.0798078069288355;0.390206621542632;0.21744894410871;21.4700000000005;0.549999999999982;911.499999999998
"20";0;0.0588751558925866;0.245736685928045;0.00718735047336999;0.0805515385732444;0.390225029008564;0.218985497214003;21.3000000000006;0.519999999999981;851.83
"21";0;0.0592022834574919;0.246410184762674;0.00726079253962748;0.0809087222699234;0.390211635336555;0.219568014961252;21.6700000000006;0.599999999999981;830.699999999996
"22";0;0.0588260476222999;0.243586022979075;0.00718347939276347;0.0804952350642035;0.390213302480657;0.218627010759357;22.1100000000006;0.629999999999982;821.969999999996
"23";0;0.0587870434294083;0.243270100037688;0.00720378791025679;0.0806092754654034;0.390245202676177;0.218923955164855;22.5300000000006;0.669999999999983;818.009999999994
"24";0;0.0589535937900855;0.243500340037541;0.00722798363668623;0.0806209478000693;0.390247859297094;0.219003287949755;22.2900000000005;0.689999999999964;812.909999999991
"25";0;0.0589277821452415;0.242412028422892;0.00721614372614793;0.0804898409716518;0.390163737408021;0.218777320064703;22.6800000000005;0.739999999999965;807.919999999993
"26";0;0.0587735472033778;0.240703829825021;0.00717936023382131;0.0802679490511594;0.390201854690967;0.218034143672338;23.2600000000001;0.739999999999965;805.729999999995
"27";0;0.0587147604781178;0.240711380616124;0.00716016628438626;0.0800661882657171;0.389976804149158;0.217535371534438;23.7100000000001;0.719999999999964;787.719999999993
"28";0;0.0590397824577947;0.241649183681637;0.00721683175537748;0.0803178435102273;0.390046660531568;0.218584656663404;24.0800000000001;0.729999999999964;780.359999999992
"29";0;0.0597968988846501;0.242872298984065;0.00734539874488801;0.0809316842110604;0.38997445925575;0.219616054464567;24.5900000000001;0.719999999999962;770.009999999993
"30";0;0.0595979499439518;0.242241556466871;0.00735307075358884;0.0809737522869532;0.389975155419448;0.219711306753966;24.7500000000002;0.739999999999962;757.749999999995
"31";0;0.0595054469011239;0.241996854098801;0.0073531921990372;0.0808066226276749;0.389975155419448;0.218944533836064;25.3900000000003;0.769999999999961;747.779999999994
"32";0;0.059697088337012;0.242580272103106;0.00738612828220017;0.0808880948906414;0.389975155419448;0.219081987210444;25.8899999999997;0.839999999999954;745.769999999992
"33";0;0.0598613991968859;0.242836405157118;0.0073827842216284;0.080864020020612;0.389977605677343;0.219020824221754;25.8399999999996;0.92999999999994;724.939999999983
"34";0;0.060003749469086;0.243430907927216;0.00743088790259641;0.0810985921182926;0.389988894658275;0.21950544601163;26.6900000000003;0.949999999999932;710.079999999982
"35";0;0.0600329861077337;0.243756251990786;0.0074418927821185;0.0811363997083636;0.389988894658275;0.219712062917412;27.2299999999999;0.929999999999961;709.289999999983
"36";0;0.0602116494266668;0.244113968296956;0.00751367856210924;0.0813916931570542;0.38989573383941;0.22011624255669;27.7900000000001;0.889999999999962;705.549999999987
"37";0;0.0602633973283218;0.244632733164755;0.00756938804423;0.0815612520483567;0.390011841387809;0.220468681868704;28.1800000000001;0.889999999999965;700.899999999989
"38";0;0.0601601392268792;0.244189148848847;0.00755840139902692;0.0814387574646643;0.390011841387809;0.219875592245436;28.7799999999993;0.929999999999977;697.289999999989
"39";0;0.0601471553352123;0.245993094732484;0.00754544548741125;0.081195715025551;0.389913005930495;0.219464128148219;29.5199999999994;0.959999999999989;688.329999999982
"40";0;0.060041173496225;0.245650294741884;0.00753682763037241;0.0811089135994254;0.389998595224416;0.219230377835852;29.8599999999991;0.999999999999981;681.479999999982
"41";0;0.0599728848697059;0.245473478943544;0.00752166986751789;0.0808408248996161;0.389998595224416;0.218210107285901;30.5999999999991;0.999999999999981;677.529999999987
"42";0;0.0601790513038798;0.245791310844353;0.00756160354715647;0.0809593822741094;0.389998595224416;0.218439235931227;31.199999999999;1.03999999999996;676.729999999988
"43";0;0.0603359194156649;0.246142126313166;0.00760469804479722;0.0811717708985176;0.389930974838875;0.21889865552783;31.8999999999979;1.09999999999997;669.459999999985
"44";0;0.0604134591583086;0.246842553550284;0.00763348371385009;0.0813015300317449;0.389943535623253;0.219169535505955;32.6199999999977;1.09999999999997;664.379999999983
"45";0;0.0604913951026682;0.246995843280851;0.00764315509436627;0.0813756067245944;0.389922121195875;0.219394790166368;33.1699999999984;1.13999999999995;662.749999999983
"46";0;0.0606130715838735;0.248512222739221;0.00767433298636992;0.0815354727286626;0.389922121195875;0.219994887075903;33.6599999999982;1.11999999999994;657.31999999999
"47";0;0.0608188814213896;0.248032405218282;0.00771056854216056;0.081655378282551;0.389922121195875;0.220363011300845;34.2099999999983;1.13999999999992;654.509999999994
"48";0;0.0608246934919249;0.247996777972352;0.00770323254125017;0.0815201584920884;0.389922121195875;0.220074430845992;34.7599999999991;1.13999999999993;651.71999999999
"49";0;0.0608844088725278;0.248141919222963;0.00771276226734783;0.0815489798957422;0.389922121195875;0.220127902466717;35.2999999999999;1.15999999999993;650.909999999989
"50";0;0.06115204651032;0.248386289498005;0.00776304657519185;0.0817738972113934;0.389922121195875;0.220582709391794;35.6399999999988;1.12999999999996;645.079999999989
"51";0;0.0611400266591612;0.248295218290633;0.00775623420986119;0.0817193857511216;0.38993622988762;0.220491238387003;35.8899999999989;1.10999999999997;641.149999999988
"52";0;0.0611700378976553;0.248446400289279;0.00774053206130102;0.081630538861769;0.389954676693785;0.220274695691184;36.4199999999989;1.13999999999994;638.809999999988
"53";0;0.0612439252856844;0.248661667758958;0.00774832140157559;0.0816409434116584;0.389989097885271;0.220269133204423;36.9700000000009;1.15999999999995;637.579999999992
"54";0;0.0614401941158763;0.249022792057874;0.00778714685010265;0.0818099901960259;0.389989097885271;0.220555120184417;37.3100000000005;1.16999999999994;635.839999999994
"55";0;0.0613805842015268;0.248727759856892;0.007778153892589;0.0817194555172681;0.389989097885271;0.220335548324392;37.7000000000007;1.17999999999994;632.339999999997
"56";0;0.0616351978279935;0.249673913858265;0.00785041596042919;0.0822907397474639;0.389984897960669;0.221679823002575;38.1000000000003;1.19999999999995;611.19999999999
"57";0;0.0615776094214514;0.249504642563296;0.00785002438190573;0.0822877792017726;0.389988385286663;0.221685326775099;38.5899999999992;1.25999999999996;608.419999999992
