"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0643588565256026;0.26388608334674;0.00867420547349416;0.0929730710573497;0.391086043376458;0.243135365083441;29.78;0.45;2355.56
"3";0;0.0638815420350318;0.264048548434322;0.00847692890878077;0.0919130229096129;0.390997120585198;0.239779970773087;29.8200000000002;0.499999999999997;2322.51
"4";0;0.0646944636428621;0.270336812870946;0.00861316078981469;0.0925984500256728;0.391215076313717;0.241312158938444;22.94;0.199999999999996;1694.91
"5";0;0.0650751176135788;0.270390689194918;0.0087210275583997;0.0931658730631499;0.390836157450225;0.243569378184156;21.8600000000004;0.249999999999996;1546.79
"6";0;0.0666368797462615;0.282367314071653;0.00903716684538139;0.094541021218328;0.39081625796451;0.247936247825937;20.8200000000004;0.269999999999992;1471.12
"7";0;0.0670806710433615;0.282554878345432;0.00916011085052852;0.0951177000999354;0.390837101654517;0.249310904323582;20.6400000000003;0.249999999999993;1403.56
"8";0;0.0675099742287122;0.282165997278134;0.00912751828983562;0.0947379486818254;0.390837101654518;0.249767108806481;19.7400000000005;0.389999999999994;1278.62
"9";0;0.0692810820280997;0.285675820079738;0.00937666366287213;0.0960713950588782;0.390597881025362;0.253231933413659;18.1300000000003;0.38999999999999;1104.95
"10";0;0.0689416453764043;0.280426044397098;0.00932425765122736;0.0955456427421724;0.390273392328273;0.253475065007012;18.3500000000004;0.409999999999989;1082.48
"11";0;0.0689192029902007;0.281296284640434;0.00932791727723589;0.095467575267097;0.390273392328273;0.253149310569103;18.9200000000005;0.419999999999991;1080.03999999999
"12";0;0.0690709051705762;0.282310655143423;0.00933642758026359;0.0954782594817213;0.391326175667858;0.252860716239164;19.3100000000002;0.419999999999991;1071.81999999999
"13";0;0.0690964634623385;0.282456175219776;0.00935409057767518;0.0955536659678599;0.391341783527714;0.253063870247872;19.3100000000004;0.47999999999999;1010.42
"14";0;0.0691007689091871;0.281550685057307;0.00933861946899404;0.0954440555265531;0.391341783527714;0.254279418060662;19.4800000000005;0.489999999999991;1000.02
"15";0;0.068564938466156;0.279945380787341;0.00929611250191982;0.0952760095102738;0.391341783527714;0.254278242658376;20.1700000000005;0.479999999999993;990.230000000011
"16";0;0.0687784635313563;0.280255641235702;0.00930690255945096;0.0952831151139963;0.391049453312478;0.254595627418209;20.7600000000005;0.429999999999993;969.590000000011
