"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0662525179630977;0.270307801434807;0.00922539456209593;0.0936612147396382;0.392412743478303;0.237880356925545;37.0899999999999;0.109999999999999;2859.99
"3";0;0.0660540103672267;0.269723657618808;0.00926091012427693;0.0937019327479979;0.392412743478303;0.237927183696131;37.61;0.16999999999998;2856.95
"4";0;0.0675970014289781;0.275433965058476;0.00953683075757066;0.094510722155487;0.39281976090984;0.239851046042725;26.0700000000001;0.519999999999978;1942.54
"5";0;0.0673851191295604;0.273822303543802;0.00947625844920229;0.0941849431763819;0.39281976090984;0.239041970264935;27.1200000000002;0.479999999999979;1939.24999999999
"6";0;0.0688294077050136;0.276138609423269;0.00963283330664189;0.0948970707996914;0.39300342510555;0.240763623460452;24.9700000000001;0.55999999999998;1678.30999999999
"7";0;0.068409357699348;0.273543272578769;0.00951851089880736;0.094279322685599;0.393033168753939;0.241276669484805;25.2300000000003;0.499999999999964;1655.32999999999
"8";0;0.0683630303100214;0.273428468711654;0.00942255563110342;0.0940168800764385;0.393033168753939;0.24093448648763;25.5600000000002;0.549999999999983;1652.09
"9";0;0.0682059571440554;0.273878487732135;0.00939121000454992;0.0936941723822461;0.393353920193691;0.243199949112842;23.2000000000003;0.229999999999979;1413.69
"10";0;0.0688564143890526;0.273634370508307;0.00959946793110593;0.0945534823646327;0.393379994749307;0.244974225425826;23.4600000000005;0.239999999999981;1384.56000000001
"11";0;0.070593004327471;0.276893734835534;0.00983243920468774;0.0957385122710624;0.393342286523007;0.247834621865468;22.0800000000006;0.319999999999979;1232.69
"12";0;0.0704432009230485;0.277139213745367;0.00979839108270617;0.0955432587511015;0.393342286523007;0.247278965799546;22.2400000000005;0.369999999999976;1222.24000000001
"13";0;0.0698313882889205;0.275346079039601;0.0096508748162321;0.0947638054296947;0.393227519497002;0.245792418051715;22.3600000000006;0.359999999999978;1197.98
"14";0;0.0699320495166116;0.276529407656498;0.0097058277567145;0.094932769119247;0.393185825480298;0.246602924197209;22.8400000000004;0.359999999999978;1190.67
"15";0;0.0697929312575053;0.274956661016813;0.00970080276728806;0.0948947598029421;0.393185825480298;0.246756494602678;23.3800000000006;0.37999999999998;1187.95
"16";0;0.0704228190372877;0.276587564768113;0.00980982725233161;0.095553103342921;0.393162284637436;0.248550059032072;22.2300000000005;0.369999999999982;1050.12999999999
"17";0;0.0701879212669462;0.275496450966346;0.00971906964994773;0.0952421021787002;0.393162284637436;0.248248280922623;22.7900000000011;0.389999999999996;1048.57999999999
"18";0;0.0704511322760086;0.276171226440282;0.00976830733550784;0.0954557433154664;0.392878655681005;0.248876728455555;23.3100000000011;0.409999999999996;1034.11999999999
"19";0;0.0712324118639901;0.278781109952125;0.00984066509054303;0.0957941731596317;0.392620519193594;0.249769179550972;23.200000000001;0.379999999999994;977.659999999988
"20";0;0.0716310707818716;0.279333815057308;0.00994419874478807;0.0962620605930911;0.392788183725425;0.250879224131919;23.6200000000009;0.429999999999994;970.739999999984
