"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0668888289907665;0.27767178544095;0.00922143153646745;0.0958650746484152;0.392368000124312;0.244456978146281;30.99;0.19;2416.91
"3";0;0.0680148272676353;0.281948503048999;0.0093868363668232;0.0966798778472188;0.391699841538294;0.24774583000397;27.8400000000001;0.159999999999998;2095.5
"4";0;0.0705133826675759;0.29012728841694;0.00980608153866205;0.0987256177877703;0.391277026840446;0.254286902813394;21.7699999999999;0.209999999999999;1570.26
"5";0;0.0705715161175234;0.291577480468487;0.00978811755186492;0.0986349298217928;0.391216928172282;0.256169822649069;22.1399999999999;0.159999999999998;1542.6
"6";0;0.0718210598514849;0.296470285419078;0.00998357635626294;0.0990602094451303;0.391276153437201;0.256543526331859;19.6200000000001;0.130000000000001;1298.71
"7";0;0.0722774468527102;0.300064958028661;0.0103036774714187;0.100346380375748;0.391105533131545;0.260409978055979;19.3800000000002;0.19;1221.95
"8";0;0.0719198794741123;0.297943131192719;0.0102352733298526;0.099958217891518;0.391086081279766;0.260677264730899;19.6200000000002;0.219999999999999;1171.16
"9";0;0.071800169343615;0.298030742256513;0.0102488157967651;0.0998870659815306;0.391912608896641;0.259676539869442;19.9400000000002;0.279999999999999;1154.89
"10";0;0.0718386813085171;0.297894732222963;0.0102176548064007;0.0996327760450741;0.39159199122472;0.260460881170453;19.4900000000002;0.280000000000001;1070.60000000001
"11";0;0.0722947760190967;0.30099653201243;0.010325076160704;0.100215301134097;0.391713827233195;0.262249472970633;19.3400000000003;0.260000000000002;1005.27000000001
"12";0;0.0722505569426688;0.301905051719412;0.0102992747697964;0.100046748193369;0.391667722930851;0.262116412721775;19.6800000000004;0.290000000000001;996.560000000006
"13";0;0.0719399380534246;0.299783445008362;0.0100826165632199;0.0991433497567915;0.391656081201899;0.259898596799446;20.3100000000004;0.23000000000002;992.050000000007
"14";0;0.0721966297409053;0.303103652842338;0.0101313991789512;0.0992978699527296;0.391549457307057;0.261133744255871;20.0100000000004;0.23000000000002;958.790000000005
"15";0;0.0720784851167729;0.302542934717199;0.010113920597841;0.0991494236932802;0.391543302759268;0.260531956526223;20.4899999999995;0.210000000000001;955.590000000005
"16";0;0.0724198746439206;0.304433012944926;0.0101710723532423;0.0994128353570562;0.39148515563138;0.261356887524473;20.6799999999995;0.260000000000002;929.490000000006
"17";0;0.0722955799476303;0.300952034079182;0.0102856124406204;0.0997625505051832;0.391483397871176;0.262764374283575;21.0399999999996;0.340000000000002;906.419999999999
