"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0663063564788177;0.27588686260827;0.0091382056261624;0.0948691253430216;0.391539121776766;0.249462826098333;29.1599999999998;2.03000000000002;2306.87999999999
"3";0;0.0664606914655801;0.27609244440454;0.00914943830373606;0.0947987352857045;0.391362928443421;0.251893840755187;28.4499999999998;2.10000000000001;2211.9
"4";0;0.068800532498208;0.28438461203698;0.00957576872963685;0.0971737338200868;0.391333054183518;0.257956112469914;23.0999999999994;0.219999999999999;1705.02000000001
"5";0;0.0704192116155493;0.288241227623771;0.00987188826402025;0.0987314706115808;0.39158997136353;0.261573300033642;19.75;0.209999999999994;1385.7
"6";0;0.0706091373304847;0.289019237218691;0.00985824543843971;0.0984997908939516;0.391411485890544;0.261931975587698;19.8099999999999;0.260000000000005;1325.52
"7";0;0.07087662488089;0.290077759378026;0.00987506288962065;0.098462127034795;0.391467783758395;0.262369467292025;20.2200000000003;0.290000000000013;1300.78
"8";0;0.0714946404646573;0.289810425391166;0.0100467618994638;0.0993553334795597;0.391425036748221;0.265109993638283;19.8599999999997;0.370000000000025;1233.58
"9";0;0.0718102319448943;0.291877561727668;0.0101487272366239;0.0998910986387546;0.391041705365925;0.266727367588121;20.0099999999998;0.280000000000022;1186.17
"10";0;0.0718213725904739;0.290868832672147;0.0100428107658756;0.0992724898731962;0.390996465143477;0.265682579340389;19.6500000000001;0.380000000000031;1103.00999999999
"11";0;0.0717296457092498;0.290947160704452;0.010026259321357;0.0991281302408678;0.391012025296884;0.265608812515024;20.1999999999985;0.470000000000034;1098.43999999999
"12";0;0.0716149676390017;0.29033102515499;0.0100265167697621;0.0991137033229839;0.390972029819799;0.265653478382399;20.3499999999986;0.430000000000028;1072.95999999999
"13";0;0.0715475891328426;0.290366449395552;0.0100206958330718;0.0990580334394219;0.390988899959306;0.265496079514757;20.5599999999986;0.440000000000019;1057.49999999998
"14";0;0.0709288764171955;0.287989714690387;0.00991748752900519;0.0985797889587234;0.390944622299156;0.264091223070244;20.6299999999988;0.370000000000012;1011.21999999998
"15";0;0.0709840716019783;0.288898512864258;0.00996502826476786;0.0988003834310629;0.390906655019132;0.264986601335745;21.0599999999986;0.370000000000012;1004.10999999995
"16";0;0.0711272553279882;0.288993857072674;0.00997983410681836;0.0988327731949615;0.390835504329443;0.265404309901773;21.2199999999989;0.389999999999993;967.299999999958
"17";0;0.0709458310622185;0.287787989904358;0.00994758587850487;0.0985792448918558;0.390965539757846;0.264414117648488;21.6999999999989;0.460000000000001;958.12999999996
"18";0;0.071247359912161;0.286568050535166;0.0100787200956064;0.09908577805696;0.390878833628561;0.266353294310732;22.0099999999989;0.459999999999987;932.559999999966
"19";0;0.0711779334940197;0.286125485420583;0.0100897358778795;0.0991124723997667;0.390510412555815;0.266721674917253;22.7399999999989;0.509999999999998;928.969999999955
"20";0;0.0708363899473487;0.283903918256304;0.00991587500260764;0.0983978246849931;0.390510412555815;0.266517167360013;23.1399999999985;0.510000000000019;927.699999999962
"21";0;0.0709275873636088;0.284141893891441;0.0099512732798694;0.0985877706686523;0.39053586070323;0.267322041802909;23.6199999999981;0.460000000000022;916.87999999997
"22";0;0.0711092236183302;0.285964692781786;0.00999379768924969;0.0986655652742496;0.390410069347996;0.267634759848024;23.8899999999985;0.470000000000013;886.229999999976
"23";0;0.0719734720932244;0.288841026078565;0.0102587897292667;0.0999910440890403;0.390414839144747;0.270447122580365;24.1199999999986;0.470000000000013;865.119999999961
"24";0;0.0716647006193271;0.288174686301687;0.0101788552836984;0.0995755152202067;0.390405217922655;0.269486713699253;24.6099999999983;0.460000000000022;861.89999999996
"25";0;0.0715853925643303;0.288439683692091;0.0101288038297188;0.099294870705959;0.390437699624835;0.268786141944441;25.0799999999981;0.480000000000018;853.489999999971
"26";0;0.0714400509637014;0.287462705427495;0.0101181088244471;0.0990847115447621;0.390437699624835;0.268101005107135;25.6899999999978;0.550000000000011;849.74999999998
