"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0652474523216386;0.26729146733693;0.0088437213635231;0.0931684273904948;0.391674193671019;0.247366843405933;31.8400000000002;1.26000000000001;2501.42999999999
"3";0;0.0652845284124189;0.26808069721316;0.00885832969199127;0.0932208514107472;0.391672743284723;0.247540298783058;32.2099999999987;1.35000000000001;2491.47
"4";0;0.067571906545065;0.275578938683349;0.0093269560629375;0.0958721594556753;0.39143970528893;0.254818024823885;23.849999999999;0.310000000000003;1758.53
"5";0;0.0681944778842616;0.283445224627791;0.00942739022551962;0.0963620629976915;0.391565645879612;0.255926581868619;20.9299999999989;0.25;1482.25
"6";0;0.0689746017844254;0.285904017031048;0.00960288093476749;0.0970486288329172;0.391663956557002;0.259160892813442;20.9699999999989;0.219999999999985;1441.17000000001
"7";0;0.0691740058101547;0.285515472738695;0.00967793706360358;0.0974733478908289;0.39124830293408;0.261618973587074;20.2799999999993;0.22999999999999;1329.99000000002
"8";0;0.0701671856135805;0.288293229898321;0.00996888645830074;0.0990357757920893;0.391280140302597;0.265557138452858;20.059999999999;0.260000000000005;1258.10000000002
"9";0;0.0701211575420509;0.288103946380021;0.00996336374362139;0.0989207367736912;0.391308249576063;0.265496894679165;19.5399999999986;0.310000000000017;1168.89000000001
"10";0;0.0705795203557221;0.288482547791463;0.0100172998307821;0.0990400510255471;0.391194578537898;0.265672575445512;19.5799999999986;0.270000000000024;1116.86000000001
"11";0;0.0706151828775962;0.288477205050871;0.00997658145853598;0.098735411155039;0.391201302982465;0.264911880477634;19.8499999999985;0.270000000000024;1106.82000000001
"12";0;0.0705041248871557;0.287782211940768;0.010005321420607;0.0988332416038879;0.391220191729888;0.265194624123365;20.1099999999983;0.28000000000003;1082.14999999999
"13";0;0.0701104174265682;0.288397915456004;0.0100253319732236;0.0988644082498415;0.391016112513457;0.265624976081876;20.3699999999985;0.310000000000031;1052.62999999999
"14";0;0.0711286356209004;0.291303788657774;0.0101845233735643;0.0996950462813218;0.390694798685726;0.26780319704073;20.0999999999985;0.370000000000019;958.649999999978
"15";0;0.0710427073562021;0.290409879308015;0.010182782463351;0.0996139764562243;0.390711446650544;0.267502534695187;20.4199999999983;0.430000000000007;946.659999999973
"16";0;0.0709747157921515;0.290270020612485;0.0101612988558581;0.0994899371200814;0.390763731353274;0.267212207605994;20.6499999999983;0.450000000000003;923.049999999973
"17";0;0.0706411655097825;0.287975289669684;0.00993943550460431;0.0985296400035898;0.390741215070909;0.264601255185572;20.9599999999982;0.480000000000033;919.569999999973
